snp.dists.0.8.2,variable,value,same_source
SBV098,SBV005,36,1
SBV099,SBV005,35,1
SBV100,SBV005,37,1
SBV101,SBV005,37,1
SBV102,SBV005,41,1
SBV103,SBV005,39,1
SBV104,SBV005,36,1
SBV105,SBV005,39,1
SBV106,SBV005,37,1
SBV107,SBV005,40,1
SBV108,SBV005,37,1
SBV109,SBV005,41,1
SBV110,SBV005,39,1
SBV111,SBV005,38,1
SBV112,SBV005,36,1
SBV113,SBV005,40,0
SBV114,SBV005,37,0
SBV115,SBV005,37,0
SBV116,SBV005,40,0
SBV117,SBV005,38,0
SBV118,SBV005,37,0
SBV119,SBV005,38,0
SBV121,SBV005,38,0
SBV122,SBV005,39,0
SBV123,SBV005,38,0
SBV124,SBV005,38,1
SBV125,SBV005,38,1
SBV127,SBV005,38,1
SBV128,SBV005,38,1
SBV130,SBV005,38,1
SBV132,SBV005,39,1
SBV133,SBV005,40,1
SBV134,SBV005,38,1
SBV135,SBV005,35,1
SBV136,SBV005,39,1
SBV138,SBV005,39,1
SBV139,SBV005,39,1
SBV140,SBV005,36,1
SBV141,SBV005,38,1
SBV142,SBV005,39,1
SBV143,SBV005,36,1
SBV144,SBV005,40,1
SBV145,SBV005,38,1
SBV146,SBV005,39,1
SBV147,SBV005,40,1
SBV148,SBV005,38,1
SBV150,SBV005,36,1
SBV151,SBV005,38,1
SBV152,SBV005,39,1
SBV153,SBV005,39,1
SBV156,SBV005,40,0
SBV157,SBV005,40,0
SBV158,SBV005,37,0
SBV159,SBV005,40,0
SBV160,SBV005,41,0
SBV161,SBV005,41,0
SBV162,SBV005,38,0
SBV163,SBV005,39,0
SBV164,SBV005,38,0
SBV165,SBV005,40,0
SBV166,SBV005,38,0
SBV167,SBV005,38,0
SBV168,SBV005,38,0
SBV169,SBV005,39,0
SBV170,SBV005,42,0
SBV171,SBV005,36,1
SBV172,SBV005,37,1
SBV173,SBV005,36,1
SBV174,SBV005,37,1
SBV175,SBV005,36,1
SBV176,SBV005,41,1
SBV218,SBV005,36,1
SBV234,SBV005,39,1
SBV235,SBV005,37,1
SBV240,SBV005,41,1
SBV257,SBV005,40,1
SBV269,SBV005,40,1
SBV270,SBV005,40,1
SBV271,SBV005,37,1
SBV272,SBV005,38,1
SBV273,SBV005,40,1
SBV274,SBV005,43,1
SBV275,SBV005,42,1
SBV276,SBV005,43,1
SBV277,SBV005,43,1
SBV278,SBV005,40,1
SBV279,SBV005,38,1
SBV280,SBV005,38,1
SBV281,SBV005,39,1
SBV282,SBV005,42,1
SBV283,SBV005,40,1
SBV284,SBV005,40,1
SBV285,SBV005,40,1
SBV286,SBV005,40,1
SBV287,SBV005,41,1
SBV288,SBV005,42,1
SBV289,SBV005,40,1
SBV290,SBV005,39,1
SBV291,SBV005,39,1
SBV292,SBV005,40,1
SBV293,SBV005,40,0
SBV294,SBV005,41,0
SBV295,SBV005,41,0
SBV296,SBV005,39,0
SBV297,SBV005,36,0
SBV298,SBV005,40,0
SBV299,SBV005,41,0
SBV300,SBV005,42,0
SBV301,SBV005,40,0
SBV302,SBV005,41,0
SBV305,SBV005,45,0
SBV306,SBV005,41,0
SBV307,SBV005,41,1
SBV308,SBV005,41,1
SBV310,SBV005,41,1
SBV311,SBV005,41,1
SBV312,SBV005,39,1
SBV313,SBV005,61,1
SBV314,SBV005,36,1
SBV315,SBV005,41,1
SBV316,SBV005,44,1
SBV317,SBV005,43,1
SBV318,SBV005,37,1
SBV319,SBV005,43,1
SBV320,SBV005,38,1
SBV321,SBV005,41,1
SBV322,SBV005,38,1
SBV323,SBV005,41,1
SBV324,SBV005,41,1
SBV325,SBV005,38,1
SBV326,SBV005,44,1
SBV327,SBV005,38,1
SBV328,SBV005,36,1
SBV329,SBV005,43,1
SBV330,SBV005,38,1
SBV331,SBV005,42,1
SBV332,SBV005,36,1
SBV333,SBV005,35,1
SBV334,SBV005,41,1
SBV335,SBV005,38,1
SBV336,SBV005,36,1
SBV337,SBV005,36,1
SBV338,SBV005,42,0
SBV339,SBV005,40,0
SBV340,SBV005,40,0
SBV341,SBV005,43,0
SBV343,SBV005,43,1
SBV344,SBV005,42,0
SBV345,SBV005,38,1
SBV347,SBV005,39,0
SBV348,SBV005,40,1
SBV349,SBV005,35,0
SBV350,SBV005,42,0
SBV351,SBV005,39,0
SBV352,SBV005,42,1
SBV353,SBV005,42,1
SBV354,SBV005,38,1
SBV355,SBV005,39,1
SBV356,SBV005,39,0
SBV357,SBV005,43,1
SBV358,SBV005,42,1
SBV359,SBV005,42,1
SBV361,SBV005,38,1
SBV362,SBV005,43,1
SBV363,SBV005,43,1
SBV364,SBV005,42,0
SBV365,SBV005,43,1
SBV366,SBV005,43,1
SBV367,SBV005,44,0
SBV368,SBV005,43,1
SBV369,SBV005,42,1
SBV370,SBV005,42,1
SBV371,SBV005,40,1
SBV372,SBV005,43,0
SBV373,SBV005,37,1
SBV374,SBV005,45,1
SBV375,SBV005,39,1
SBV376,SBV005,42,1
SBV005,SBV007,37,1
SBV007,SBV007,0,0
SBV010,SBV007,62,1
SBV011,SBV007,84,1
SBV019,SBV007,69,0
SBV021,SBV007,68,1
SBV022,SBV007,15,1
SBV023,SBV007,3,0
SBV024,SBV007,69,1
SBV025,SBV007,5,0
SBV027,SBV007,3,1
SBV029,SBV007,73,0
SBV030,SBV007,6,1
SBV032,SBV007,73,1
SBV033,SBV007,5,1
SBV035,SBV007,1,1
SBV036,SBV007,1,1
SBV037,SBV007,5,1
SBV038,SBV007,4,1
SBV039,SBV007,6,1
SBV041,SBV007,4,1
SBV042,SBV007,1,1
SBV043,SBV007,5,0
SBV044,SBV007,5,0
SBV045,SBV007,3,0
SBV046,SBV007,4,0
SBV047,SBV007,3,0
SBV048,SBV007,3,0
SBV049,SBV007,3,0
SBV050,SBV007,5,0
SBV051,SBV007,3,0
SBV052,SBV007,5,0
SBV053,SBV007,5,1
SBV054,SBV007,3,0
SBV055,SBV007,5,0
SBV056,SBV007,2,0
SBV057,SBV007,2,1
SBV058,SBV007,3,0
SBV059,SBV007,3,0
SBV060,SBV007,6,0
SBV061,SBV007,2,0
SBV062,SBV007,3,0
SBV063,SBV007,4,1
SBV064,SBV007,2,0
SBV067,SBV007,5,0
SBV068,SBV007,3,0
SBV069,SBV007,4,0
SBV070,SBV007,3,0
SBV071,SBV007,3,0
SBV072,SBV007,10,1
SBV075,SBV007,4,1
SBV076,SBV007,3,1
SBV077,SBV007,4,1
SBV078,SBV007,3,1
SBV079,SBV007,4,1
SBV080,SBV007,3,1
SBV081,SBV007,3,1
SBV082,SBV007,4,1
SBV083,SBV007,3,1
SBV084,SBV007,3,0
SBV087,SBV007,4,1
SBV088,SBV007,4,0
SBV089,SBV007,5,0
SBV090,SBV007,4,0
SBV091,SBV007,4,0
SBV092,SBV007,5,0
SBV093,SBV007,2,1
SBV094,SBV007,5,0
SBV095,SBV007,5,0
SBV096,SBV007,3,0
SBV097,SBV007,3,0
SBV098,SBV007,3,0
SBV099,SBV007,4,0
SBV100,SBV007,4,0
SBV101,SBV007,4,0
SBV102,SBV007,6,0
SBV103,SBV007,4,0
SBV104,SBV007,1,0
SBV105,SBV007,6,0
SBV106,SBV007,4,0
SBV107,SBV007,5,0
SBV108,SBV007,4,0
SBV109,SBV007,8,0
SBV110,SBV007,4,0
SBV111,SBV007,5,0
SBV112,SBV007,3,0
SBV113,SBV007,7,1
SBV114,SBV007,4,1
SBV115,SBV007,4,1
SBV116,SBV007,5,1
SBV117,SBV007,5,1
SBV118,SBV007,4,1
SBV119,SBV007,3,1
SBV121,SBV007,5,1
SBV122,SBV007,6,1
SBV123,SBV007,5,1
SBV124,SBV007,5,1
SBV125,SBV007,5,0
SBV127,SBV007,3,0
SBV128,SBV007,5,0
SBV130,SBV007,5,0
SBV132,SBV007,6,0
SBV133,SBV007,7,0
SBV134,SBV007,5,0
SBV135,SBV007,4,1
SBV136,SBV007,6,1
SBV138,SBV007,6,0
SBV139,SBV007,6,0
SBV140,SBV007,3,0
SBV141,SBV007,5,0
SBV142,SBV007,6,0
SBV143,SBV007,3,0
SBV144,SBV007,7,0
SBV145,SBV007,5,1
SBV146,SBV007,6,0
SBV147,SBV007,5,0
SBV148,SBV007,5,0
SBV150,SBV007,3,0
SBV151,SBV007,3,0
SBV152,SBV007,6,0
SBV153,SBV007,6,0
SBV156,SBV007,7,1
SBV157,SBV007,7,1
SBV158,SBV007,4,1
SBV159,SBV007,7,1
SBV160,SBV007,8,1
SBV161,SBV007,6,1
SBV162,SBV007,5,1
SBV163,SBV007,6,1
SBV164,SBV007,5,1
SBV165,SBV007,5,1
SBV166,SBV007,5,1
SBV167,SBV007,5,1
SBV168,SBV007,5,1
SBV169,SBV007,6,1
SBV170,SBV007,7,1
SBV171,SBV007,3,1
SBV172,SBV007,4,0
SBV173,SBV007,3,0
SBV174,SBV007,4,0
SBV175,SBV007,3,0
SBV176,SBV007,6,1
SBV218,SBV007,5,0
SBV234,SBV007,6,0
SBV235,SBV007,4,0
SBV240,SBV007,8,0
SBV257,SBV007,7,0
SBV269,SBV007,5,0
SBV270,SBV007,9,0
SBV271,SBV007,6,0
SBV272,SBV007,5,0
SBV273,SBV007,9,0
SBV274,SBV007,12,0
SBV275,SBV007,11,0
SBV276,SBV007,12,0
SBV277,SBV007,8,0
SBV278,SBV007,7,0
SBV279,SBV007,5,0
SBV280,SBV007,5,0
SBV281,SBV007,6,0
SBV282,SBV007,9,0
SBV283,SBV007,7,0
SBV284,SBV007,9,1
SBV285,SBV007,7,0
SBV286,SBV007,9,0
SBV287,SBV007,8,0
SBV288,SBV007,9,0
SBV289,SBV007,9,0
SBV290,SBV007,8,1
SBV291,SBV007,6,0
SBV292,SBV007,9,0
SBV293,SBV007,7,1
SBV294,SBV007,8,1
SBV295,SBV007,10,1
SBV296,SBV007,6,1
SBV297,SBV007,3,1
SBV298,SBV007,7,1
SBV299,SBV007,8,1
SBV300,SBV007,9,1
SBV301,SBV007,9,1
SBV302,SBV007,8,1
SBV305,SBV007,10,1
SBV306,SBV007,10,1
SBV307,SBV007,10,0
SBV308,SBV007,8,0
SBV310,SBV007,10,0
SBV311,SBV007,6,0
SBV312,SBV007,8,0
SBV313,SBV007,74,1
SBV314,SBV007,5,0
SBV315,SBV007,8,0
SBV316,SBV007,13,0
SBV317,SBV007,10,0
SBV318,SBV007,6,1
SBV319,SBV007,12,1
SBV320,SBV007,7,0
SBV321,SBV007,8,0
SBV322,SBV007,5,0
SBV323,SBV007,8,0
SBV324,SBV007,8,0
SBV325,SBV007,7,0
SBV326,SBV007,11,0
SBV327,SBV007,7,0
SBV328,SBV007,5,0
SBV329,SBV007,10,0
SBV330,SBV007,7,0
SBV331,SBV007,11,0
SBV332,SBV007,3,0
SBV333,SBV007,4,1
SBV334,SBV007,10,0
SBV335,SBV007,7,0
SBV336,SBV007,5,0
SBV337,SBV007,3,0
SBV338,SBV007,11,1
SBV339,SBV007,9,1
SBV340,SBV007,9,1
SBV341,SBV007,12,1
SBV343,SBV007,12,0
SBV344,SBV007,9,1
SBV345,SBV007,5,1
SBV347,SBV007,6,1
SBV348,SBV007,7,1
SBV349,SBV007,4,1
SBV350,SBV007,7,1
SBV351,SBV007,8,1
SBV352,SBV007,11,1
SBV353,SBV007,9,0
SBV354,SBV007,7,0
SBV355,SBV007,6,1
SBV356,SBV007,6,1
SBV357,SBV007,10,0
SBV358,SBV007,9,0
SBV359,SBV007,9,0
SBV361,SBV007,5,0
SBV362,SBV007,10,0
SBV363,SBV007,12,0
SBV364,SBV007,11,1
SBV365,SBV007,10,0
SBV366,SBV007,10,0
SBV367,SBV007,11,1
SBV368,SBV007,12,0
SBV369,SBV007,9,0
SBV370,SBV007,11,1
SBV371,SBV007,9,0
SBV372,SBV007,10,1
SBV373,SBV007,6,0
SBV374,SBV007,14,1
SBV375,SBV007,6,0
SBV376,SBV007,11,0
SBV005,SBV010,49,1
SBV007,SBV010,62,1
SBV010,SBV010,0,0
SBV011,SBV010,64,1
SBV019,SBV010,31,1
SBV021,SBV010,44,1
SBV022,SBV010,55,1
SBV023,SBV010,61,1
SBV024,SBV010,31,1
SBV025,SBV010,57,1
SBV027,SBV010,59,1
SBV029,SBV010,35,1
SBV030,SBV010,62,1
SBV032,SBV010,35,1
SBV033,SBV010,61,1
SBV035,SBV010,61,1
SBV036,SBV010,61,1
SBV037,SBV010,61,1
SBV038,SBV010,64,1
SBV039,SBV010,64,1
SBV041,SBV010,62,1
SBV042,SBV010,61,1
SBV043,SBV010,63,1
SBV044,SBV010,63,1
SBV045,SBV010,61,1
SBV046,SBV010,62,1
SBV047,SBV010,61,1
SBV048,SBV010,61,1
SBV049,SBV010,61,1
SBV050,SBV010,63,1
SBV051,SBV010,61,1
SBV052,SBV010,63,1
SBV053,SBV010,61,1
SBV054,SBV010,63,1
SBV055,SBV010,63,1
SBV056,SBV010,62,1
SBV057,SBV010,60,1
SBV058,SBV010,63,1
SBV059,SBV010,61,1
SBV060,SBV010,62,1
SBV061,SBV010,62,1
SBV062,SBV010,63,1
SBV063,SBV010,62,1
SBV064,SBV010,62,1
SBV067,SBV010,63,1
SBV068,SBV010,63,1
SBV069,SBV010,62,1
SBV070,SBV010,63,1
SBV071,SBV010,61,1
SBV072,SBV010,66,1
SBV075,SBV010,62,1
SBV076,SBV010,61,1
SBV077,SBV010,62,1
SBV078,SBV010,63,1
SBV079,SBV010,62,1
SBV080,SBV010,63,1
SBV081,SBV010,61,1
SBV082,SBV010,62,1
SBV083,SBV010,61,1
SBV084,SBV010,61,1
SBV087,SBV010,62,1
SBV088,SBV010,64,1
SBV089,SBV010,63,1
SBV090,SBV010,60,1
SBV091,SBV010,64,1
SBV092,SBV010,61,1
SBV093,SBV010,62,1
SBV094,SBV010,63,1
SBV095,SBV010,63,1
SBV096,SBV010,61,1
SBV097,SBV010,61,1
SBV098,SBV010,61,1
SBV099,SBV010,60,1
SBV100,SBV010,62,1
SBV101,SBV010,62,1
SBV102,SBV010,66,1
SBV103,SBV010,64,1
SBV104,SBV010,61,1
SBV105,SBV010,64,1
SBV106,SBV010,62,1
SBV107,SBV010,65,1
SBV108,SBV010,62,1
SBV109,SBV010,66,1
SBV110,SBV010,64,1
SBV111,SBV010,63,1
SBV112,SBV010,61,1
SBV113,SBV010,65,1
SBV114,SBV010,62,1
SBV115,SBV010,62,1
SBV116,SBV010,65,1
SBV117,SBV010,63,1
SBV118,SBV010,62,1
SBV119,SBV010,63,1
SBV121,SBV010,63,1
SBV122,SBV010,64,1
SBV123,SBV010,63,1
SBV124,SBV010,63,1
SBV125,SBV010,63,1
SBV127,SBV010,63,1
SBV128,SBV010,63,1
SBV130,SBV010,63,1
SBV132,SBV010,64,1
SBV133,SBV010,65,1
SBV134,SBV010,63,1
SBV135,SBV010,60,1
SBV136,SBV010,64,1
SBV138,SBV010,64,1
SBV139,SBV010,64,1
SBV140,SBV010,61,1
SBV141,SBV010,63,1
SBV142,SBV010,64,1
SBV143,SBV010,61,1
SBV144,SBV010,65,1
SBV145,SBV010,63,1
SBV146,SBV010,64,1
SBV147,SBV010,65,1
SBV148,SBV010,63,1
SBV150,SBV010,61,1
SBV151,SBV010,63,1
SBV152,SBV010,64,1
SBV153,SBV010,64,1
SBV156,SBV010,65,1
SBV157,SBV010,65,1
SBV158,SBV010,62,1
SBV159,SBV010,65,1
SBV160,SBV010,66,1
SBV161,SBV010,66,1
SBV162,SBV010,63,1
SBV163,SBV010,64,1
SBV164,SBV010,63,1
SBV165,SBV010,65,1
SBV166,SBV010,63,1
SBV167,SBV010,63,1
SBV168,SBV010,63,1
SBV169,SBV010,64,1
SBV170,SBV010,67,1
SBV171,SBV010,61,1
SBV172,SBV010,62,1
SBV173,SBV010,61,1
SBV174,SBV010,62,1
SBV175,SBV010,61,1
SBV176,SBV010,66,1
SBV218,SBV010,61,1
SBV234,SBV010,64,1
SBV235,SBV010,62,1
SBV240,SBV010,66,1
SBV257,SBV010,65,1
SBV269,SBV010,65,1
SBV270,SBV010,65,1
SBV271,SBV010,62,1
SBV272,SBV010,63,1
SBV273,SBV010,65,1
SBV274,SBV010,68,1
SBV275,SBV010,67,1
SBV276,SBV010,68,1
SBV277,SBV010,68,1
SBV278,SBV010,65,1
SBV279,SBV010,63,1
SBV280,SBV010,63,1
SBV281,SBV010,64,1
SBV282,SBV010,67,1
SBV283,SBV010,65,1
SBV284,SBV010,65,1
SBV285,SBV010,65,1
SBV286,SBV010,65,1
SBV287,SBV010,66,1
SBV288,SBV010,67,1
SBV289,SBV010,65,1
SBV290,SBV010,64,1
SBV291,SBV010,64,1
SBV292,SBV010,65,1
SBV293,SBV010,65,1
SBV294,SBV010,66,1
SBV295,SBV010,66,1
SBV296,SBV010,64,1
SBV297,SBV010,61,1
SBV298,SBV010,65,1
SBV299,SBV010,66,1
SBV300,SBV010,67,1
SBV301,SBV010,65,1
SBV302,SBV010,66,1
SBV305,SBV010,70,1
SBV306,SBV010,66,1
SBV307,SBV010,66,1
SBV308,SBV010,66,1
SBV310,SBV010,66,1
SBV311,SBV010,66,1
SBV312,SBV010,64,1
SBV313,SBV010,36,1
SBV314,SBV010,61,1
SBV315,SBV010,66,1
SBV316,SBV010,69,1
SBV317,SBV010,68,1
SBV318,SBV010,62,1
SBV319,SBV010,68,0
SBV320,SBV010,63,1
SBV321,SBV010,66,1
SBV322,SBV010,63,1
SBV323,SBV010,66,1
SBV324,SBV010,66,1
SBV325,SBV010,63,1
SBV326,SBV010,69,1
SBV327,SBV010,63,1
SBV328,SBV010,61,1
SBV329,SBV010,68,1
SBV330,SBV010,63,1
SBV331,SBV010,67,1
SBV332,SBV010,61,1
SBV333,SBV010,60,1
SBV334,SBV010,66,1
SBV335,SBV010,63,1
SBV336,SBV010,61,1
SBV337,SBV010,61,1
SBV338,SBV010,67,1
SBV339,SBV010,65,1
SBV340,SBV010,65,1
SBV341,SBV010,68,1
SBV343,SBV010,68,1
SBV344,SBV010,67,1
SBV345,SBV010,63,1
SBV347,SBV010,64,1
SBV348,SBV010,65,1
SBV349,SBV010,60,1
SBV350,SBV010,67,1
SBV351,SBV010,64,1
SBV352,SBV010,67,1
SBV353,SBV010,67,1
SBV354,SBV010,63,1
SBV355,SBV010,64,1
SBV356,SBV010,64,1
SBV357,SBV010,68,1
SBV358,SBV010,67,1
SBV359,SBV010,67,1
SBV361,SBV010,63,1
SBV362,SBV010,68,1
SBV363,SBV010,68,1
SBV364,SBV010,67,1
SBV365,SBV010,68,1
SBV366,SBV010,68,1
SBV367,SBV010,69,1
SBV368,SBV010,68,1
SBV369,SBV010,67,1
SBV370,SBV010,67,1
SBV371,SBV010,65,1
SBV372,SBV010,68,1
SBV373,SBV010,62,1
SBV374,SBV010,70,1
SBV375,SBV010,64,1
SBV376,SBV010,67,1
SBV005,SBV011,71,0
SBV007,SBV011,84,1
SBV010,SBV011,64,1
SBV011,SBV011,0,0
SBV019,SBV011,71,1
SBV021,SBV011,70,0
SBV022,SBV011,77,0
SBV023,SBV011,83,1
SBV024,SBV011,71,1
SBV025,SBV011,79,1
SBV027,SBV011,81,0
SBV029,SBV011,75,1
SBV030,SBV011,84,0
SBV032,SBV011,75,1
SBV033,SBV011,83,1
SBV035,SBV011,83,0
SBV036,SBV011,83,0
SBV037,SBV011,83,0
SBV038,SBV011,86,0
SBV039,SBV011,86,0
SBV041,SBV011,84,0
SBV042,SBV011,83,0
SBV043,SBV011,85,1
SBV044,SBV011,85,1
SBV045,SBV011,83,1
SBV046,SBV011,84,1
SBV047,SBV011,83,1
SBV048,SBV011,83,1
SBV049,SBV011,83,1
SBV050,SBV011,85,1
SBV051,SBV011,83,1
SBV052,SBV011,85,1
SBV053,SBV011,83,1
SBV054,SBV011,85,1
SBV055,SBV011,85,1
SBV056,SBV011,84,1
SBV057,SBV011,82,1
SBV058,SBV011,85,1
SBV059,SBV011,83,1
SBV060,SBV011,84,1
SBV061,SBV011,84,1
SBV062,SBV011,85,1
SBV063,SBV011,84,1
SBV064,SBV011,84,1
SBV067,SBV011,85,1
SBV068,SBV011,85,1
SBV069,SBV011,84,1
SBV070,SBV011,85,1
SBV071,SBV011,83,1
SBV072,SBV011,88,0
SBV075,SBV011,84,0
SBV076,SBV011,83,0
SBV077,SBV011,84,0
SBV078,SBV011,85,0
SBV079,SBV011,84,0
SBV080,SBV011,85,0
SBV081,SBV011,83,0
SBV082,SBV011,84,0
SBV083,SBV011,83,0
SBV084,SBV011,83,1
SBV087,SBV011,84,1
SBV088,SBV011,86,1
SBV089,SBV011,85,1
SBV090,SBV011,82,1
SBV091,SBV011,86,1
SBV092,SBV011,83,1
SBV093,SBV011,84,1
SBV094,SBV011,85,1
SBV095,SBV011,85,1
SBV096,SBV011,83,1
SBV097,SBV011,83,1
SBV098,SBV011,83,1
SBV099,SBV011,82,1
SBV100,SBV011,84,1
SBV101,SBV011,84,1
SBV102,SBV011,88,1
SBV103,SBV011,86,1
SBV104,SBV011,83,1
SBV105,SBV011,86,1
SBV106,SBV011,84,1
SBV107,SBV011,87,1
SBV108,SBV011,84,1
SBV109,SBV011,88,1
SBV110,SBV011,86,1
SBV111,SBV011,85,1
SBV112,SBV011,83,1
SBV113,SBV011,87,0
SBV114,SBV011,84,0
SBV115,SBV011,84,0
SBV116,SBV011,87,0
SBV117,SBV011,85,0
SBV118,SBV011,84,0
SBV119,SBV011,85,0
SBV121,SBV011,85,0
SBV122,SBV011,86,0
SBV123,SBV011,85,0
SBV124,SBV011,85,1
SBV125,SBV011,85,1
SBV127,SBV011,85,1
SBV128,SBV011,85,1
SBV130,SBV011,85,1
SBV132,SBV011,86,1
SBV133,SBV011,87,1
SBV134,SBV011,85,1
SBV135,SBV011,82,1
SBV136,SBV011,86,1
SBV138,SBV011,86,1
SBV139,SBV011,86,1
SBV140,SBV011,83,1
SBV141,SBV011,85,1
SBV142,SBV011,86,1
SBV143,SBV011,83,1
SBV144,SBV011,87,1
SBV145,SBV011,85,1
SBV146,SBV011,86,1
SBV147,SBV011,87,1
SBV148,SBV011,85,1
SBV150,SBV011,83,1
SBV151,SBV011,85,1
SBV152,SBV011,86,1
SBV153,SBV011,86,1
SBV156,SBV011,87,0
SBV157,SBV011,87,0
SBV158,SBV011,84,0
SBV159,SBV011,87,0
SBV160,SBV011,88,0
SBV161,SBV011,88,0
SBV162,SBV011,85,0
SBV163,SBV011,86,0
SBV164,SBV011,85,0
SBV165,SBV011,87,0
SBV166,SBV011,85,0
SBV167,SBV011,85,0
SBV168,SBV011,85,0
SBV169,SBV011,86,0
SBV170,SBV011,89,0
SBV171,SBV011,83,1
SBV172,SBV011,84,1
SBV173,SBV011,83,1
SBV174,SBV011,84,1
SBV175,SBV011,83,1
SBV176,SBV011,88,1
SBV218,SBV011,83,1
SBV234,SBV011,86,1
SBV235,SBV011,84,1
SBV240,SBV011,88,1
SBV257,SBV011,87,1
SBV269,SBV011,87,1
SBV270,SBV011,87,1
SBV271,SBV011,84,1
SBV272,SBV011,85,1
SBV273,SBV011,87,1
SBV274,SBV011,90,1
SBV275,SBV011,89,1
SBV276,SBV011,90,1
SBV277,SBV011,90,1
SBV278,SBV011,87,1
SBV279,SBV011,85,1
SBV280,SBV011,85,1
SBV281,SBV011,86,1
SBV282,SBV011,89,1
SBV283,SBV011,87,1
SBV284,SBV011,87,1
SBV285,SBV011,87,1
SBV286,SBV011,87,1
SBV287,SBV011,88,1
SBV288,SBV011,89,1
SBV289,SBV011,87,1
SBV290,SBV011,86,1
SBV291,SBV011,86,1
SBV292,SBV011,87,1
SBV293,SBV011,87,0
SBV294,SBV011,88,0
SBV295,SBV011,88,0
SBV296,SBV011,86,0
SBV297,SBV011,83,0
SBV298,SBV011,87,0
SBV299,SBV011,88,0
SBV300,SBV011,89,0
SBV301,SBV011,87,0
SBV302,SBV011,88,0
SBV305,SBV011,92,0
SBV306,SBV011,88,0
SBV307,SBV011,88,1
SBV308,SBV011,88,1
SBV310,SBV011,88,1
SBV311,SBV011,88,1
SBV312,SBV011,86,1
SBV313,SBV011,76,1
SBV314,SBV011,83,1
SBV315,SBV011,88,1
SBV316,SBV011,91,1
SBV317,SBV011,90,1
SBV318,SBV011,84,1
SBV319,SBV011,90,1
SBV320,SBV011,85,1
SBV321,SBV011,88,1
SBV322,SBV011,85,1
SBV323,SBV011,88,1
SBV324,SBV011,88,1
SBV325,SBV011,85,1
SBV326,SBV011,91,1
SBV327,SBV011,85,1
SBV328,SBV011,83,1
SBV329,SBV011,90,1
SBV330,SBV011,85,1
SBV331,SBV011,89,1
SBV332,SBV011,83,1
SBV333,SBV011,82,1
SBV334,SBV011,88,1
SBV335,SBV011,85,1
SBV336,SBV011,83,1
SBV337,SBV011,83,1
SBV338,SBV011,89,0
SBV339,SBV011,87,0
SBV340,SBV011,87,0
SBV341,SBV011,90,0
SBV343,SBV011,90,1
SBV344,SBV011,89,0
SBV345,SBV011,85,1
SBV347,SBV011,86,0
SBV348,SBV011,87,1
SBV349,SBV011,82,0
SBV350,SBV011,89,0
SBV351,SBV011,86,0
SBV352,SBV011,89,1
SBV353,SBV011,89,1
SBV354,SBV011,85,1
SBV355,SBV011,86,1
SBV356,SBV011,86,0
SBV357,SBV011,90,1
SBV358,SBV011,89,1
SBV359,SBV011,89,1
SBV361,SBV011,85,1
SBV362,SBV011,90,1
SBV363,SBV011,90,1
SBV364,SBV011,89,0
SBV365,SBV011,90,1
SBV366,SBV011,90,1
SBV367,SBV011,91,0
SBV368,SBV011,90,1
SBV369,SBV011,89,1
SBV370,SBV011,89,1
SBV371,SBV011,87,1
SBV372,SBV011,90,0
SBV373,SBV011,84,1
SBV374,SBV011,92,1
SBV375,SBV011,86,1
SBV376,SBV011,89,1
SBV005,SBV019,56,1
