snp.dists.0.8.2,variable,value,same_source
SGV064,SGV025,16,0
SGV065,SGV025,13,1
SGV066,SGV025,4,1
SGV067,SGV025,15,0
SGV068,SGV025,9,1
SGV069,SGV025,17,0
SGV070,SGV025,12,1
SGV071,SGV025,5,1
SGV072,SGV025,13,1
SGV073,SGV025,12,1
SGV075,SGV025,10,0
SGV077,SGV025,11,1
SGV078,SGV025,10,0
SGV079,SGV025,19,1
SGV080,SGV025,13,1
SGV004,SGV026,100,0
SGV021,SGV026,2,0
SGV022,SGV026,12,0
SGV023,SGV026,12,0
SGV025,SGV026,2,0
SGV026,SGV026,0,0
SGV028,SGV026,12,0
SGV029,SGV026,3,0
SGV030,SGV026,7,0
SGV031,SGV026,12,0
SGV032,SGV026,14,1
SGV033,SGV026,6,1
SGV034,SGV026,15,1
SGV035,SGV026,2,1
SGV036,SGV026,2,0
SGV037,SGV026,5,0
SGV038,SGV026,15,0
SGV039,SGV026,1,1
SGV040,SGV026,15,0
SGV041,SGV026,5,0
SGV042,SGV026,13,0
SGV043,SGV026,8,0
SGV044,SGV026,6,0
SGV045,SGV026,16,1
SGV046,SGV026,14,0
SGV047,SGV026,10,0
SGV048,SGV026,13,0
SGV049,SGV026,14,1
SGV050,SGV026,12,1
SGV051,SGV026,17,0
SGV052,SGV026,11,1
SGV053,SGV026,12,0
SGV054,SGV026,2,1
SGV055,SGV026,12,0
SGV056,SGV026,13,1
SGV057,SGV026,11,0
SGV058,SGV026,11,1
SGV059,SGV026,9,0
SGV060,SGV026,20,0
SGV061,SGV026,18,1
SGV062,SGV026,9,0
SGV063,SGV026,5,1
SGV064,SGV026,16,0
SGV065,SGV026,13,1
SGV066,SGV026,6,1
SGV067,SGV026,15,0
SGV068,SGV026,11,1
SGV069,SGV026,17,0
SGV070,SGV026,12,1
SGV071,SGV026,5,1
SGV072,SGV026,13,1
SGV073,SGV026,12,1
SGV075,SGV026,10,0
SGV077,SGV026,11,1
SGV078,SGV026,10,0
SGV079,SGV026,19,1
SGV080,SGV026,13,1
SGV004,SGV028,100,0
SGV021,SGV028,12,0
SGV022,SGV028,14,0
SGV023,SGV028,6,0
SGV025,SGV028,12,0
SGV026,SGV028,12,0
SGV028,SGV028,0,0
SGV029,SGV028,13,0
SGV030,SGV028,17,0
SGV031,SGV028,6,0
SGV032,SGV028,8,1
SGV033,SGV028,16,1
SGV034,SGV028,3,1
SGV035,SGV028,12,1
SGV036,SGV028,12,0
SGV037,SGV028,15,0
SGV038,SGV028,9,0
SGV039,SGV028,11,1
SGV040,SGV028,11,0
SGV041,SGV028,15,0
SGV042,SGV028,15,0
SGV043,SGV028,18,0
SGV044,SGV028,16,0
SGV045,SGV028,4,1
SGV046,SGV028,16,0
SGV047,SGV028,20,0
SGV048,SGV028,16,0
SGV049,SGV028,2,1
SGV050,SGV028,14,1
SGV051,SGV028,11,0
SGV052,SGV028,13,1
SGV053,SGV028,14,0
SGV054,SGV028,12,1
SGV055,SGV028,15,0
SGV056,SGV028,15,1
SGV057,SGV028,13,0
SGV058,SGV028,13,1
SGV059,SGV028,11,0
SGV060,SGV028,8,0
SGV061,SGV028,20,1
SGV062,SGV028,13,0
SGV063,SGV028,15,1
SGV064,SGV028,10,0
SGV065,SGV028,15,1
SGV066,SGV028,16,1
SGV067,SGV028,17,0
SGV068,SGV028,21,1
SGV069,SGV028,11,0
SGV070,SGV028,14,1
SGV071,SGV028,7,1
SGV072,SGV028,1,1
SGV073,SGV028,14,1
SGV075,SGV028,12,0
SGV077,SGV028,13,1
SGV078,SGV028,12,0
SGV079,SGV028,13,1
SGV080,SGV028,15,1
SGV004,SGV029,94,0
SGV021,SGV029,1,0
SGV022,SGV029,13,0
SGV023,SGV029,13,0
SGV025,SGV029,1,0
SGV026,SGV029,3,0
SGV028,SGV029,13,0
SGV029,SGV029,0,0
SGV030,SGV029,6,0
SGV031,SGV029,13,0
SGV032,SGV029,15,1
SGV033,SGV029,5,1
SGV034,SGV029,16,1
SGV035,SGV029,3,1
SGV036,SGV029,3,0
SGV037,SGV029,4,0
SGV038,SGV029,16,0
SGV039,SGV029,2,1
SGV040,SGV029,16,0
SGV041,SGV029,4,0
SGV042,SGV029,13,0
SGV043,SGV029,7,0
SGV044,SGV029,5,0
SGV045,SGV029,16,1
SGV046,SGV029,15,0
SGV047,SGV029,9,0
SGV048,SGV029,13,0
SGV049,SGV029,15,1
SGV050,SGV029,12,1
SGV051,SGV029,18,0
SGV052,SGV029,12,1
SGV053,SGV029,12,0
SGV054,SGV029,3,1
SGV055,SGV029,13,0
SGV056,SGV029,13,1
SGV057,SGV029,12,0
SGV058,SGV029,12,1
SGV059,SGV029,10,0
SGV060,SGV029,20,0
SGV061,SGV029,19,1
SGV062,SGV029,10,0
SGV063,SGV029,4,1
SGV064,SGV029,16,0
SGV065,SGV029,14,1
SGV066,SGV029,5,1
SGV067,SGV029,16,0
SGV068,SGV029,10,1
SGV069,SGV029,17,0
SGV070,SGV029,13,1
SGV071,SGV029,6,1
SGV072,SGV029,14,1
SGV073,SGV029,13,1
SGV075,SGV029,11,0
SGV077,SGV029,12,1
SGV078,SGV029,11,0
SGV079,SGV029,18,1
SGV080,SGV029,13,1
SGV004,SGV030,105,0
SGV021,SGV030,5,0
SGV022,SGV030,17,0
SGV023,SGV030,16,0
SGV025,SGV030,5,0
SGV026,SGV030,7,0
SGV028,SGV030,17,0
SGV029,SGV030,6,0
SGV030,SGV030,0,0
SGV031,SGV030,16,0
SGV032,SGV030,18,1
SGV033,SGV030,9,1
SGV034,SGV030,20,1
SGV035,SGV030,7,1
SGV036,SGV030,7,0
SGV037,SGV030,8,0
SGV038,SGV030,19,0
SGV039,SGV030,6,1
SGV040,SGV030,19,0
SGV041,SGV030,6,0
SGV042,SGV030,18,0
SGV043,SGV030,11,0
SGV044,SGV030,7,0
SGV045,SGV030,21,1
SGV046,SGV030,19,0
SGV047,SGV030,13,0
SGV048,SGV030,18,0
SGV049,SGV030,19,1
SGV050,SGV030,17,1
SGV051,SGV030,21,0
SGV052,SGV030,16,1
SGV053,SGV030,17,0
SGV054,SGV030,7,1
SGV055,SGV030,17,0
SGV056,SGV030,18,1
SGV057,SGV030,16,0
SGV058,SGV030,16,1
SGV059,SGV030,14,0
SGV060,SGV030,25,0
SGV061,SGV030,23,1
SGV062,SGV030,14,0
SGV063,SGV030,8,1
SGV064,SGV030,20,0
SGV065,SGV030,18,1
SGV066,SGV030,9,1
SGV067,SGV030,20,0
SGV068,SGV030,14,1
SGV069,SGV030,21,0
SGV070,SGV030,17,1
SGV071,SGV030,10,1
SGV072,SGV030,18,1
SGV073,SGV030,17,1
SGV075,SGV030,15,0
SGV077,SGV030,16,1
SGV078,SGV030,15,0
SGV079,SGV030,23,1
SGV080,SGV030,18,1
SGV004,SGV031,100,0
SGV021,SGV031,12,0
SGV022,SGV031,14,0
SGV023,SGV031,4,0
SGV025,SGV031,12,0
SGV026,SGV031,12,0
SGV028,SGV031,6,0
SGV029,SGV031,13,0
SGV030,SGV031,16,0
SGV031,SGV031,0,0
SGV032,SGV031,4,1
SGV033,SGV031,16,1
SGV034,SGV031,9,1
SGV035,SGV031,12,1
SGV036,SGV031,12,0
SGV037,SGV031,15,0
SGV038,SGV031,7,0
SGV039,SGV031,11,1
SGV040,SGV031,7,0
SGV041,SGV031,15,0
SGV042,SGV031,15,0
SGV043,SGV031,18,0
SGV044,SGV031,16,0
SGV045,SGV031,10,1
SGV046,SGV031,16,0
SGV047,SGV031,20,0
SGV048,SGV031,16,0
SGV049,SGV031,8,1
SGV050,SGV031,14,1
SGV051,SGV031,7,0
SGV052,SGV031,13,1
SGV053,SGV031,14,0
SGV054,SGV031,12,1
SGV055,SGV031,15,0
SGV056,SGV031,15,1
SGV057,SGV031,13,0
SGV058,SGV031,13,1
SGV059,SGV031,11,0
SGV060,SGV031,14,0
SGV061,SGV031,20,1
SGV062,SGV031,13,0
SGV063,SGV031,15,1
SGV064,SGV031,6,0
SGV065,SGV031,15,1
SGV066,SGV031,16,1
SGV067,SGV031,17,0
SGV068,SGV031,21,1
SGV069,SGV031,5,0
SGV070,SGV031,14,1
SGV071,SGV031,7,1
SGV072,SGV031,7,1
SGV073,SGV031,14,1
SGV075,SGV031,12,0
SGV077,SGV031,13,1
SGV078,SGV031,12,0
SGV079,SGV031,9,1
SGV080,SGV031,15,1
SGV004,SGV032,102,1
SGV021,SGV032,14,1
SGV022,SGV032,16,1
SGV023,SGV032,6,1
SGV025,SGV032,14,1
SGV026,SGV032,14,1
SGV028,SGV032,8,1
SGV029,SGV032,15,1
SGV030,SGV032,18,1
SGV031,SGV032,4,1
SGV032,SGV032,0,0
SGV033,SGV032,18,0
SGV034,SGV032,11,0
SGV035,SGV032,14,1
SGV036,SGV032,14,1
SGV037,SGV032,17,1
SGV038,SGV032,9,1
SGV039,SGV032,13,1
SGV040,SGV032,9,1
SGV041,SGV032,17,1
SGV042,SGV032,17,1
SGV043,SGV032,20,1
SGV044,SGV032,18,1
SGV045,SGV032,12,1
SGV046,SGV032,18,1
SGV047,SGV032,22,1
SGV048,SGV032,18,1
SGV049,SGV032,10,0
SGV050,SGV032,16,0
SGV051,SGV032,9,1
SGV052,SGV032,15,1
SGV053,SGV032,16,1
SGV054,SGV032,14,1
SGV055,SGV032,17,1
SGV056,SGV032,17,1
SGV057,SGV032,15,1
SGV058,SGV032,15,1
SGV059,SGV032,13,1
SGV060,SGV032,16,1
SGV061,SGV032,22,1
SGV062,SGV032,15,1
SGV063,SGV032,17,1
SGV064,SGV032,8,1
SGV065,SGV032,17,1
SGV066,SGV032,18,0
SGV067,SGV032,19,1
SGV068,SGV032,23,1
SGV069,SGV032,9,1
SGV070,SGV032,16,1
SGV071,SGV032,9,0
SGV072,SGV032,9,1
SGV073,SGV032,16,1
SGV075,SGV032,14,1
SGV077,SGV032,15,1
SGV078,SGV032,14,1
SGV079,SGV032,11,1
SGV080,SGV032,17,1
SGV004,SGV033,104,1
SGV021,SGV033,4,1
SGV022,SGV033,16,1
SGV023,SGV033,16,1
SGV025,SGV033,4,1
SGV026,SGV033,6,1
SGV028,SGV033,16,1
SGV029,SGV033,5,1
SGV030,SGV033,9,1
SGV031,SGV033,16,1
SGV032,SGV033,18,0
SGV033,SGV033,0,0
SGV034,SGV033,19,0
SGV035,SGV033,6,1
SGV036,SGV033,6,1
SGV037,SGV033,7,1
SGV038,SGV033,19,1
SGV039,SGV033,5,1
SGV040,SGV033,19,1
SGV041,SGV033,7,1
SGV042,SGV033,17,1
SGV043,SGV033,10,1
SGV044,SGV033,8,1
SGV045,SGV033,20,1
SGV046,SGV033,18,1
SGV047,SGV033,12,1
SGV048,SGV033,17,1
SGV049,SGV033,18,0
SGV050,SGV033,16,0
SGV051,SGV033,21,1
SGV052,SGV033,15,1
SGV053,SGV033,16,1
SGV054,SGV033,6,1
SGV055,SGV033,16,1
SGV056,SGV033,17,1
SGV057,SGV033,15,1
SGV058,SGV033,15,1
SGV059,SGV033,13,1
SGV060,SGV033,24,1
SGV061,SGV033,22,1
SGV062,SGV033,13,1
SGV063,SGV033,3,1
SGV064,SGV033,20,1
SGV065,SGV033,17,1
SGV066,SGV033,8,0
SGV067,SGV033,19,1
SGV068,SGV033,13,1
SGV069,SGV033,21,1
SGV070,SGV033,16,1
SGV071,SGV033,9,0
SGV072,SGV033,17,1
SGV073,SGV033,16,1
SGV075,SGV033,14,1
SGV077,SGV033,15,1
SGV078,SGV033,14,1
SGV079,SGV033,23,1
SGV080,SGV033,17,1
SGV004,SGV034,103,1
SGV021,SGV034,15,1
SGV022,SGV034,17,1
SGV023,SGV034,9,1
SGV025,SGV034,15,1
SGV026,SGV034,15,1
SGV028,SGV034,3,1
SGV029,SGV034,16,1
SGV030,SGV034,20,1
SGV031,SGV034,9,1
SGV032,SGV034,11,0
SGV033,SGV034,19,0
SGV034,SGV034,0,0
SGV035,SGV034,15,1
SGV036,SGV034,15,1
SGV037,SGV034,18,1
SGV038,SGV034,12,1
SGV039,SGV034,14,1
SGV040,SGV034,14,1
SGV041,SGV034,18,1
SGV042,SGV034,18,1
SGV043,SGV034,21,1
SGV044,SGV034,19,1
SGV045,SGV034,7,1
SGV046,SGV034,19,1
SGV047,SGV034,23,1
SGV048,SGV034,19,1
SGV049,SGV034,5,0
SGV050,SGV034,17,0
SGV051,SGV034,14,1
SGV052,SGV034,16,1
SGV053,SGV034,17,1
SGV054,SGV034,15,1
SGV055,SGV034,18,1
SGV056,SGV034,18,1
SGV057,SGV034,16,1
SGV058,SGV034,16,1
SGV059,SGV034,14,1
SGV060,SGV034,5,1
SGV061,SGV034,23,1
SGV062,SGV034,16,1
SGV063,SGV034,18,1
SGV064,SGV034,13,1
SGV065,SGV034,18,1
SGV066,SGV034,19,0
SGV067,SGV034,20,1
SGV068,SGV034,24,1
SGV069,SGV034,14,1
SGV070,SGV034,17,1
SGV071,SGV034,10,0
SGV072,SGV034,4,1
SGV073,SGV034,17,1
SGV075,SGV034,15,1
SGV077,SGV034,16,1
SGV078,SGV034,15,1
SGV079,SGV034,16,1
SGV080,SGV034,18,1
SGV004,SGV035,100,1
SGV021,SGV035,2,1
SGV022,SGV035,12,1
SGV023,SGV035,12,1
SGV025,SGV035,2,1
SGV026,SGV035,2,1
SGV028,SGV035,12,1
SGV029,SGV035,3,1
SGV030,SGV035,7,1
SGV031,SGV035,12,1
SGV032,SGV035,14,1
SGV033,SGV035,6,1
SGV034,SGV035,15,1
SGV035,SGV035,0,0
SGV036,SGV035,2,1
SGV037,SGV035,3,1
SGV038,SGV035,15,1
SGV039,SGV035,1,1
SGV040,SGV035,15,1
SGV041,SGV035,5,1
SGV042,SGV035,13,1
SGV043,SGV035,8,1
SGV044,SGV035,6,1
SGV045,SGV035,16,1
SGV046,SGV035,14,1
SGV047,SGV035,8,1
SGV048,SGV035,13,1
SGV049,SGV035,14,1
SGV050,SGV035,12,1
SGV051,SGV035,17,1
SGV052,SGV035,11,1
SGV053,SGV035,12,1
SGV054,SGV035,2,1
SGV055,SGV035,12,1
SGV056,SGV035,13,1
SGV057,SGV035,11,1
SGV058,SGV035,11,1
SGV059,SGV035,9,1
SGV060,SGV035,20,1
SGV061,SGV035,18,1
SGV062,SGV035,9,1
SGV063,SGV035,5,1
SGV064,SGV035,16,1
SGV065,SGV035,13,1
SGV066,SGV035,6,1
SGV067,SGV035,15,1
SGV068,SGV035,9,1
SGV069,SGV035,17,1
SGV070,SGV035,12,1
SGV071,SGV035,5,1
SGV072,SGV035,13,0
SGV073,SGV035,12,1
SGV075,SGV035,10,1
SGV077,SGV035,11,1
SGV078,SGV035,10,1
SGV079,SGV035,19,1
SGV080,SGV035,13,1
SGV004,SGV036,100,0
SGV021,SGV036,2,0
SGV022,SGV036,12,0
SGV023,SGV036,12,0
SGV025,SGV036,2,0
SGV026,SGV036,2,0
SGV028,SGV036,12,0
SGV029,SGV036,3,0
SGV030,SGV036,7,0
SGV031,SGV036,12,0
SGV032,SGV036,14,1
SGV033,SGV036,6,1
SGV034,SGV036,15,1
SGV035,SGV036,2,1
SGV036,SGV036,0,0
SGV037,SGV036,5,0
SGV038,SGV036,15,0
SGV039,SGV036,1,1
SGV040,SGV036,15,0
SGV041,SGV036,5,0
SGV042,SGV036,13,0
SGV043,SGV036,8,0
SGV044,SGV036,6,0
SGV045,SGV036,16,1
SGV046,SGV036,14,0
SGV047,SGV036,10,0
SGV048,SGV036,13,0
SGV049,SGV036,14,1
SGV050,SGV036,12,1
SGV051,SGV036,17,0
SGV052,SGV036,11,1
SGV053,SGV036,12,0
SGV054,SGV036,2,1
SGV055,SGV036,12,0
SGV056,SGV036,13,1
SGV057,SGV036,11,0
SGV058,SGV036,11,1
SGV059,SGV036,9,0
SGV060,SGV036,20,0
SGV061,SGV036,18,1
SGV062,SGV036,9,0
SGV063,SGV036,5,1
SGV064,SGV036,16,0
SGV065,SGV036,13,1
SGV066,SGV036,6,1
SGV067,SGV036,15,0
SGV068,SGV036,11,1
SGV069,SGV036,17,0
SGV070,SGV036,12,1
SGV071,SGV036,5,1
SGV072,SGV036,13,1
SGV073,SGV036,12,1
SGV075,SGV036,10,0
SGV077,SGV036,11,1
SGV078,SGV036,10,0
SGV079,SGV036,19,1
SGV080,SGV036,13,1
SGV004,SGV037,103,0
SGV021,SGV037,3,0
SGV022,SGV037,15,0
SGV023,SGV037,15,0
SGV025,SGV037,3,0
SGV026,SGV037,5,0
SGV028,SGV037,15,0
SGV029,SGV037,4,0
SGV030,SGV037,8,0
SGV031,SGV037,15,0
SGV032,SGV037,17,1
SGV033,SGV037,7,1
SGV034,SGV037,18,1
SGV035,SGV037,3,1
SGV036,SGV037,5,0
SGV037,SGV037,0,0
SGV038,SGV037,18,0
SGV039,SGV037,4,1
SGV040,SGV037,18,0
SGV041,SGV037,6,0
SGV042,SGV037,16,0
SGV043,SGV037,9,0
SGV044,SGV037,7,0
SGV045,SGV037,19,1
SGV046,SGV037,17,0
SGV047,SGV037,7,0
SGV048,SGV037,16,0
SGV049,SGV037,17,1
SGV050,SGV037,15,1
SGV051,SGV037,20,0
SGV052,SGV037,14,1
SGV053,SGV037,15,0
SGV054,SGV037,5,1
SGV055,SGV037,15,0
SGV056,SGV037,16,1
SGV057,SGV037,14,0
SGV058,SGV037,14,1
SGV059,SGV037,12,0
SGV060,SGV037,23,0
SGV061,SGV037,21,1
SGV062,SGV037,12,0
SGV063,SGV037,6,1
SGV064,SGV037,19,0
SGV065,SGV037,16,1
SGV066,SGV037,7,1
SGV067,SGV037,18,0
SGV068,SGV037,8,1
SGV069,SGV037,20,0
SGV070,SGV037,15,1
SGV071,SGV037,8,1
SGV072,SGV037,16,1
SGV073,SGV037,15,1
SGV075,SGV037,13,0
SGV077,SGV037,14,1
SGV078,SGV037,13,0
SGV079,SGV037,22,1
SGV080,SGV037,16,1
SGV004,SGV038,103,0
SGV021,SGV038,15,0
SGV022,SGV038,17,0
SGV023,SGV038,3,0
SGV025,SGV038,15,0
SGV026,SGV038,15,0
SGV028,SGV038,9,0
SGV029,SGV038,16,0
SGV030,SGV038,19,0
SGV031,SGV038,7,0
SGV032,SGV038,9,1
SGV033,SGV038,19,1
SGV034,SGV038,12,1
SGV035,SGV038,15,1
SGV036,SGV038,15,0
SGV037,SGV038,18,0
SGV038,SGV038,0,0
SGV039,SGV038,14,1
SGV040,SGV038,12,0
SGV041,SGV038,18,0
SGV042,SGV038,18,0
SGV043,SGV038,21,0
SGV044,SGV038,19,0
SGV045,SGV038,13,1
SGV046,SGV038,19,0
SGV047,SGV038,23,0
SGV048,SGV038,19,0
SGV049,SGV038,11,1
SGV050,SGV038,17,1
SGV051,SGV038,12,0
SGV052,SGV038,16,1
SGV053,SGV038,17,0
SGV054,SGV038,15,1
SGV055,SGV038,18,0
SGV056,SGV038,18,1
SGV057,SGV038,16,0
SGV058,SGV038,16,1
SGV059,SGV038,14,0
SGV060,SGV038,17,0
SGV061,SGV038,23,1
SGV062,SGV038,16,0
SGV063,SGV038,18,1
SGV064,SGV038,11,0
SGV065,SGV038,18,1
SGV066,SGV038,19,1
SGV067,SGV038,20,0
SGV068,SGV038,24,1
SGV069,SGV038,12,0
SGV070,SGV038,17,1
SGV071,SGV038,10,1
SGV072,SGV038,10,1
SGV073,SGV038,17,1
SGV075,SGV038,15,0
SGV077,SGV038,16,1
SGV078,SGV038,15,0
SGV079,SGV038,14,1
SGV080,SGV038,18,1
SGV004,SGV039,99,1
SGV021,SGV039,1,1
SGV022,SGV039,11,1
SGV023,SGV039,11,1
SGV025,SGV039,1,1
SGV026,SGV039,1,1
SGV028,SGV039,11,1
SGV029,SGV039,2,1
SGV030,SGV039,6,1
SGV031,SGV039,11,1
SGV032,SGV039,13,1
SGV033,SGV039,5,1
SGV034,SGV039,14,1
SGV035,SGV039,1,1
SGV036,SGV039,1,1
SGV037,SGV039,4,1
SGV038,SGV039,14,1
SGV039,SGV039,0,0
SGV040,SGV039,14,1
SGV041,SGV039,4,1
SGV042,SGV039,12,1
SGV043,SGV039,7,1
SGV044,SGV039,5,1
SGV045,SGV039,15,0
SGV046,SGV039,13,1
SGV047,SGV039,9,1
SGV048,SGV039,12,1
SGV049,SGV039,13,1
