"isolate","rec_start","rec_end","rec_type","n_taxa_in_rec","genes_hit","n_genes","rec_length"
"SC0571",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0572",375719,377447,"shared",14,"cmeB",1,1729
"SC0572",375758,377447,"shared",3,"cmeB",1,1690
"SC0572",375758,376664,"shared",7,"cmeB",1,907
"SC0572",375932,376523,"shared",11,"cmeB",1,592
"SC0576",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0576",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0576",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0576",376640,376735,"shared",28,"cmeB",1,96
"SC0576",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0579",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0579",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0579",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0579",376640,376735,"shared",28,"cmeB",1,96
"SC0579",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0581",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0581",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0581",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0581",376640,376735,"shared",28,"cmeB",1,96
"SC0581",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0594",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0594",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0594",376784,377038,"shared",38,"cmeB",1,255
"SC0618",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0618",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0618",376784,377038,"shared",38,"cmeB",1,255
"SC0632",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0632",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0632",376784,377038,"shared",38,"cmeB",1,255
"SC0674",375719,377447,"shared",14,"cmeB",1,1729
"SC0674",375758,377447,"shared",3,"cmeB",1,1690
"SC0674",375758,376664,"shared",7,"cmeB",1,907
"SC0674",375932,376523,"shared",11,"cmeB",1,592
"SC0677",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0677",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0677",376784,377038,"shared",38,"cmeB",1,255
"SC0682",374482,378106,"unique",1,"cmeC, cmeB, cmeA",3,3625
"SC0682",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0682",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0682",378736,378919,"unique",1,"cmeA",1,184
"SC0708",375656,377378,"shared",2,"cmeB",1,1723
"SC0708",375719,377447,"shared",14,"cmeB",1,1729
"SC0708",375758,376664,"shared",7,"cmeB",1,907
"SC0708",375932,376523,"shared",11,"cmeB",1,592
"SC0712",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0712",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0712",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0712",376640,376735,"shared",28,"cmeB",1,96
"SC0712",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0713",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0713",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0713",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0713",376640,376735,"shared",28,"cmeB",1,96
"SC0713",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0715",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0715",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0715",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0715",376640,376735,"shared",28,"cmeB",1,96
"SC0715",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0716",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0716",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0716",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0716",376640,376735,"shared",28,"cmeB",1,96
"SC0716",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0737",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0737",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0737",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0737",376640,376735,"shared",28,"cmeB",1,96
"SC0737",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0742",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0742",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0742",376784,377038,"shared",38,"cmeB",1,255
"SC0745",374930,378061,"unique",1,"cmeB, cmeA",2,3132
"SC0745",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0745",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0745",376640,376735,"shared",28,"cmeB",1,96
"SC0745",378736,379155,"unique",1,"cmeA, cmeR",2,420
"SC0760",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0760",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0760",376784,377038,"shared",38,"cmeB",1,255
"SC0776",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0776",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0776",376784,377038,"shared",38,"cmeB",1,255
"SC0857",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0857",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0857",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0857",376640,376735,"shared",28,"cmeB",1,96
"SC0857",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0861",375656,377378,"shared",2,"cmeB",1,1723
"SC0861",375719,377447,"shared",14,"cmeB",1,1729
"SC0861",375758,376664,"shared",7,"cmeB",1,907
"SC0861",375932,376523,"shared",11,"cmeB",1,592
"SC0909",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0909",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0909",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0909",376640,376735,"shared",28,"cmeB",1,96
"SC0909",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0941",374990,377660,"shared",2,"cmeB",1,2671
"SC0941",375719,377447,"shared",14,"cmeB",1,1729
"SC0948",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0948",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0948",376784,377038,"shared",38,"cmeB",1,255
"SC0949",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC0949",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0949",376784,377038,"shared",38,"cmeB",1,255
"SC0949",376970,377138,"unique",1,"cmeB",1,169
"SC0961",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC0961",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC0961",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC0961",376640,376735,"shared",28,"cmeB",1,96
"SC0961",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC0987",374990,377660,"shared",2,"cmeB",1,2671
"SC0987",375719,377447,"shared",14,"cmeB",1,1729
"SC1010",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC1010",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC1010",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1010",376640,376735,"shared",28,"cmeB",1,96
"SC1010",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC1065",375125,375407,"unique",1,"cmeB",1,283
"SC1065",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1065",376784,378153,"unique",1,"cmeB, cmeA",2,1370
"SC1065",376784,377038,"shared",38,"cmeB",1,255
"SC1073",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1073",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1073",376784,377038,"shared",38,"cmeB",1,255
"SC1137",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC1137",375110,378153,"shared",2,"cmeB, cmeA",2,3044
"SC1137",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1137",376640,376735,"shared",28,"cmeB",1,96
"SC1192",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1192",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1192",376784,377038,"shared",38,"cmeB",1,255
"SC1207",375266,377878,"shared",2,"cmeB, cmeA",2,2613
"SC1207",375719,377447,"shared",14,"cmeB",1,1729
"SC1207",375758,376664,"shared",7,"cmeB",1,907
"SC1207",375932,376523,"shared",11,"cmeB",1,592
"SC1319",375122,375374,"shared",4,"cmeB",1,253
"SC1319",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1319",376508,378106,"shared",4,"cmeB, cmeA",2,1599
"SC1319",376784,377038,"shared",38,"cmeB",1,255
"SC1380",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1380",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1380",376784,377038,"shared",38,"cmeB",1,255
"SC1441",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC1441",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC1441",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1441",376640,376735,"shared",28,"cmeB",1,96
"SC1441",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC1442",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC1442",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC1442",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1442",376640,376735,"shared",28,"cmeB",1,96
"SC1442",376658,379518,"shared",24,"cmeB, cmeA, cmeR",3,2861
"SC1558",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1558",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1558",376784,377038,"shared",38,"cmeB",1,255
"SC1591",375719,383332,"shared",3,"cmeB, cmeA, cmeR",3,7614
"SC1591",375719,377447,"shared",14,"cmeB",1,1729
"SC1591",375932,376523,"shared",11,"cmeB",1,592
"SC1628",375107,377878,"shared",25,"cmeB, cmeA",2,2772
"SC1628",375107,378915,"shared",29,"cmeB, cmeA",2,3809
"SC1628",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1628",376640,378916,"unique",1,"cmeB, cmeA",2,2277
"SC1628",376640,376735,"shared",28,"cmeB",1,96
"SC1673",375719,377447,"shared",14,"cmeB",1,1729
"SC1673",375758,377447,"shared",3,"cmeB",1,1690
"SC1673",375758,376664,"shared",7,"cmeB",1,907
"SC1673",375932,376523,"shared",11,"cmeB",1,592
"SC1689",375344,377833,"unique",1,"cmeB, cmeA",2,2490
"SC1689",375719,377447,"shared",14,"cmeB",1,1729
"SC1694",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1694",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1694",376784,377038,"shared",38,"cmeB",1,255
"SC1697",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1697",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1697",376784,377038,"shared",38,"cmeB",1,255
"SC1703",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1703",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1703",376784,377038,"shared",38,"cmeB",1,255
"SC1705",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1705",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1705",376784,377038,"shared",38,"cmeB",1,255
"SC1706",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1706",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1706",376784,377038,"shared",38,"cmeB",1,255
"SC1707",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1707",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1707",376784,377038,"shared",38,"cmeB",1,255
"SC1708",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1708",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1708",376784,377038,"shared",38,"cmeB",1,255
"SC1716",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1716",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1716",376784,377038,"shared",38,"cmeB",1,255
"SC1717",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1717",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1717",376784,377038,"shared",38,"cmeB",1,255
"SC1725",375122,378106,"shared",33,"cmeB, cmeA",2,2985
"SC1725",375125,378153,"shared",67,"cmeB, cmeA",2,3029
"SC1725",376784,377038,"shared",38,"cmeB",1,255
