snp-dists 0.8.2,SBV005,SBV007,SBV010,SBV011,SBV019,SBV021,SBV022,SBV023,SBV024,SBV025,SBV027,SBV029,SBV030,SBV032,SBV033,SBV035,SBV036,SBV037,SBV038,SBV039,SBV041,SBV042,SBV043,SBV044,SBV045,SBV046,SBV047,SBV048,SBV049,SBV050,SBV051,SBV052,SBV053,SBV054,SBV055,SBV056,SBV057,SBV058,SBV059,SBV060,SBV061,SBV062,SBV063,SBV064,SBV067,SBV068,SBV069,SBV070,SBV071,SBV072,SBV075,SBV076,SBV077,SBV078,SBV079,SBV080,SBV081,SBV082,SBV083,SBV084,SBV087,SBV088,SBV089,SBV090,SBV091,SBV092,SBV093,SBV094,SBV095,SBV096,SBV097,SBV098,SBV099,SBV100,SBV101,SBV102,SBV103,SBV104,SBV105,SBV106,SBV107,SBV108,SBV109,SBV110,SBV111,SBV112,SBV113,SBV114,SBV115,SBV116,SBV117,SBV118,SBV119,SBV121,SBV122,SBV123,SBV124,SBV125,SBV127,SBV128,SBV130,SBV132,SBV133,SBV134,SBV135,SBV136,SBV138,SBV139,SBV140,SBV141,SBV142,SBV143,SBV144,SBV145,SBV146,SBV147,SBV148,SBV150,SBV151,SBV152,SBV153,SBV156,SBV157,SBV158,SBV159,SBV160,SBV161,SBV162,SBV163,SBV164,SBV165,SBV166,SBV167,SBV168,SBV169,SBV170,SBV171,SBV172,SBV173,SBV174,SBV175,SBV176,SBV218,SBV234,SBV235,SBV240,SBV257,SBV269,SBV270,SBV271,SBV272,SBV273,SBV274,SBV275,SBV276,SBV277,SBV278,SBV279,SBV280,SBV281,SBV282,SBV283,SBV284,SBV285,SBV286,SBV287,SBV288,SBV289,SBV290,SBV291,SBV292,SBV293,SBV294,SBV295,SBV296,SBV297,SBV298,SBV299,SBV300,SBV301,SBV302,SBV305,SBV306,SBV307,SBV308,SBV310,SBV311,SBV312,SBV313,SBV314,SBV315,SBV316,SBV317,SBV318,SBV319,SBV320,SBV321,SBV322,SBV323,SBV324,SBV325,SBV326,SBV327,SBV328,SBV329,SBV330,SBV331,SBV332,SBV333,SBV334,SBV335,SBV336,SBV337,SBV338,SBV339,SBV340,SBV341,SBV343,SBV344,SBV345,SBV347,SBV348,SBV349,SBV350,SBV351,SBV352,SBV353,SBV354,SBV355,SBV356,SBV357,SBV358,SBV359,SBV361,SBV362,SBV363,SBV364,SBV365,SBV366,SBV367,SBV368,SBV369,SBV370,SBV371,SBV372,SBV373,SBV374,SBV375,SBV376
SBV027,34,3,59,81,66,65,12,2,66,2,0,70,3,70,2,2,2,2,5,5,3,2,4,4,2,3,2,2,2,4,2,4,2,4,4,3,1,4,2,3,3,4,3,3,4,4,3,4,2,7,3,2,3,4,3,4,2,3,2,2,3,5,4,1,5,2,3,4,4,2,2,2,1,3,3,7,5,2,5,3,6,3,7,5,4,2,6,3,3,6,4,3,4,4,5,4,4,4,4,4,4,5,6,4,1,5,5,5,2,4,5,2,6,4,5,6,4,2,4,5,5,6,6,3,6,7,7,4,5,4,6,4,4,4,5,8,2,3,2,3,2,7,2,5,3,7,6,6,6,3,4,6,9,8,9,9,6,4,4,5,8,6,6,6,6,7,8,6,5,5,6,6,7,7,5,2,6,7,8,6,7,11,7,7,7,7,7,5,71,2,7,10,9,3,9,4,7,4,7,7,4,10,4,2,9,4,8,2,1,7,4,2,2,8,6,6,9,9,8,4,5,6,1,8,5,8,8,4,5,5,9,8,8,4,9,9,8,9,9,10,9,8,8,6,9,3,11,5,8
SBV029,60,73,35,75,34,55,66,72,34,68,70,0,73,2,72,72,72,72,75,75,73,72,74,74,72,73,72,72,72,74,72,74,72,74,74,73,71,74,72,73,73,74,73,73,74,74,73,74,72,77,73,72,73,74,73,74,72,73,72,72,73,75,74,71,75,72,73,74,74,72,72,72,71,73,73,77,75,72,75,73,76,73,77,75,74,72,76,73,73,76,74,73,74,74,75,74,74,74,74,74,74,75,76,74,71,75,75,75,72,74,75,72,76,74,75,76,74,72,74,75,75,76,76,73,76,77,77,74,75,74,76,74,74,74,75,78,72,73,72,73,72,77,72,75,73,77,76,76,76,73,74,76,79,78,79,79,76,74,74,75,78,76,76,76,76,77,78,76,75,75,76,76,77,77,75,72,76,77,78,76,77,81,77,77,77,77,77,75,13,72,77,80,79,73,79,74,77,74,77,77,74,80,74,72,79,74,78,72,71,77,74,72,72,78,76,76,79,79,78,74,75,76,71,78,75,78,78,74,75,75,79,78,78,74,79,79,78,79,79,80,79,78,78,76,79,73,81,75,78
SBV030,37,6,62,84,69,68,15,5,69,5,3,73,0,73,5,5,5,5,8,8,6,5,7,7,5,6,5,5,5,7,5,7,5,7,7,6,4,7,5,6,6,7,6,6,7,7,6,7,5,8,6,5,6,7,6,7,5,6,5,5,6,8,7,4,8,5,6,7,7,5,5,5,4,6,6,10,8,5,8,6,9,6,10,8,7,5,9,6,6,9,7,6,7,7,8,7,7,7,7,7,7,8,9,7,4,8,8,8,5,7,8,5,9,7,8,9,7,5,7,8,8,9,9,6,9,10,10,7,8,7,9,7,7,7,8,11,5,6,5,6,5,10,5,8,6,10,9,9,9,6,7,9,12,11,12,12,9,7,7,8,11,9,9,9,9,10,11,9,8,8,9,9,10,10,8,5,9,10,11,9,10,14,10,10,10,10,10,8,74,5,10,13,12,6,12,7,10,7,10,10,7,13,7,5,12,7,11,5,4,10,7,5,5,11,9,9,12,12,11,7,8,9,4,11,8,11,11,7,8,8,12,11,11,7,12,12,11,12,12,13,12,11,11,9,12,6,14,8,11
SBV032,60,73,35,75,34,55,66,72,34,68,70,2,73,0,72,72,72,72,75,75,73,72,74,74,72,73,72,72,72,74,72,74,72,74,74,73,71,74,72,73,73,74,73,73,74,74,73,74,72,77,73,72,73,74,73,74,72,73,72,72,73,75,74,71,75,72,73,74,74,72,72,72,71,73,73,77,75,72,75,73,76,73,77,75,74,72,76,73,73,76,74,73,74,74,75,74,74,74,74,74,74,75,76,74,71,75,75,75,72,74,75,72,76,74,75,76,74,72,74,75,75,76,76,73,76,77,77,74,75,74,76,74,74,74,75,78,72,73,72,73,72,77,72,75,73,77,76,76,76,73,74,76,79,78,79,79,76,74,74,75,78,76,76,76,76,77,78,76,75,75,76,76,77,77,75,72,76,77,78,76,77,81,77,77,77,77,77,75,13,72,77,80,79,73,79,74,77,74,77,77,74,80,74,72,79,74,78,72,71,77,74,72,72,78,76,76,79,79,78,74,75,76,71,78,75,78,78,74,75,75,79,78,78,74,79,79,78,79,79,80,79,78,78,76,79,73,81,75,78
SBV033,36,5,61,83,68,67,14,4,68,4,2,72,5,72,0,4,4,4,7,7,5,4,6,6,4,5,4,4,4,6,4,6,4,6,6,5,3,6,4,5,5,6,5,5,6,6,5,6,4,9,5,4,5,6,5,6,4,5,4,4,5,7,6,3,7,4,5,6,6,4,4,4,3,5,5,9,7,4,7,5,8,5,9,7,6,4,8,5,5,8,6,5,6,6,7,6,6,6,6,6,6,7,8,6,3,7,7,7,4,6,7,4,8,6,7,8,6,4,6,7,7,8,8,5,8,9,9,6,7,6,8,6,6,6,7,10,4,5,4,5,4,9,4,7,5,9,8,8,8,5,6,8,11,10,11,11,8,6,6,7,10,8,8,8,8,9,10,8,7,7,8,8,9,9,7,4,8,9,10,8,9,13,9,9,9,9,9,7,73,4,9,12,11,5,11,6,9,6,9,9,6,12,6,4,11,6,10,4,3,9,6,4,4,10,8,8,11,11,10,6,7,8,3,10,7,10,10,6,7,7,11,10,10,6,11,11,10,11,11,12,11,10,10,8,11,5,13,7,10
SBV035,36,1,61,83,68,67,14,2,68,4,2,72,5,72,4,0,0,4,3,5,3,0,4,4,2,3,2,2,2,4,2,4,4,2,4,1,1,2,2,5,1,2,3,1,4,2,3,2,2,9,3,2,3,2,3,2,2,3,2,2,3,3,4,3,3,4,1,4,4,2,2,2,3,3,3,5,3,0,5,3,4,3,7,3,4,2,6,3,3,4,4,3,2,4,5,4,4,4,2,4,4,5,6,4,3,5,5,5,2,4,5,2,6,4,5,4,4,2,2,5,5,6,6,3,6,7,5,4,5,4,4,4,4,4,5,6,2,3,2,3,2,5,4,5,3,7,6,4,8,5,4,8,11,10,11,7,6,4,4,5,8,6,8,6,8,7,8,8,7,5,8,6,7,9,5,2,6,7,8,8,7,9,9,9,7,9,5,7,73,4,7,12,9,5,11,6,7,4,7,7,6,10,6,4,9,6,10,2,3,9,6,4,2,10,8,8,11,11,8,4,5,6,3,6,7,10,8,6,5,5,9,8,8,4,9,11,10,9,9,10,11,8,10,8,9,5,13,5,10
SBV036,36,1,61,83,68,67,14,2,68,4,2,72,5,72,4,0,0,4,3,5,3,0,4,4,2,3,2,2,2,4,2,4,4,2,4,1,1,2,2,5,1,2,3,1,4,2,3,2,2,9,3,2,3,2,3,2,2,3,2,2,3,3,4,3,3,4,1,4,4,2,2,2,3,3,3,5,3,0,5,3,4,3,7,3,4,2,6,3,3,4,4,3,2,4,5,4,4,4,2,4,4,5,6,4,3,5,5,5,2,4,5,2,6,4,5,4,4,2,2,5,5,6,6,3,6,7,5,4,5,4,4,4,4,4,5,6,2,3,2,3,2,5,4,5,3,7,6,4,8,5,4,8,11,10,11,7,6,4,4,5,8,6,8,6,8,7,8,8,7,5,8,6,7,9,5,2,6,7,8,8,7,9,9,9,7,9,5,7,73,4,7,12,9,5,11,6,7,4,7,7,6,10,6,4,9,6,10,2,3,9,6,4,2,10,8,8,11,11,8,4,5,6,3,6,7,10,8,6,5,5,9,8,8,4,9,11,10,9,9,10,11,8,10,8,9,5,13,5,10
SBV037,36,5,61,83,68,67,14,4,68,4,2,72,5,72,4,4,4,0,7,7,5,4,6,6,4,5,4,4,4,6,4,6,4,6,6,5,3,6,4,5,5,6,5,5,6,6,5,6,4,9,5,4,5,6,5,6,4,5,4,4,5,7,6,3,7,4,5,6,6,4,4,4,3,5,5,9,7,4,7,5,8,5,9,7,6,4,8,5,5,8,6,5,6,6,7,6,6,6,6,6,6,7,8,6,3,7,7,7,4,6,7,4,8,6,7,8,6,4,6,7,7,8,8,5,8,9,9,6,7,6,8,6,6,6,7,10,4,5,4,5,4,9,4,7,5,9,8,8,8,5,6,8,11,10,11,11,8,6,6,7,10,8,8,8,8,9,10,8,7,7,8,8,9,9,7,4,8,9,10,8,9,13,9,9,9,9,9,7,73,4,9,12,11,5,11,6,9,6,9,9,6,12,6,4,11,6,10,4,3,9,6,4,4,10,8,8,11,11,10,6,7,8,3,10,7,10,10,6,7,7,11,10,10,6,11,11,10,11,11,12,11,10,10,8,11,5,13,7,10
SBV038,39,4,64,86,71,70,17,5,71,7,5,75,8,75,7,3,3,7,0,8,6,3,7,7,5,6,5,5,5,7,5,7,7,5,7,4,4,5,5,8,4,5,6,4,7,5,6,5,5,12,6,5,6,5,6,5,5,6,5,5,6,6,7,6,6,7,4,7,7,5,5,5,6,6,6,8,6,3,8,6,7,6,10,6,7,5,9,6,6,7,7,6,5,7,8,7,7,7,5,7,7,8,9,7,6,8,8,8,5,7,8,5,9,7,8,7,7,5,5,8,8,9,9,6,9,10,8,7,8,7,7,7,7,7,8,9,5,6,5,6,5,8,7,8,6,10,9,7,11,8,7,11,14,13,14,10,9,7,7,8,11,9,11,9,11,10,11,11,10,8,11,9,10,12,8,5,9,10,11,11,10,12,12,12,10,12,8,10,76,7,10,15,12,8,14,9,10,7,10,10,9,13,9,7,12,9,13,5,6,12,9,7,5,13,11,11,14,14,11,7,8,9,6,9,10,13,11,9,8,8,12,11,11,7,12,14,13,12,12,13,14,11,13,11,12,8,16,8,13
SBV039,39,6,64,86,71,70,17,3,71,7,5,75,8,75,7,5,5,7,8,0,4,5,5,5,3,4,3,3,3,5,3,5,7,7,5,6,4,7,3,8,6,7,4,6,3,7,4,7,3,12,4,3,4,7,4,7,3,4,3,3,4,8,5,6,8,7,6,5,5,3,3,3,6,4,4,10,8,5,6,4,9,4,8,8,5,3,7,4,4,9,5,4,7,5,6,5,5,5,7,5,5,6,7,5,6,6,6,6,3,5,6,3,7,5,6,9,5,3,7,6,6,7,7,4,7,8,10,5,6,5,9,5,5,5,6,11,3,4,3,4,3,10,7,6,4,8,7,9,11,8,5,11,14,13,14,12,7,5,5,6,9,7,11,7,11,8,9,11,10,6,11,7,8,12,6,3,7,8,9,11,8,14,12,12,8,12,10,10,76,7,8,15,10,8,14,9,8,5,8,8,9,11,9,7,10,9,13,3,6,12,9,7,3,13,11,11,14,14,9,5,6,7,6,11,10,13,9,9,6,6,10,9,9,5,10,14,13,10,10,11,14,9,13,11,10,8,16,6,13
SBV041,37,4,62,84,69,68,15,1,69,5,3,73,6,73,5,3,3,5,6,4,0,3,3,3,1,2,1,1,1,3,1,3,5,5,3,4,2,5,1,6,4,5,2,4,3,5,2,5,1,10,2,1,2,5,2,5,1,2,1,1,2,6,3,4,6,5,4,3,3,1,1,1,4,2,2,8,6,3,4,2,7,2,6,6,3,1,5,2,2,7,3,2,5,3,4,3,3,3,5,3,3,4,5,3,4,4,4,4,1,3,4,1,5,3,4,7,3,1,5,4,4,5,5,2,5,6,8,3,4,3,7,3,3,3,4,9,1,2,1,2,1,8,5,4,2,6,5,7,9,6,3,9,12,11,12,10,5,3,3,4,7,5,9,5,9,6,7,9,8,4,9,5,6,10,4,1,5,6,7,9,6,12,10,10,6,10,8,8,74,5,6,13,8,6,12,7,6,3,6,6,7,9,7,5,8,7,11,1,4,10,7,5,1,11,9,9,12,12,7,3,4,5,4,9,8,11,7,7,4,4,8,7,7,3,8,12,11,8,8,9,12,7,11,9,8,6,14,4,11
SBV042,36,1,61,83,68,67,14,2,68,4,2,72,5,72,4,0,0,4,3,5,3,0,4,4,2,3,2,2,2,4,2,4,4,2,4,1,1,2,2,5,1,2,3,1,4,2,3,2,2,9,3,2,3,2,3,2,2,3,2,2,3,3,4,3,3,4,1,4,4,2,2,2,3,3,3,5,3,0,5,3,4,3,7,3,4,2,6,3,3,4,4,3,2,4,5,4,4,4,2,4,4,5,6,4,3,5,5,5,2,4,5,2,6,4,5,4,4,2,2,5,5,6,6,3,6,7,5,4,5,4,4,4,4,4,5,6,2,3,2,3,2,5,4,5,3,7,6,4,8,5,4,8,11,10,11,7,6,4,4,5,8,6,8,6,8,7,8,8,7,5,8,6,7,9,5,2,6,7,8,8,7,9,9,9,7,9,5,7,73,4,7,12,9,5,11,6,7,4,7,7,6,10,6,4,9,6,10,2,3,9,6,4,2,10,8,8,11,11,8,4,5,6,3,6,7,10,8,6,5,5,9,8,8,4,9,11,10,9,9,10,11,8,10,8,9,5,13,5,10
