"","snp.dists.0.8.2","ST1","variable","ST2","value"
"224","SGV073",654,"SGV004",654,102
"225","SGV075",654,"SGV004",654,100
"226","SGV077",654,"SGV004",654,101
"227","SGV078",654,"SGV004",654,100
"228","SGV079",654,"SGV004",654,106
"229","SGV080",654,"SGV004",654,103
"1389","SGV004",654,"SGV021",654,100
"1405","SGV021",654,"SGV021",654,0
"1406","SGV022",654,"SGV021",654,12
"1407","SGV023",654,"SGV021",654,12
"1408","SGV025",654,"SGV021",654,0
"1409","SGV026",654,"SGV021",654,2
"1411","SGV028",654,"SGV021",654,12
"1412","SGV029",654,"SGV021",654,1
"1413","SGV030",654,"SGV021",654,5
"1414","SGV031",654,"SGV021",654,12
"1415","SGV032",654,"SGV021",654,14
"1416","SGV033",654,"SGV021",654,4
"1417","SGV034",654,"SGV021",654,15
"1418","SGV035",654,"SGV021",654,2
"1419","SGV036",654,"SGV021",654,2
"1420","SGV037",654,"SGV021",654,3
"1421","SGV038",654,"SGV021",654,15
"1422","SGV039",654,"SGV021",654,1
"1423","SGV040",654,"SGV021",654,15
"1424","SGV041",654,"SGV021",654,3
"1425","SGV042",654,"SGV021",654,13
"1426","SGV043",654,"SGV021",654,6
"1427","SGV044",654,"SGV021",654,4
"1428","SGV045",654,"SGV021",654,16
"1429","SGV046",654,"SGV021",654,14
"1430","SGV047",654,"SGV021",654,8
"1431","SGV048",654,"SGV021",654,13
"1432","SGV049",654,"SGV021",654,14
"1433","SGV050",654,"SGV021",654,12
"1434","SGV051",654,"SGV021",654,17
"1435","SGV052",654,"SGV021",654,11
"1436","SGV053",654,"SGV021",654,12
"1437","SGV054",654,"SGV021",654,2
"1438","SGV055",654,"SGV021",654,12
"1439","SGV056",654,"SGV021",654,13
"1440","SGV057",654,"SGV021",654,11
"1441","SGV058",654,"SGV021",654,11
"1442","SGV059",654,"SGV021",654,9
"1443","SGV060",654,"SGV021",654,20
"1444","SGV061",654,"SGV021",654,18
"1445","SGV062",654,"SGV021",654,9
"1446","SGV063",654,"SGV021",654,3
"1447","SGV064",654,"SGV021",654,16
"1448","SGV065",654,"SGV021",654,13
"1449","SGV066",654,"SGV021",654,4
"1450","SGV067",654,"SGV021",654,15
"1451","SGV068",654,"SGV021",654,9
"1452","SGV069",654,"SGV021",654,17
"1453","SGV070",654,"SGV021",654,12
"1454","SGV071",654,"SGV021",654,5
"1455","SGV072",654,"SGV021",654,13
"1456","SGV073",654,"SGV021",654,12
"1457","SGV075",654,"SGV021",654,10
"1458","SGV077",654,"SGV021",654,11
"1459","SGV078",654,"SGV021",654,10
"1460","SGV079",654,"SGV021",654,19
"1461","SGV080",654,"SGV021",654,13
"1466","SGV004",654,"SGV022",654,102
"1482","SGV021",654,"SGV022",654,12
"1483","SGV022",654,"SGV022",654,0
"1484","SGV023",654,"SGV022",654,14
"1485","SGV025",654,"SGV022",654,12
"1486","SGV026",654,"SGV022",654,12
"1488","SGV028",654,"SGV022",654,14
"1489","SGV029",654,"SGV022",654,13
"1490","SGV030",654,"SGV022",654,17
"1491","SGV031",654,"SGV022",654,14
"1492","SGV032",654,"SGV022",654,16
"1493","SGV033",654,"SGV022",654,16
"1494","SGV034",654,"SGV022",654,17
"1495","SGV035",654,"SGV022",654,12
"1496","SGV036",654,"SGV022",654,12
"1497","SGV037",654,"SGV022",654,15
"1498","SGV038",654,"SGV022",654,17
"1499","SGV039",654,"SGV022",654,11
"1500","SGV040",654,"SGV022",654,19
"1501","SGV041",654,"SGV022",654,15
"1502","SGV042",654,"SGV022",654,15
"1503","SGV043",654,"SGV022",654,18
"1504","SGV044",654,"SGV022",654,16
"1505","SGV045",654,"SGV022",654,18
"1506","SGV046",654,"SGV022",654,12
"1507","SGV047",654,"SGV022",654,20
"1508","SGV048",654,"SGV022",654,12
"1509","SGV049",654,"SGV022",654,16
"1510","SGV050",654,"SGV022",654,10
"1511","SGV051",654,"SGV022",654,19
"1512","SGV052",654,"SGV022",654,9
"1513","SGV053",654,"SGV022",654,10
"1514","SGV054",654,"SGV022",654,12
"1515","SGV055",654,"SGV022",654,11
"1516","SGV056",654,"SGV022",654,11
"1517","SGV057",654,"SGV022",654,9
"1518","SGV058",654,"SGV022",654,9
"1519","SGV059",654,"SGV022",654,7
"1520","SGV060",654,"SGV022",654,22
"1521","SGV061",654,"SGV022",654,20
"1522","SGV062",654,"SGV022",654,9
"1523","SGV063",654,"SGV022",654,15
"1524","SGV064",654,"SGV022",654,18
"1525","SGV065",654,"SGV022",654,15
"1526","SGV066",654,"SGV022",654,16
"1527","SGV067",654,"SGV022",654,13
"1528","SGV068",654,"SGV022",654,21
"1529","SGV069",654,"SGV022",654,19
"1530","SGV070",654,"SGV022",654,10
"1531","SGV071",654,"SGV022",654,7
"1532","SGV072",654,"SGV022",654,15
"1533","SGV073",654,"SGV022",654,10
"1534","SGV075",654,"SGV022",654,8
"1535","SGV077",654,"SGV022",654,9
"1536","SGV078",654,"SGV022",654,8
"1537","SGV079",654,"SGV022",654,21
"1538","SGV080",654,"SGV022",654,11
"1543","SGV004",654,"SGV023",654,100
"1559","SGV021",654,"SGV023",654,12
"1560","SGV022",654,"SGV023",654,14
"1561","SGV023",654,"SGV023",654,0
"1562","SGV025",654,"SGV023",654,12
"1563","SGV026",654,"SGV023",654,12
"1565","SGV028",654,"SGV023",654,6
"1566","SGV029",654,"SGV023",654,13
"1567","SGV030",654,"SGV023",654,16
"1568","SGV031",654,"SGV023",654,4
"1569","SGV032",654,"SGV023",654,6
"1570","SGV033",654,"SGV023",654,16
"1571","SGV034",654,"SGV023",654,9
"1572","SGV035",654,"SGV023",654,12
"1573","SGV036",654,"SGV023",654,12
"1574","SGV037",654,"SGV023",654,15
"1575","SGV038",654,"SGV023",654,3
"1576","SGV039",654,"SGV023",654,11
"1577","SGV040",654,"SGV023",654,9
"1578","SGV041",654,"SGV023",654,15
"1579","SGV042",654,"SGV023",654,15
"1580","SGV043",654,"SGV023",654,18
"1581","SGV044",654,"SGV023",654,16
"1582","SGV045",654,"SGV023",654,10
"1583","SGV046",654,"SGV023",654,16
"1584","SGV047",654,"SGV023",654,20
"1585","SGV048",654,"SGV023",654,16
"1586","SGV049",654,"SGV023",654,8
"1587","SGV050",654,"SGV023",654,14
"1588","SGV051",654,"SGV023",654,9
"1589","SGV052",654,"SGV023",654,13
"1590","SGV053",654,"SGV023",654,14
"1591","SGV054",654,"SGV023",654,12
"1592","SGV055",654,"SGV023",654,15
"1593","SGV056",654,"SGV023",654,15
"1594","SGV057",654,"SGV023",654,13
"1595","SGV058",654,"SGV023",654,13
"1596","SGV059",654,"SGV023",654,11
"1597","SGV060",654,"SGV023",654,14
"1598","SGV061",654,"SGV023",654,20
"1599","SGV062",654,"SGV023",654,13
"1600","SGV063",654,"SGV023",654,15
"1601","SGV064",654,"SGV023",654,8
"1602","SGV065",654,"SGV023",654,15
"1603","SGV066",654,"SGV023",654,16
"1604","SGV067",654,"SGV023",654,17
"1605","SGV068",654,"SGV023",654,21
"1606","SGV069",654,"SGV023",654,9
"1607","SGV070",654,"SGV023",654,14
"1608","SGV071",654,"SGV023",654,7
"1609","SGV072",654,"SGV023",654,7
"1610","SGV073",654,"SGV023",654,14
"1611","SGV075",654,"SGV023",654,12
"1612","SGV077",654,"SGV023",654,13
"1613","SGV078",654,"SGV023",654,12
"1614","SGV079",654,"SGV023",654,11
"1615","SGV080",654,"SGV023",654,15
"1620","SGV004",654,"SGV025",654,100
"1636","SGV021",654,"SGV025",654,0
"1637","SGV022",654,"SGV025",654,12
"1638","SGV023",654,"SGV025",654,12
"1639","SGV025",654,"SGV025",654,0
"1640","SGV026",654,"SGV025",654,2
"1642","SGV028",654,"SGV025",654,12
"1643","SGV029",654,"SGV025",654,1
"1644","SGV030",654,"SGV025",654,5
"1645","SGV031",654,"SGV025",654,12
"1646","SGV032",654,"SGV025",654,14
"1647","SGV033",654,"SGV025",654,4
"1648","SGV034",654,"SGV025",654,15
"1649","SGV035",654,"SGV025",654,2
"1650","SGV036",654,"SGV025",654,2
"1651","SGV037",654,"SGV025",654,3
"1652","SGV038",654,"SGV025",654,15
"1653","SGV039",654,"SGV025",654,1
"1654","SGV040",654,"SGV025",654,15
"1655","SGV041",654,"SGV025",654,3
"1656","SGV042",654,"SGV025",654,13
"1657","SGV043",654,"SGV025",654,6
"1658","SGV044",654,"SGV025",654,4
"1659","SGV045",654,"SGV025",654,16
"1660","SGV046",654,"SGV025",654,14
"1661","SGV047",654,"SGV025",654,8
"1662","SGV048",654,"SGV025",654,13
"1663","SGV049",654,"SGV025",654,14
"1664","SGV050",654,"SGV025",654,12
"1665","SGV051",654,"SGV025",654,17
"1666","SGV052",654,"SGV025",654,11
"1667","SGV053",654,"SGV025",654,12
"1668","SGV054",654,"SGV025",654,2
"1669","SGV055",654,"SGV025",654,12
"1670","SGV056",654,"SGV025",654,13
"1671","SGV057",654,"SGV025",654,11
"1672","SGV058",654,"SGV025",654,11
"1673","SGV059",654,"SGV025",654,9
"1674","SGV060",654,"SGV025",654,20
"1675","SGV061",654,"SGV025",654,18
"1676","SGV062",654,"SGV025",654,9
"1677","SGV063",654,"SGV025",654,3
"1678","SGV064",654,"SGV025",654,16
"1679","SGV065",654,"SGV025",654,13
"1680","SGV066",654,"SGV025",654,4
"1681","SGV067",654,"SGV025",654,15
"1682","SGV068",654,"SGV025",654,9
"1683","SGV069",654,"SGV025",654,17
"1684","SGV070",654,"SGV025",654,12
"1685","SGV071",654,"SGV025",654,5
"1686","SGV072",654,"SGV025",654,13
"1687","SGV073",654,"SGV025",654,12
"1688","SGV075",654,"SGV025",654,10
"1689","SGV077",654,"SGV025",654,11
"1690","SGV078",654,"SGV025",654,10
"1691","SGV079",654,"SGV025",654,19
"1692","SGV080",654,"SGV025",654,13
"1697","SGV004",654,"SGV026",654,100
"1713","SGV021",654,"SGV026",654,2
"1714","SGV022",654,"SGV026",654,12
"1715","SGV023",654,"SGV026",654,12
"1716","SGV025",654,"SGV026",654,2
"1717","SGV026",654,"SGV026",654,0
"1719","SGV028",654,"SGV026",654,12
"1720","SGV029",654,"SGV026",654,3
"1721","SGV030",654,"SGV026",654,7
"1722","SGV031",654,"SGV026",654,12
"1723","SGV032",654,"SGV026",654,14
"1724","SGV033",654,"SGV026",654,6
"1725","SGV034",654,"SGV026",654,15
"1726","SGV035",654,"SGV026",654,2
"1727","SGV036",654,"SGV026",654,2
"1728","SGV037",654,"SGV026",654,5
"1729","SGV038",654,"SGV026",654,15
"1730","SGV039",654,"SGV026",654,1
"1731","SGV040",654,"SGV026",654,15
"1732","SGV041",654,"SGV026",654,5
"1733","SGV042",654,"SGV026",654,13
"1734","SGV043",654,"SGV026",654,8
"1735","SGV044",654,"SGV026",654,6
"1736","SGV045",654,"SGV026",654,16
"1737","SGV046",654,"SGV026",654,14
"1738","SGV047",654,"SGV026",654,10
"1739","SGV048",654,"SGV026",654,13
"1740","SGV049",654,"SGV026",654,14
"1741","SGV050",654,"SGV026",654,12
"1742","SGV051",654,"SGV026",654,17
"1743","SGV052",654,"SGV026",654,11
"1744","SGV053",654,"SGV026",654,12
"1745","SGV054",654,"SGV026",654,2
"1746","SGV055",654,"SGV026",654,12
"1747","SGV056",654,"SGV026",654,13
"1748","SGV057",654,"SGV026",654,11
"1749","SGV058",654,"SGV026",654,11
"1750","SGV059",654,"SGV026",654,9
"1751","SGV060",654,"SGV026",654,20
"1752","SGV061",654,"SGV026",654,18
"1753","SGV062",654,"SGV026",654,9
"1754","SGV063",654,"SGV026",654,5
"1755","SGV064",654,"SGV026",654,16
"1756","SGV065",654,"SGV026",654,13
"1757","SGV066",654,"SGV026",654,6
"1758","SGV067",654,"SGV026",654,15
"1759","SGV068",654,"SGV026",654,11
"1760","SGV069",654,"SGV026",654,17
"1761","SGV070",654,"SGV026",654,12
"1762","SGV071",654,"SGV026",654,5
"1763","SGV072",654,"SGV026",654,13
"1764","SGV073",654,"SGV026",654,12
"1765","SGV075",654,"SGV026",654,10
"1766","SGV077",654,"SGV026",654,11
"1767","SGV078",654,"SGV026",654,10
"1768","SGV079",654,"SGV026",654,19
"1769","SGV080",654,"SGV026",654,13
"1851","SGV004",654,"SGV028",654,100
"1867","SGV021",654,"SGV028",654,12
"1868","SGV022",654,"SGV028",654,14
"1869","SGV023",654,"SGV028",654,6
"1870","SGV025",654,"SGV028",654,12
"1871","SGV026",654,"SGV028",654,12
"1873","SGV028",654,"SGV028",654,0
"1874","SGV029",654,"SGV028",654,13
"1875","SGV030",654,"SGV028",654,17
"1876","SGV031",654,"SGV028",654,6
"1877","SGV032",654,"SGV028",654,8
"1878","SGV033",654,"SGV028",654,16
"1879","SGV034",654,"SGV028",654,3
"1880","SGV035",654,"SGV028",654,12
"1881","SGV036",654,"SGV028",654,12
"1882","SGV037",654,"SGV028",654,15
"1883","SGV038",654,"SGV028",654,9
"1884","SGV039",654,"SGV028",654,11
"1885","SGV040",654,"SGV028",654,11
"1886","SGV041",654,"SGV028",654,15
"1887","SGV042",654,"SGV028",654,15
"1888","SGV043",654,"SGV028",654,18
"1889","SGV044",654,"SGV028",654,16
"1890","SGV045",654,"SGV028",654,4
"1891","SGV046",654,"SGV028",654,16
"1892","SGV047",654,"SGV028",654,20
"1893","SGV048",654,"SGV028",654,16
"1894","SGV049",654,"SGV028",654,2
"1895","SGV050",654,"SGV028",654,14
"1896","SGV051",654,"SGV028",654,11
"1897","SGV052",654,"SGV028",654,13
"1898","SGV053",654,"SGV028",654,14
"1899","SGV054",654,"SGV028",654,12
"1900","SGV055",654,"SGV028",654,15
"1901","SGV056",654,"SGV028",654,15
"1902","SGV057",654,"SGV028",654,13
"1903","SGV058",654,"SGV028",654,13
"1904","SGV059",654,"SGV028",654,11
"1905","SGV060",654,"SGV028",654,8
"1906","SGV061",654,"SGV028",654,20
"1907","SGV062",654,"SGV028",654,13
"1908","SGV063",654,"SGV028",654,15
"1909","SGV064",654,"SGV028",654,10
"1910","SGV065",654,"SGV028",654,15
"1911","SGV066",654,"SGV028",654,16
"1912","SGV067",654,"SGV028",654,17
"1913","SGV068",654,"SGV028",654,21
"1914","SGV069",654,"SGV028",654,11
"1915","SGV070",654,"SGV028",654,14
"1916","SGV071",654,"SGV028",654,7
"1917","SGV072",654,"SGV028",654,1
"1918","SGV073",654,"SGV028",654,14
"1919","SGV075",654,"SGV028",654,12
"1920","SGV077",654,"SGV028",654,13
"1921","SGV078",654,"SGV028",654,12
"1922","SGV079",654,"SGV028",654,13
"1923","SGV080",654,"SGV028",654,15
"1928","SGV004",654,"SGV029",654,94
"1944","SGV021",654,"SGV029",654,1
"1945","SGV022",654,"SGV029",654,13
"1946","SGV023",654,"SGV029",654,13
"1947","SGV025",654,"SGV029",654,1
"1948","SGV026",654,"SGV029",654,3
"1950","SGV028",654,"SGV029",654,13
"1951","SGV029",654,"SGV029",654,0
"1952","SGV030",654,"SGV029",654,6
"1953","SGV031",654,"SGV029",654,13
"1954","SGV032",654,"SGV029",654,15
"1955","SGV033",654,"SGV029",654,5
"1956","SGV034",654,"SGV029",654,16
"1957","SGV035",654,"SGV029",654,3
"1958","SGV036",654,"SGV029",654,3
"1959","SGV037",654,"SGV029",654,4
"1960","SGV038",654,"SGV029",654,16
"1961","SGV039",654,"SGV029",654,2
"1962","SGV040",654,"SGV029",654,16
"1963","SGV041",654,"SGV029",654,4
"1964","SGV042",654,"SGV029",654,13
"1965","SGV043",654,"SGV029",654,7
"1966","SGV044",654,"SGV029",654,5
"1967","SGV045",654,"SGV029",654,16
"1968","SGV046",654,"SGV029",654,15
"1969","SGV047",654,"SGV029",654,9
"1970","SGV048",654,"SGV029",654,13
"1971","SGV049",654,"SGV029",654,15
"1972","SGV050",654,"SGV029",654,12
"1973","SGV051",654,"SGV029",654,18
"1974","SGV052",654,"SGV029",654,12
"1975","SGV053",654,"SGV029",654,12
"1976","SGV054",654,"SGV029",654,3
"1977","SGV055",654,"SGV029",654,13
"1978","SGV056",654,"SGV029",654,13
"1979","SGV057",654,"SGV029",654,12
"1980","SGV058",654,"SGV029",654,12
"1981","SGV059",654,"SGV029",654,10
"1982","SGV060",654,"SGV029",654,20
"1983","SGV061",654,"SGV029",654,19
"1984","SGV062",654,"SGV029",654,10
"1985","SGV063",654,"SGV029",654,4
"1986","SGV064",654,"SGV029",654,16
"1987","SGV065",654,"SGV029",654,14
"1988","SGV066",654,"SGV029",654,5
"1989","SGV067",654,"SGV029",654,16
"1990","SGV068",654,"SGV029",654,10
"1991","SGV069",654,"SGV029",654,17
"1992","SGV070",654,"SGV029",654,13
"1993","SGV071",654,"SGV029",654,6
"1994","SGV072",654,"SGV029",654,14
"1995","SGV073",654,"SGV029",654,13
"1996","SGV075",654,"SGV029",654,11
"1997","SGV077",654,"SGV029",654,12
"1998","SGV078",654,"SGV029",654,11
"1999","SGV079",654,"SGV029",654,18
"2000","SGV080",654,"SGV029",654,13
"2005","SGV004",654,"SGV030",654,105
"2021","SGV021",654,"SGV030",654,5
"2022","SGV022",654,"SGV030",654,17
"2023","SGV023",654,"SGV030",654,16
"2024","SGV025",654,"SGV030",654,5
"2025","SGV026",654,"SGV030",654,7
"2027","SGV028",654,"SGV030",654,17
"2028","SGV029",654,"SGV030",654,6
"2029","SGV030",654,"SGV030",654,0
"2030","SGV031",654,"SGV030",654,16
"2031","SGV032",654,"SGV030",654,18
"2032","SGV033",654,"SGV030",654,9
"2033","SGV034",654,"SGV030",654,20
"2034","SGV035",654,"SGV030",654,7
"2035","SGV036",654,"SGV030",654,7
"2036","SGV037",654,"SGV030",654,8
"2037","SGV038",654,"SGV030",654,19
"2038","SGV039",654,"SGV030",654,6
"2039","SGV040",654,"SGV030",654,19
"2040","SGV041",654,"SGV030",654,6
"2041","SGV042",654,"SGV030",654,18
"2042","SGV043",654,"SGV030",654,11
"2043","SGV044",654,"SGV030",654,7
"2044","SGV045",654,"SGV030",654,21
"2045","SGV046",654,"SGV030",654,19
"2046","SGV047",654,"SGV030",654,13
"2047","SGV048",654,"SGV030",654,18
"2048","SGV049",654,"SGV030",654,19
"2049","SGV050",654,"SGV030",654,17
"2050","SGV051",654,"SGV030",654,21
"2051","SGV052",654,"SGV030",654,16
"2052","SGV053",654,"SGV030",654,17
"2053","SGV054",654,"SGV030",654,7
"2054","SGV055",654,"SGV030",654,17
"2055","SGV056",654,"SGV030",654,18
"2056","SGV057",654,"SGV030",654,16
"2057","SGV058",654,"SGV030",654,16
"2058","SGV059",654,"SGV030",654,14
"2059","SGV060",654,"SGV030",654,25
"2060","SGV061",654,"SGV030",654,23
"2061","SGV062",654,"SGV030",654,14
"2062","SGV063",654,"SGV030",654,8
"2063","SGV064",654,"SGV030",654,20
"2064","SGV065",654,"SGV030",654,18
"2065","SGV066",654,"SGV030",654,9
"2066","SGV067",654,"SGV030",654,20
"2067","SGV068",654,"SGV030",654,14
"2068","SGV069",654,"SGV030",654,21
"2069","SGV070",654,"SGV030",654,17
"2070","SGV071",654,"SGV030",654,10
"2071","SGV072",654,"SGV030",654,18
"2072","SGV073",654,"SGV030",654,17
"2073","SGV075",654,"SGV030",654,15
"2074","SGV077",654,"SGV030",654,16
"2075","SGV078",654,"SGV030",654,15
"2076","SGV079",654,"SGV030",654,23
"2077","SGV080",654,"SGV030",654,18
"2082","SGV004",654,"SGV031",654,100
"2098","SGV021",654,"SGV031",654,12
"2099","SGV022",654,"SGV031",654,14
"2100","SGV023",654,"SGV031",654,4
"2101","SGV025",654,"SGV031",654,12
"2102","SGV026",654,"SGV031",654,12
"2104","SGV028",654,"SGV031",654,6
"2105","SGV029",654,"SGV031",654,13
"2106","SGV030",654,"SGV031",654,16
"2107","SGV031",654,"SGV031",654,0
"2108","SGV032",654,"SGV031",654,4
"2109","SGV033",654,"SGV031",654,16
"2110","SGV034",654,"SGV031",654,9
"2111","SGV035",654,"SGV031",654,12
"2112","SGV036",654,"SGV031",654,12
"2113","SGV037",654,"SGV031",654,15
"2114","SGV038",654,"SGV031",654,7
"2115","SGV039",654,"SGV031",654,11
"2116","SGV040",654,"SGV031",654,7
"2117","SGV041",654,"SGV031",654,15
"2118","SGV042",654,"SGV031",654,15
"2119","SGV043",654,"SGV031",654,18
"2120","SGV044",654,"SGV031",654,16
"2121","SGV045",654,"SGV031",654,10
"2122","SGV046",654,"SGV031",654,16
"2123","SGV047",654,"SGV031",654,20
"2124","SGV048",654,"SGV031",654,16
"2125","SGV049",654,"SGV031",654,8
"2126","SGV050",654,"SGV031",654,14
"2127","SGV051",654,"SGV031",654,7
"2128","SGV052",654,"SGV031",654,13
"2129","SGV053",654,"SGV031",654,14
"2130","SGV054",654,"SGV031",654,12
"2131","SGV055",654,"SGV031",654,15
"2132","SGV056",654,"SGV031",654,15
"2133","SGV057",654,"SGV031",654,13
"2134","SGV058",654,"SGV031",654,13
"2135","SGV059",654,"SGV031",654,11
"2136","SGV060",654,"SGV031",654,14
"2137","SGV061",654,"SGV031",654,20
"2138","SGV062",654,"SGV031",654,13
"2139","SGV063",654,"SGV031",654,15
"2140","SGV064",654,"SGV031",654,6
"2141","SGV065",654,"SGV031",654,15
"2142","SGV066",654,"SGV031",654,16
"2143","SGV067",654,"SGV031",654,17
"2144","SGV068",654,"SGV031",654,21
"2145","SGV069",654,"SGV031",654,5
"2146","SGV070",654,"SGV031",654,14
"2147","SGV071",654,"SGV031",654,7
"2148","SGV072",654,"SGV031",654,7
"2149","SGV073",654,"SGV031",654,14
"2150","SGV075",654,"SGV031",654,12
"2151","SGV077",654,"SGV031",654,13
"2152","SGV078",654,"SGV031",654,12
"2153","SGV079",654,"SGV031",654,9
"2154","SGV080",654,"SGV031",654,15
"2159","SGV004",654,"SGV032",654,102
"2175","SGV021",654,"SGV032",654,14
"2176","SGV022",654,"SGV032",654,16
"2177","SGV023",654,"SGV032",654,6
"2178","SGV025",654,"SGV032",654,14
"2179","SGV026",654,"SGV032",654,14
"2181","SGV028",654,"SGV032",654,8
"2182","SGV029",654,"SGV032",654,15
"2183","SGV030",654,"SGV032",654,18
"2184","SGV031",654,"SGV032",654,4
"2185","SGV032",654,"SGV032",654,0
"2186","SGV033",654,"SGV032",654,18
"2187","SGV034",654,"SGV032",654,11
"2188","SGV035",654,"SGV032",654,14
"2189","SGV036",654,"SGV032",654,14
"2190","SGV037",654,"SGV032",654,17
"2191","SGV038",654,"SGV032",654,9
"2192","SGV039",654,"SGV032",654,13
"2193","SGV040",654,"SGV032",654,9
"2194","SGV041",654,"SGV032",654,17
"2195","SGV042",654,"SGV032",654,17
"2196","SGV043",654,"SGV032",654,20
"2197","SGV044",654,"SGV032",654,18
"2198","SGV045",654,"SGV032",654,12
"2199","SGV046",654,"SGV032",654,18
"2200","SGV047",654,"SGV032",654,22
"2201","SGV048",654,"SGV032",654,18
"2202","SGV049",654,"SGV032",654,10
"2203","SGV050",654,"SGV032",654,16
"2204","SGV051",654,"SGV032",654,9
"2205","SGV052",654,"SGV032",654,15
"2206","SGV053",654,"SGV032",654,16
"2207","SGV054",654,"SGV032",654,14
"2208","SGV055",654,"SGV032",654,17
"2209","SGV056",654,"SGV032",654,17
"2210","SGV057",654,"SGV032",654,15
"2211","SGV058",654,"SGV032",654,15
"2212","SGV059",654,"SGV032",654,13
"2213","SGV060",654,"SGV032",654,16
"2214","SGV061",654,"SGV032",654,22
"2215","SGV062",654,"SGV032",654,15
"2216","SGV063",654,"SGV032",654,17
"2217","SGV064",654,"SGV032",654,8
"2218","SGV065",654,"SGV032",654,17
"2219","SGV066",654,"SGV032",654,18
"2220","SGV067",654,"SGV032",654,19
"2221","SGV068",654,"SGV032",654,23
"2222","SGV069",654,"SGV032",654,9
"2223","SGV070",654,"SGV032",654,16
"2224","SGV071",654,"SGV032",654,9
"2225","SGV072",654,"SGV032",654,9
"2226","SGV073",654,"SGV032",654,16
"2227","SGV075",654,"SGV032",654,14
"2228","SGV077",654,"SGV032",654,15
"2229","SGV078",654,"SGV032",654,14
"2230","SGV079",654,"SGV032",654,11
"2231","SGV080",654,"SGV032",654,17
"2236","SGV004",654,"SGV033",654,104
"2252","SGV021",654,"SGV033",654,4
"2253","SGV022",654,"SGV033",654,16
"2254","SGV023",654,"SGV033",654,16
"2255","SGV025",654,"SGV033",654,4
"2256","SGV026",654,"SGV033",654,6
"2258","SGV028",654,"SGV033",654,16
"2259","SGV029",654,"SGV033",654,5
"2260","SGV030",654,"SGV033",654,9
"2261","SGV031",654,"SGV033",654,16
"2262","SGV032",654,"SGV033",654,18
"2263","SGV033",654,"SGV033",654,0
"2264","SGV034",654,"SGV033",654,19
"2265","SGV035",654,"SGV033",654,6
"2266","SGV036",654,"SGV033",654,6
"2267","SGV037",654,"SGV033",654,7
"2268","SGV038",654,"SGV033",654,19
"2269","SGV039",654,"SGV033",654,5
"2270","SGV040",654,"SGV033",654,19
"2271","SGV041",654,"SGV033",654,7
"2272","SGV042",654,"SGV033",654,17
"2273","SGV043",654,"SGV033",654,10
"2274","SGV044",654,"SGV033",654,8
"2275","SGV045",654,"SGV033",654,20
"2276","SGV046",654,"SGV033",654,18
"2277","SGV047",654,"SGV033",654,12
"2278","SGV048",654,"SGV033",654,17
"2279","SGV049",654,"SGV033",654,18
"2280","SGV050",654,"SGV033",654,16
"2281","SGV051",654,"SGV033",654,21
"2282","SGV052",654,"SGV033",654,15
"2283","SGV053",654,"SGV033",654,16
"2284","SGV054",654,"SGV033",654,6
"2285","SGV055",654,"SGV033",654,16
"2286","SGV056",654,"SGV033",654,17
"2287","SGV057",654,"SGV033",654,15
"2288","SGV058",654,"SGV033",654,15
"2289","SGV059",654,"SGV033",654,13
"2290","SGV060",654,"SGV033",654,24
