snp.dists.0.8.2,ST1,variable,ST2,value
SGV078,654,SGV003,516,28407
SGV079,654,SGV003,516,28412
SGV080,654,SGV003,516,28410
SGV081,0,SGV003,516,28349
SGV082,0,SGV003,516,28143
SGV002,516,SGV004,654,28405
SGV003,516,SGV004,654,28402
SGV004,654,SGV004,654,0
SGV005,516,SGV004,654,28281
SGV006,516,SGV004,654,29043
SGV007,516,SGV004,654,26299
SGV008,516,SGV004,654,28399
SGV009,516,SGV004,654,28003
SGV010,516,SGV004,654,28397
SGV011,516,SGV004,654,28297
SGV012,516,SGV004,654,26383
SGV013,516,SGV004,654,28375
SGV014,516,SGV004,654,26382
SGV016,516,SGV004,654,28078
SGV017,516,SGV004,654,28448
SGV018,2227,SGV004,654,295
SGV019,516,SGV004,654,28380
SGV020,516,SGV004,654,26167
SGV021,654,SGV004,654,100
SGV022,654,SGV004,654,102
SGV023,654,SGV004,654,100
SGV025,654,SGV004,654,100
SGV026,654,SGV004,654,100
SGV027,0,SGV004,654,95
SGV028,654,SGV004,654,100
SGV029,654,SGV004,654,94
SGV030,654,SGV004,654,105
SGV031,654,SGV004,654,100
SGV032,654,SGV004,654,102
SGV033,654,SGV004,654,104
SGV034,654,SGV004,654,103
SGV035,654,SGV004,654,100
SGV036,654,SGV004,654,100
SGV037,654,SGV004,654,103
SGV038,654,SGV004,654,103
SGV039,654,SGV004,654,99
SGV040,654,SGV004,654,105
SGV041,654,SGV004,654,103
SGV042,654,SGV004,654,103
SGV043,654,SGV004,654,106
SGV044,654,SGV004,654,104
SGV045,654,SGV004,654,104
SGV046,654,SGV004,654,104
SGV047,654,SGV004,654,108
SGV048,654,SGV004,654,104
SGV049,654,SGV004,654,102
SGV050,654,SGV004,654,102
SGV051,654,SGV004,654,104
SGV052,654,SGV004,654,101
SGV053,654,SGV004,654,102
SGV054,654,SGV004,654,100
SGV055,654,SGV004,654,102
SGV056,654,SGV004,654,103
SGV057,654,SGV004,654,101
SGV058,654,SGV004,654,101
SGV059,654,SGV004,654,99
SGV060,654,SGV004,654,108
SGV061,654,SGV004,654,108
SGV062,654,SGV004,654,101
SGV063,654,SGV004,654,103
SGV064,654,SGV004,654,104
SGV065,654,SGV004,654,103
SGV066,654,SGV004,654,104
SGV067,654,SGV004,654,105
SGV068,654,SGV004,654,109
SGV069,654,SGV004,654,105
SGV070,654,SGV004,654,102
SGV071,654,SGV004,654,95
SGV072,654,SGV004,654,101
SGV073,654,SGV004,654,102
SGV075,654,SGV004,654,100
SGV077,654,SGV004,654,101
SGV078,654,SGV004,654,100
SGV079,654,SGV004,654,106
SGV080,654,SGV004,654,103
SGV081,0,SGV004,654,93
SGV082,0,SGV004,654,102
SGV002,516,SGV005,516,272
SGV003,516,SGV005,516,268
SGV004,654,SGV005,516,28281
SGV005,516,SGV005,516,0
SGV006,516,SGV005,516,586
SGV007,516,SGV005,516,358
SGV008,516,SGV005,516,49
SGV009,516,SGV005,516,150
SGV010,516,SGV005,516,84
SGV011,516,SGV005,516,99
SGV012,516,SGV005,516,390
SGV013,516,SGV005,516,281
SGV014,516,SGV005,516,407
SGV016,516,SGV005,516,90
SGV017,516,SGV005,516,98
SGV018,2227,SGV005,516,28384
SGV019,516,SGV005,516,253
SGV020,516,SGV005,516,362
SGV021,654,SGV005,516,28286
SGV022,654,SGV005,516,28287
SGV023,654,SGV005,516,28252
SGV025,654,SGV005,516,28286
SGV026,654,SGV005,516,28285
SGV027,0,SGV005,516,26959
SGV028,654,SGV005,516,28286
SGV029,654,SGV005,516,27120
SGV030,654,SGV005,516,28163
SGV031,654,SGV005,516,28286
SGV032,654,SGV005,516,28288
SGV033,654,SGV005,516,28288
SGV034,654,SGV005,516,28289
SGV035,654,SGV005,516,28286
SGV036,654,SGV005,516,28286
SGV037,654,SGV005,516,28288
SGV038,654,SGV005,516,28288
SGV039,654,SGV005,516,28285
SGV040,654,SGV005,516,28290
SGV041,654,SGV005,516,28289
SGV042,654,SGV005,516,28287
SGV043,654,SGV005,516,28291
SGV044,654,SGV005,516,28289
SGV045,654,SGV005,516,28290
SGV046,654,SGV005,516,28289
SGV047,654,SGV005,516,28293
SGV048,654,SGV005,516,28223
SGV049,654,SGV005,516,28286
SGV050,654,SGV005,516,28288
SGV051,654,SGV005,516,28288
SGV052,654,SGV005,516,28286
SGV053,654,SGV005,516,28287
SGV054,654,SGV005,516,28286
SGV055,654,SGV005,516,28248
SGV056,654,SGV005,516,28288
SGV057,654,SGV005,516,28286
SGV058,654,SGV005,516,28286
SGV059,654,SGV005,516,28284
SGV060,654,SGV005,516,28293
SGV061,654,SGV005,516,28292
SGV062,654,SGV005,516,28286
SGV063,654,SGV005,516,28288
SGV064,654,SGV005,516,28289
SGV065,654,SGV005,516,28287
SGV066,654,SGV005,516,28289
SGV067,654,SGV005,516,28290
SGV068,654,SGV005,516,28294
SGV069,654,SGV005,516,28291
SGV070,654,SGV005,516,28288
SGV071,654,SGV005,516,28281
SGV072,654,SGV005,516,28287
SGV073,654,SGV005,516,28287
SGV075,654,SGV005,516,28286
SGV077,654,SGV005,516,28285
SGV078,654,SGV005,516,28286
SGV079,654,SGV005,516,28291
SGV080,654,SGV005,516,28289
SGV081,0,SGV005,516,28229
SGV082,0,SGV005,516,28068
SGV002,516,SGV006,516,600
SGV003,516,SGV006,516,606
SGV004,654,SGV006,516,29043
SGV005,516,SGV006,516,586
SGV006,516,SGV006,516,0
SGV007,516,SGV006,516,632
SGV008,516,SGV006,516,587
SGV009,516,SGV006,516,591
SGV010,516,SGV006,516,606
SGV011,516,SGV006,516,607
SGV012,516,SGV006,516,677
SGV013,516,SGV006,516,620
SGV014,516,SGV006,516,680
SGV016,516,SGV006,516,583
SGV017,516,SGV006,516,583
SGV018,2227,SGV006,516,29205
SGV019,516,SGV006,516,602
SGV020,516,SGV006,516,654
SGV021,654,SGV006,516,29047
SGV022,654,SGV006,516,29050
SGV023,654,SGV006,516,29015
SGV025,654,SGV006,516,29047
SGV026,654,SGV006,516,29048
SGV027,0,SGV006,516,27707
SGV028,654,SGV006,516,29048
SGV029,654,SGV006,516,27877
SGV030,654,SGV006,516,28926
SGV031,654,SGV006,516,29047
SGV032,654,SGV006,516,29050
SGV033,654,SGV006,516,29051
SGV034,654,SGV006,516,29051
SGV035,654,SGV006,516,29048
SGV036,654,SGV006,516,29048
SGV037,654,SGV006,516,29049
SGV038,654,SGV006,516,29050
SGV039,654,SGV006,516,29047
SGV040,654,SGV006,516,29051
SGV041,654,SGV006,516,29050
SGV042,654,SGV006,516,29050
SGV043,654,SGV006,516,29053
SGV044,654,SGV006,516,29050
SGV045,654,SGV006,516,29052
SGV046,654,SGV006,516,29051
SGV047,654,SGV006,516,29054
SGV048,654,SGV006,516,28984
SGV049,654,SGV006,516,29049
SGV050,654,SGV006,516,29050
SGV051,654,SGV006,516,29051
SGV052,654,SGV006,516,29048
SGV053,654,SGV006,516,29049
SGV054,654,SGV006,516,29047
SGV055,654,SGV006,516,29010
SGV056,654,SGV006,516,29050
SGV057,654,SGV006,516,29048
SGV058,654,SGV006,516,29048
SGV059,654,SGV006,516,29046
SGV060,654,SGV006,516,29055
SGV061,654,SGV006,516,29055
SGV062,654,SGV006,516,29048
SGV063,654,SGV006,516,29050
SGV064,654,SGV006,516,29050
SGV065,654,SGV006,516,29050
SGV066,654,SGV006,516,29050
SGV067,654,SGV006,516,29052
SGV068,654,SGV006,516,29055
SGV069,654,SGV006,516,29052
SGV070,654,SGV006,516,29037
SGV071,654,SGV006,516,29043
SGV072,654,SGV006,516,29049
SGV073,654,SGV006,516,29049
SGV075,654,SGV006,516,29048
SGV077,654,SGV006,516,29049
SGV078,654,SGV006,516,29048
SGV079,654,SGV006,516,29052
SGV080,654,SGV006,516,29051
SGV081,0,SGV006,516,28989
SGV082,0,SGV006,516,28782
SGV002,516,SGV007,516,375
SGV003,516,SGV007,516,376
SGV004,654,SGV007,516,26299
SGV005,516,SGV007,516,358
SGV006,516,SGV007,516,632
SGV007,516,SGV007,516,0
SGV008,516,SGV007,516,347
SGV009,516,SGV007,516,390
SGV010,516,SGV007,516,370
SGV011,516,SGV007,516,395
SGV012,516,SGV007,516,128
SGV013,516,SGV007,516,396
SGV014,516,SGV007,516,114
SGV016,516,SGV007,516,364
SGV017,516,SGV007,516,361
SGV018,2227,SGV007,516,26398
SGV019,516,SGV007,516,361
SGV020,516,SGV007,516,81
SGV021,654,SGV007,516,26307
SGV022,654,SGV007,516,26308
SGV023,654,SGV007,516,26272
SGV025,654,SGV007,516,26307
SGV026,654,SGV007,516,26306
SGV027,0,SGV007,516,25171
SGV028,654,SGV007,516,26307
SGV029,654,SGV007,516,25264
SGV030,654,SGV007,516,26185
SGV031,654,SGV007,516,26307
SGV032,654,SGV007,516,26309
SGV033,654,SGV007,516,26309
SGV034,654,SGV007,516,26310
SGV035,654,SGV007,516,26307
SGV036,654,SGV007,516,26306
SGV037,654,SGV007,516,26309
SGV038,654,SGV007,516,26308
SGV039,654,SGV007,516,26306
SGV040,654,SGV007,516,26311
SGV041,654,SGV007,516,26309
SGV042,654,SGV007,516,26307
SGV043,654,SGV007,516,26311
SGV044,654,SGV007,516,26310
SGV045,654,SGV007,516,26310
SGV046,654,SGV007,516,26308
SGV047,654,SGV007,516,26314
SGV048,654,SGV007,516,26243
SGV049,654,SGV007,516,26307
SGV050,654,SGV007,516,26309
SGV051,654,SGV007,516,26308
SGV052,654,SGV007,516,26307
SGV053,654,SGV007,516,26308
SGV054,654,SGV007,516,26306
SGV055,654,SGV007,516,26270
SGV056,654,SGV007,516,26308
SGV057,654,SGV007,516,26308
SGV058,654,SGV007,516,26307
SGV059,654,SGV007,516,26305
SGV060,654,SGV007,516,26313
SGV061,654,SGV007,516,26312
SGV062,654,SGV007,516,26307
SGV063,654,SGV007,516,26309
SGV064,654,SGV007,516,26310
SGV065,654,SGV007,516,26307
SGV066,654,SGV007,516,26310
SGV067,654,SGV007,516,26309
SGV068,654,SGV007,516,26315
SGV069,654,SGV007,516,26312
SGV070,654,SGV007,516,26309
SGV071,654,SGV007,516,26302
SGV072,654,SGV007,516,26308
SGV073,654,SGV007,516,26307
SGV075,654,SGV007,516,26307
SGV077,654,SGV007,516,26306
SGV078,654,SGV007,516,26307
SGV079,654,SGV007,516,26312
SGV080,654,SGV007,516,26309
SGV081,0,SGV007,516,26251
SGV082,0,SGV007,516,26067
SGV002,516,SGV008,516,270
SGV003,516,SGV008,516,264
SGV004,654,SGV008,516,28399
SGV005,516,SGV008,516,49
SGV006,516,SGV008,516,587
SGV007,516,SGV008,516,347
SGV008,516,SGV008,516,0
SGV009,516,SGV008,516,141
SGV010,516,SGV008,516,51
SGV011,516,SGV008,516,87
SGV012,516,SGV008,516,381
SGV013,516,SGV008,516,272
SGV014,516,SGV008,516,393
SGV016,516,SGV008,516,79
SGV017,516,SGV008,516,90
SGV018,2227,SGV008,516,28503
SGV019,516,SGV008,516,241
SGV020,516,SGV008,516,359
SGV021,654,SGV008,516,28404
SGV022,654,SGV008,516,28405
SGV023,654,SGV008,516,28370
SGV025,654,SGV008,516,28404
SGV026,654,SGV008,516,28403
SGV027,0,SGV008,516,27064
SGV028,654,SGV008,516,28404
SGV029,654,SGV008,516,27225
SGV030,654,SGV008,516,28281
SGV031,654,SGV008,516,28404
SGV032,654,SGV008,516,28406
SGV033,654,SGV008,516,28406
SGV034,654,SGV008,516,28407
SGV035,654,SGV008,516,28404
SGV036,654,SGV008,516,28404
SGV037,654,SGV008,516,28406
SGV038,654,SGV008,516,28406
SGV039,654,SGV008,516,28403
SGV040,654,SGV008,516,28408
SGV041,654,SGV008,516,28407
SGV042,654,SGV008,516,28405
SGV043,654,SGV008,516,28409
SGV044,654,SGV008,516,28407
SGV045,654,SGV008,516,28408
SGV046,654,SGV008,516,28407
SGV047,654,SGV008,516,28411
SGV048,654,SGV008,516,28341
SGV049,654,SGV008,516,28404
SGV050,654,SGV008,516,28406
SGV051,654,SGV008,516,28406
SGV052,654,SGV008,516,28404
SGV053,654,SGV008,516,28405
SGV054,654,SGV008,516,28404
SGV055,654,SGV008,516,28366
SGV056,654,SGV008,516,28406
SGV057,654,SGV008,516,28404
SGV058,654,SGV008,516,28404
SGV059,654,SGV008,516,28402
SGV060,654,SGV008,516,28411
SGV061,654,SGV008,516,28410
SGV062,654,SGV008,516,28404
SGV063,654,SGV008,516,28406
SGV064,654,SGV008,516,28407
SGV065,654,SGV008,516,28405
SGV066,654,SGV008,516,28407
SGV067,654,SGV008,516,28408
SGV068,654,SGV008,516,28412
SGV069,654,SGV008,516,28409
SGV070,654,SGV008,516,28406
SGV071,654,SGV008,516,28399
SGV072,654,SGV008,516,28405
SGV073,654,SGV008,516,28405
SGV075,654,SGV008,516,28404
SGV077,654,SGV008,516,28403
SGV078,654,SGV008,516,28404
SGV079,654,SGV008,516,28409
SGV080,654,SGV008,516,28407
SGV081,0,SGV008,516,28347
SGV082,0,SGV008,516,28141
SGV002,516,SGV009,516,301
SGV003,516,SGV009,516,304
SGV004,654,SGV009,516,28003
SGV005,516,SGV009,516,150
SGV006,516,SGV009,516,591
SGV007,516,SGV009,516,390
SGV008,516,SGV009,516,141
SGV009,516,SGV009,516,0
SGV010,516,SGV009,516,158
SGV011,516,SGV009,516,134
SGV012,516,SGV009,516,414
SGV013,516,SGV009,516,298
SGV014,516,SGV009,516,405
SGV016,516,SGV009,516,162
SGV017,516,SGV009,516,136
SGV018,2227,SGV009,516,28099
SGV019,516,SGV009,516,281
SGV020,516,SGV009,516,404
SGV021,654,SGV009,516,28007
SGV022,654,SGV009,516,28009
SGV023,654,SGV009,516,27974
SGV025,654,SGV009,516,28007
SGV026,654,SGV009,516,28007
SGV027,0,SGV009,516,26715
SGV028,654,SGV009,516,28008
SGV029,654,SGV009,516,26839
SGV030,654,SGV009,516,27885
SGV031,654,SGV009,516,28008
SGV032,654,SGV009,516,28010
SGV033,654,SGV009,516,28009
SGV034,654,SGV009,516,28011
SGV035,654,SGV009,516,28008
SGV036,654,SGV009,516,28008
SGV037,654,SGV009,516,28009
SGV038,654,SGV009,516,28010
SGV039,654,SGV009,516,28007
SGV040,654,SGV009,516,28010
SGV041,654,SGV009,516,28010
SGV042,654,SGV009,516,28009
SGV043,654,SGV009,516,28012
SGV044,654,SGV009,516,28010
SGV045,654,SGV009,516,28012
SGV046,654,SGV009,516,28011
SGV047,654,SGV009,516,28014
SGV048,654,SGV009,516,27944
SGV049,654,SGV009,516,28008
SGV050,654,SGV009,516,28010
SGV051,654,SGV009,516,28011
SGV052,654,SGV009,516,28008
SGV053,654,SGV009,516,28009
SGV054,654,SGV009,516,28008
SGV055,654,SGV009,516,27970
SGV056,654,SGV009,516,28010
SGV057,654,SGV009,516,28008
SGV058,654,SGV009,516,28008
SGV059,654,SGV009,516,28006
SGV060,654,SGV009,516,28015
SGV061,654,SGV009,516,28014
SGV062,654,SGV009,516,28008
SGV063,654,SGV009,516,28009
SGV064,654,SGV009,516,28011
SGV065,654,SGV009,516,28009
SGV066,654,SGV009,516,28010
SGV067,654,SGV009,516,28012
SGV068,654,SGV009,516,28015
SGV069,654,SGV009,516,28013
SGV070,654,SGV009,516,28010
SGV071,654,SGV009,516,28003
SGV072,654,SGV009,516,28009
SGV073,654,SGV009,516,28009
SGV075,654,SGV009,516,28007
SGV077,654,SGV009,516,28007
SGV078,654,SGV009,516,28008
SGV079,654,SGV009,516,28013
SGV080,654,SGV009,516,28011
SGV081,0,SGV009,516,27950
SGV082,0,SGV009,516,27744
SGV002,516,SGV010,516,286
SGV003,516,SGV010,516,283
SGV004,654,SGV010,516,28397
SGV005,516,SGV010,516,84
SGV006,516,SGV010,516,606
SGV007,516,SGV010,516,370
SGV008,516,SGV010,516,51
SGV009,516,SGV010,516,158
SGV010,516,SGV010,516,0
SGV011,516,SGV010,516,95
SGV012,516,SGV010,516,394
SGV013,516,SGV010,516,278
SGV014,516,SGV010,516,398
SGV016,516,SGV010,516,104
SGV017,516,SGV010,516,111
SGV018,2227,SGV010,516,28499
SGV019,516,SGV010,516,255
SGV020,516,SGV010,516,383
SGV021,654,SGV010,516,28403
SGV022,654,SGV010,516,28404
SGV023,654,SGV010,516,28369
SGV025,654,SGV010,516,28403
SGV026,654,SGV010,516,28402
SGV027,0,SGV010,516,27060
SGV028,654,SGV010,516,28403
SGV029,654,SGV010,516,27220
SGV030,654,SGV010,516,28280
SGV031,654,SGV010,516,28403
SGV032,654,SGV010,516,28405
SGV033,654,SGV010,516,28405
SGV034,654,SGV010,516,28406
SGV035,654,SGV010,516,28403
SGV036,654,SGV010,516,28403
SGV037,654,SGV010,516,28405
SGV038,654,SGV010,516,28405
SGV039,654,SGV010,516,28402
SGV040,654,SGV010,516,28407
SGV041,654,SGV010,516,28406
SGV042,654,SGV010,516,28404
SGV043,654,SGV010,516,28408
SGV044,654,SGV010,516,28406
SGV045,654,SGV010,516,28407
SGV046,654,SGV010,516,28406
SGV047,654,SGV010,516,28409
SGV048,654,SGV010,516,28340
SGV049,654,SGV010,516,28403
SGV050,654,SGV010,516,28405
SGV051,654,SGV010,516,28404
SGV052,654,SGV010,516,28403
SGV053,654,SGV010,516,28404
SGV054,654,SGV010,516,28403
SGV055,654,SGV010,516,28365
SGV056,654,SGV010,516,28405
SGV057,654,SGV010,516,28403
SGV058,654,SGV010,516,28403
SGV059,654,SGV010,516,28401
SGV060,654,SGV010,516,28410
SGV061,654,SGV010,516,28409
SGV062,654,SGV010,516,28403
SGV063,654,SGV010,516,28405
SGV064,654,SGV010,516,28406
SGV065,654,SGV010,516,28404
SGV066,654,SGV010,516,28406
SGV067,654,SGV010,516,28407
SGV068,654,SGV010,516,28410
SGV069,654,SGV010,516,28408
SGV070,654,SGV010,516,28405
SGV071,654,SGV010,516,28398
SGV072,654,SGV010,516,28404
SGV073,654,SGV010,516,28404
SGV075,654,SGV010,516,28403
SGV077,654,SGV010,516,28402
SGV078,654,SGV010,516,28403
SGV079,654,SGV010,516,28408
SGV080,654,SGV010,516,28406
SGV081,0,SGV010,516,28346
SGV082,0,SGV010,516,28139
SGV002,516,SGV011,516,304
SGV003,516,SGV011,516,302
SGV004,654,SGV011,516,28297
SGV005,516,SGV011,516,99
SGV006,516,SGV011,516,607
SGV007,516,SGV011,516,395
SGV008,516,SGV011,516,87
SGV009,516,SGV011,516,134
SGV010,516,SGV011,516,95
SGV011,516,SGV011,516,0
SGV012,516,SGV011,516,411
SGV013,516,SGV011,516,298
SGV014,516,SGV011,516,410
SGV016,516,SGV011,516,121
SGV017,516,SGV011,516,121
SGV018,2227,SGV011,516,28407
SGV019,516,SGV011,516,274
SGV020,516,SGV011,516,403
SGV021,654,SGV011,516,28301
SGV022,654,SGV011,516,28303
SGV023,654,SGV011,516,28268
SGV025,654,SGV011,516,28301
SGV026,654,SGV011,516,28301
SGV027,0,SGV011,516,27009
SGV028,654,SGV011,516,28302
SGV029,654,SGV011,516,27132
SGV030,654,SGV011,516,28178
SGV031,654,SGV011,516,28302
SGV032,654,SGV011,516,28304
SGV033,654,SGV011,516,28303
SGV034,654,SGV011,516,28305
SGV035,654,SGV011,516,28302
SGV036,654,SGV011,516,28302
SGV037,654,SGV011,516,28303
SGV038,654,SGV011,516,28304
SGV039,654,SGV011,516,28301
SGV040,654,SGV011,516,28304
SGV041,654,SGV011,516,28304
SGV042,654,SGV011,516,28303
SGV043,654,SGV011,516,28306
SGV044,654,SGV011,516,28304
SGV045,654,SGV011,516,28306
SGV046,654,SGV011,516,28305
SGV047,654,SGV011,516,28308
SGV048,654,SGV011,516,28238
SGV049,654,SGV011,516,28302
SGV050,654,SGV011,516,28304
SGV051,654,SGV011,516,28304
SGV052,654,SGV011,516,28302
SGV053,654,SGV011,516,28303
SGV054,654,SGV011,516,28302
SGV055,654,SGV011,516,28264
SGV056,654,SGV011,516,28304
SGV057,654,SGV011,516,28302
SGV058,654,SGV011,516,28302
SGV059,654,SGV011,516,28300
SGV060,654,SGV011,516,28309
SGV061,654,SGV011,516,28308
SGV062,654,SGV011,516,28302
SGV063,654,SGV011,516,28303
SGV064,654,SGV011,516,28305
SGV065,654,SGV011,516,28303
SGV066,654,SGV011,516,28304
SGV067,654,SGV011,516,28306
SGV068,654,SGV011,516,28309
SGV069,654,SGV011,516,28307
SGV070,654,SGV011,516,28304
SGV071,654,SGV011,516,28297
SGV072,654,SGV011,516,28303
SGV073,654,SGV011,516,28303
SGV075,654,SGV011,516,28302
SGV077,654,SGV011,516,28301
SGV078,654,SGV011,516,28302
SGV079,654,SGV011,516,28307
SGV080,654,SGV011,516,28305
SGV081,0,SGV011,516,28244
SGV082,0,SGV011,516,28035
SGV002,516,SGV012,516,399
SGV003,516,SGV012,516,403
SGV004,654,SGV012,516,26383
SGV005,516,SGV012,516,390
SGV006,516,SGV012,516,677
SGV007,516,SGV012,516,128
SGV008,516,SGV012,516,381
SGV009,516,SGV012,516,414
SGV010,516,SGV012,516,394
SGV011,516,SGV012,516,411
SGV012,516,SGV012,516,0
SGV013,516,SGV012,516,406
SGV014,516,SGV012,516,158
SGV016,516,SGV012,516,410
SGV017,516,SGV012,516,375
SGV018,2227,SGV012,516,26482
SGV019,516,SGV012,516,384
SGV020,516,SGV012,516,148
SGV021,654,SGV012,516,26391
SGV022,654,SGV012,516,26392
SGV023,654,SGV012,516,26356
SGV025,654,SGV012,516,26391
SGV026,654,SGV012,516,26390
SGV027,0,SGV012,516,25257
SGV028,654,SGV012,516,26391
SGV029,654,SGV012,516,25350
SGV030,654,SGV012,516,26271
SGV031,654,SGV012,516,26391
SGV032,654,SGV012,516,26393
SGV033,654,SGV012,516,26393
SGV034,654,SGV012,516,26394
SGV035,654,SGV012,516,26391
SGV036,654,SGV012,516,26390
SGV037,654,SGV012,516,26393
SGV038,654,SGV012,516,26392
SGV039,654,SGV012,516,26390
SGV040,654,SGV012,516,26395
SGV041,654,SGV012,516,26393
SGV042,654,SGV012,516,26391
SGV043,654,SGV012,516,26395
SGV044,654,SGV012,516,26394
SGV045,654,SGV012,516,26394
SGV046,654,SGV012,516,26392
SGV047,654,SGV012,516,26398
SGV048,654,SGV012,516,26325
SGV049,654,SGV012,516,26391
SGV050,654,SGV012,516,26393
SGV051,654,SGV012,516,26392
SGV052,654,SGV012,516,26391
SGV053,654,SGV012,516,26392
SGV054,654,SGV012,516,26390
SGV055,654,SGV012,516,26353
SGV056,654,SGV012,516,26392
SGV057,654,SGV012,516,26392
SGV058,654,SGV012,516,26391
SGV059,654,SGV012,516,26389
SGV060,654,SGV012,516,26397
SGV061,654,SGV012,516,26396
SGV062,654,SGV012,516,26391
SGV063,654,SGV012,516,26393
SGV064,654,SGV012,516,26394
SGV065,654,SGV012,516,26391
