snp-dists 0.8.2,SGV002,SGV003,SGV004,SGV005,SGV006,SGV007,SGV008,SGV009,SGV010,SGV011,SGV012,SGV013,SGV014,SGV016,SGV017,SGV018,SGV019,SGV020,SGV021,SGV022,SGV023,SGV025,SGV026,SGV027,SGV028,SGV029,SGV030,SGV031,SGV032,SGV033,SGV034,SGV035,SGV036,SGV037,SGV038,SGV039,SGV040,SGV041,SGV042,SGV043,SGV044,SGV045,SGV046,SGV047,SGV048,SGV049,SGV050,SGV051,SGV052,SGV053,SGV054,SGV055,SGV056,SGV057,SGV058,SGV059,SGV060,SGV061,SGV062,SGV063,SGV064,SGV065,SGV066,SGV067,SGV068,SGV069,SGV070,SGV071,SGV072,SGV073,SGV075,SGV077,SGV078,SGV079,SGV080,SGV081,SGV082
SGV020,388,391,26167,362,654,81,359,404,383,403,148,405,142,382,371,26261,367,0,26174,26176,26140,26174,26173,25046,26175,25145,26053,26175,26177,26176,26178,26174,26173,26176,26176,26173,26178,26176,26175,26178,26177,26178,26176,26181,26166,26175,26177,26176,26175,26176,26173,26176,26176,26176,26175,26173,26181,26180,26174,26176,26178,26175,26177,26177,26182,26180,26177,26170,26176,26175,26175,26174,26175,26180,26177,26169,26025
SGV021,28410,28407,100,28286,29047,26307,28404,28007,28403,28301,26391,28379,26391,28080,28453,290,28385,26174,0,12,12,0,2,12,12,1,5,12,14,4,15,2,2,3,15,1,15,3,13,6,4,16,14,8,13,14,12,17,11,12,2,12,13,11,11,9,20,18,9,3,16,13,4,15,9,17,12,5,13,12,10,11,10,19,13,6,4
SGV022,28411,28408,102,28287,29050,26308,28405,28009,28404,28303,26392,28380,26392,28082,28454,292,28386,26176,12,0,14,12,12,14,14,13,17,14,16,16,17,12,12,15,17,11,19,15,15,18,16,18,12,20,12,16,10,19,9,10,12,11,11,9,9,7,22,20,9,15,18,15,16,13,21,19,10,7,15,10,8,9,8,21,11,9,15
SGV023,28376,28373,100,28252,29015,26272,28370,27974,28369,28268,26356,28345,26356,28047,28419,290,28351,26140,12,14,0,12,12,0,6,13,16,4,6,16,9,12,12,15,3,11,9,15,15,18,16,10,16,20,16,8,14,9,13,14,12,15,15,13,13,11,14,20,13,15,8,15,16,17,21,9,14,7,7,14,12,13,12,11,15,7,15
SGV025,28410,28407,100,28286,29047,26307,28404,28007,28403,28301,26391,28379,26391,28080,28453,290,28385,26174,0,12,12,0,2,12,12,1,5,12,14,4,15,2,2,3,15,1,15,3,13,6,4,16,14,8,13,14,12,17,11,12,2,12,13,11,11,9,20,18,9,3,16,13,4,15,9,17,12,5,13,12,10,11,10,19,13,6,4
SGV026,28409,28406,100,28285,29048,26306,28403,28007,28402,28301,26390,28378,26390,28079,28452,290,28384,26173,2,12,12,2,0,12,12,3,7,12,14,6,15,2,2,5,15,1,15,5,13,8,6,16,14,10,13,14,12,17,11,12,2,12,13,11,11,9,20,18,9,5,16,13,6,15,11,17,12,5,13,12,10,11,10,19,13,6,6
SGV027,27063,27062,95,26959,27707,25171,27064,26715,27060,27009,25257,27046,25255,26804,27111,274,27039,25046,12,14,0,12,12,0,6,13,16,4,6,16,9,12,12,15,3,11,9,15,12,18,16,10,16,20,16,8,13,9,12,12,12,14,13,12,12,11,14,18,12,15,8,13,15,17,21,8,14,7,7,13,12,13,12,9,13,7,14
SGV028,28410,28407,100,28286,29048,26307,28404,28008,28403,28302,26391,28379,26391,28081,28453,290,28385,26175,12,14,6,12,12,6,0,13,17,6,8,16,3,12,12,15,9,11,11,15,15,18,16,4,16,20,16,2,14,11,13,14,12,15,15,13,13,11,8,20,13,15,10,15,16,17,21,11,14,7,1,14,12,13,12,13,15,7,15
SGV029,27230,27228,94,27120,27877,25264,27225,26839,27220,27132,25350,27213,25344,26934,27260,279,27207,25145,1,13,13,1,3,13,13,0,6,13,15,5,16,3,3,4,16,2,16,4,13,7,5,16,15,9,13,15,12,18,12,12,3,13,13,12,12,10,20,19,10,4,16,14,5,16,10,17,13,6,14,13,11,12,11,18,13,6,3
SGV030,28286,28282,105,28163,28926,26185,28281,27885,28280,28178,26271,28254,26270,27957,28330,294,28261,26053,5,17,16,5,7,16,17,6,0,16,18,9,20,7,7,8,19,6,19,6,18,11,7,21,19,13,18,19,17,21,16,17,7,17,18,16,16,14,25,23,14,8,20,18,9,20,14,21,17,10,18,17,15,16,15,23,18,10,8
SGV031,28410,28407,100,28286,29047,26307,28404,28008,28403,28302,26391,28379,26390,28081,28453,290,28385,26175,12,14,4,12,12,4,6,13,16,0,4,16,9,12,12,15,7,11,7,15,15,18,16,10,16,20,16,8,14,7,13,14,12,15,15,13,13,11,14,20,13,15,6,15,16,17,21,5,14,7,7,14,12,13,12,9,15,7,15
SGV032,28412,28409,102,28288,29050,26309,28406,28010,28405,28304,26393,28381,26393,28083,28455,292,28387,26177,14,16,6,14,14,6,8,15,18,4,0,18,11,14,14,17,9,13,9,17,17,20,18,12,18,22,18,10,16,9,15,16,14,17,17,15,15,13,16,22,15,17,8,17,18,19,23,9,16,9,9,16,14,15,14,11,17,9,17
SGV033,28412,28409,104,28288,29051,26309,28406,28009,28405,28303,26393,28381,26393,28082,28455,294,28387,26176,4,16,16,4,6,16,16,5,9,16,18,0,19,6,6,7,19,5,19,7,17,10,8,20,18,12,17,18,16,21,15,16,6,16,17,15,15,13,24,22,13,3,20,17,8,19,13,21,16,9,17,16,14,15,14,23,17,10,8
SGV034,28413,28410,103,28289,29051,26310,28407,28011,28406,28305,26394,28382,26394,28084,28456,293,28388,26178,15,17,9,15,15,9,3,16,20,9,11,19,0,15,15,18,12,14,14,18,18,21,19,7,19,23,19,5,17,14,16,17,15,18,18,16,16,14,5,23,16,18,13,18,19,20,24,14,17,10,4,17,15,16,15,16,18,10,18
SGV035,28410,28407,100,28286,29048,26307,28404,28008,28403,28302,26391,28379,26391,28080,28453,290,28385,26174,2,12,12,2,2,12,12,3,7,12,14,6,15,0,2,3,15,1,15,5,13,8,6,16,14,8,13,14,12,17,11,12,2,12,13,11,11,9,20,18,9,5,16,13,6,15,9,17,12,5,13,12,10,11,10,19,13,6,6
SGV036,28410,28407,100,28286,29048,26306,28404,28008,28403,28302,26390,28379,26390,28080,28453,290,28385,26173,2,12,12,2,2,12,12,3,7,12,14,6,15,2,0,5,15,1,15,5,13,8,6,16,14,10,13,14,12,17,11,12,2,12,13,11,11,9,20,18,9,5,16,13,6,15,11,17,12,5,13,12,10,11,10,19,13,6,6
SGV037,28412,28409,103,28288,29049,26309,28406,28009,28405,28303,26393,28381,26393,28082,28455,293,28387,26176,3,15,15,3,5,15,15,4,8,15,17,7,18,3,5,0,18,4,18,6,16,9,7,19,17,7,16,17,15,20,14,15,5,15,16,14,14,12,23,21,12,6,19,16,7,18,8,20,15,8,16,15,13,14,13,22,16,9,7
SGV038,28412,28409,103,28288,29050,26308,28406,28010,28405,28304,26392,28381,26392,28083,28455,292,28387,26176,15,17,3,15,15,3,9,16,19,7,9,19,12,15,15,18,0,14,12,18,18,21,19,13,19,23,19,11,17,12,16,17,15,18,18,16,16,14,17,23,16,18,11,18,19,20,24,12,17,10,10,17,15,16,15,14,18,10,18
SGV039,28409,28406,99,28285,29047,26306,28403,28007,28402,28301,26390,28378,26390,28079,28452,289,28384,26173,1,11,11,1,1,11,11,2,6,11,13,5,14,1,1,4,14,0,14,4,12,7,5,15,13,9,12,13,11,16,10,11,1,11,12,10,10,8,19,17,8,4,15,12,5,14,10,16,11,4,12,11,9,10,9,18,12,5,5
SGV040,28414,28411,105,28290,29051,26311,28408,28010,28407,28304,26395,28383,26394,28084,28457,294,28389,26178,15,19,9,15,15,9,11,16,19,7,9,19,14,15,15,18,12,14,0,18,20,21,19,15,21,23,20,13,19,10,18,19,15,19,20,18,18,16,19,25,16,18,9,20,19,22,24,12,19,12,12,19,17,18,17,12,20,9,19
SGV041,28413,28410,103,28289,29050,26309,28407,28010,28406,28304,26393,28382,26393,28083,28456,293,28388,26176,3,15,15,3,5,15,15,4,6,15,17,7,18,5,5,6,18,4,18,0,16,9,5,19,17,11,16,17,15,20,14,15,5,15,16,14,14,12,23,21,12,6,19,16,7,18,12,20,15,8,16,15,13,14,13,22,16,9,7
SGV042,28411,28408,103,28287,29050,26307,28405,28009,28404,28303,26391,28380,26391,28082,28454,293,28386,26175,13,15,15,13,13,12,15,13,18,15,17,17,18,13,13,16,18,12,20,16,0,19,17,19,17,21,17,17,15,20,14,15,13,16,16,14,14,12,23,9,14,16,19,4,17,18,22,20,15,8,16,15,13,14,13,22,16,10,15
SGV043,28415,28412,106,28291,29053,26311,28409,28012,28408,28306,26395,28384,26395,28085,28458,296,28390,26178,6,18,18,6,8,18,18,7,11,18,20,10,21,8,8,9,21,7,21,9,19,0,10,22,20,14,19,20,18,23,17,18,8,18,19,17,17,15,26,24,15,9,22,19,8,21,15,23,18,11,19,18,16,17,16,25,19,12,8
SGV044,28413,28410,104,28289,29050,26310,28407,28010,28406,28304,26394,28382,26394,28083,28456,294,28388,26177,4,16,16,4,6,16,16,5,7,16,18,8,19,6,6,7,19,5,19,5,17,10,0,20,18,12,17,18,16,21,15,16,6,16,17,15,15,13,24,22,13,7,20,17,8,19,13,21,16,9,17,16,14,15,14,23,17,10,8
SGV045,28414,28411,104,28290,29052,26310,28408,28012,28407,28306,26394,28383,26394,28085,28457,294,28389,26178,16,18,10,16,16,10,4,16,21,10,12,20,7,16,16,19,13,15,15,19,19,22,20,0,20,24,20,6,18,15,17,18,16,19,19,17,17,15,12,24,17,19,14,19,20,21,25,15,18,11,5,18,16,17,16,17,19,11,19
SGV046,28413,28410,104,28289,29051,26308,28407,28011,28406,28305,26392,28382,26392,28084,28456,294,28388,26176,14,12,16,14,14,16,16,15,19,16,18,18,19,14,14,17,19,13,21,17,17,20,18,20,0,22,0,18,12,21,11,12,14,13,13,11,11,9,24,22,11,17,20,17,18,3,23,21,12,9,17,12,10,9,10,23,13,11,17
SGV047,28417,28414,108,28293,29054,26314,28411,28014,28409,28308,26398,28386,26398,28087,28460,298,28392,26181,8,20,20,8,10,20,20,9,13,20,22,12,23,8,10,7,23,9,23,11,21,14,12,24,22,0,21,22,20,25,19,20,10,20,21,19,19,17,28,26,17,11,24,21,12,23,1,25,20,13,21,20,18,19,18,27,21,14,12
SGV048,28346,28343,104,28223,28984,26243,28341,27944,28340,28238,26325,28315,26325,28074,28389,294,28321,26166,13,12,16,13,13,16,16,13,18,16,18,17,19,13,13,16,19,12,20,16,17,19,17,20,0,21,0,18,12,21,11,12,13,13,13,11,11,9,24,22,10,16,20,17,17,3,22,21,12,9,17,12,10,9,10,23,13,11,17
SGV049,28410,28407,102,28286,29049,26307,28404,28008,28403,28302,26391,28379,26391,28081,28453,292,28385,26175,14,16,8,14,14,8,2,15,19,8,10,18,5,14,14,17,11,13,13,17,17,20,18,6,18,22,18,0,16,13,15,16,14,17,17,15,15,13,10,22,15,17,12,17,18,19,23,13,16,9,3,16,14,15,14,15,17,9,17
SGV050,28412,28409,102,28288,29050,26309,28406,28010,28405,28304,26393,28381,26393,28083,28455,292,28387,26177,12,10,14,12,12,13,14,12,17,14,16,16,17,12,12,15,17,11,19,15,15,18,16,18,12,20,12,16,0,19,9,10,12,11,11,9,9,7,22,20,9,15,18,15,16,13,21,19,10,7,15,10,8,9,8,21,11,9,15
SGV051,28413,28410,104,28288,29051,26308,28406,28011,28404,28304,26392,28382,26391,28085,28457,294,28388,26176,17,19,9,17,17,9,11,18,21,7,9,21,14,17,17,20,12,16,10,20,20,23,21,15,21,25,21,13,19,0,18,19,17,20,20,18,18,16,19,25,18,20,9,20,21,22,26,12,19,12,12,19,17,18,17,8,20,10,20
SGV052,28410,28407,101,28286,29048,26307,28404,28008,28403,28302,26391,28379,26391,28081,28453,290,28385,26175,11,9,13,11,11,12,13,12,16,13,15,15,16,11,11,14,16,10,18,14,14,17,15,17,11,19,11,15,9,18,0,1,11,2,10,8,0,6,21,19,4,14,17,14,15,12,20,18,9,6,14,9,7,8,7,20,10,8,14
SGV053,28411,28408,102,28287,29049,26308,28405,28009,28404,28303,26392,28380,26392,28082,28454,291,28386,26176,12,10,14,12,12,12,14,12,17,14,16,16,17,12,12,15,17,11,19,15,15,18,16,18,12,20,12,16,10,19,1,0,12,3,11,9,1,7,22,20,5,15,18,15,16,13,21,19,10,7,15,10,8,9,8,21,11,9,15
SGV054,28410,28407,100,28286,29047,26306,28404,28008,28403,28302,26390,28379,26389,28080,28453,290,28385,26173,2,12,12,2,2,12,12,3,7,12,14,6,15,2,2,5,15,1,15,5,13,8,6,16,14,10,13,14,12,17,11,12,0,12,13,11,11,9,20,18,9,5,16,13,6,15,11,17,12,5,13,12,10,11,10,19,13,6,6
SGV055,28372,28369,102,28248,29010,26270,28366,27970,28365,28264,26353,28341,26353,28082,28415,291,28347,26176,12,11,15,12,12,14,15,13,17,15,17,16,18,12,12,15,18,11,19,15,16,18,16,19,13,20,13,17,11,20,2,3,12,0,12,10,2,8,23,21,5,15,19,16,16,14,21,20,11,8,16,11,9,10,9,22,12,10,16
SGV056,28412,28409,103,28288,29050,26308,28406,28010,28405,28304,26392,28381,26392,28083,28455,292,28387,26176,13,11,15,13,13,13,15,13,18,15,17,17,18,13,13,16,18,12,20,16,16,19,17,19,13,21,13,17,11,20,10,11,13,12,0,10,10,8,23,21,10,16,19,16,17,14,22,20,11,8,16,5,9,10,9,22,10,10,16
SGV057,28410,28407,101,28286,29048,26308,28404,28008,28403,28302,26392,28379,26392,28082,28453,291,28385,26176,11,9,13,11,11,12,13,12,16,13,15,15,16,11,11,14,16,10,18,14,14,17,15,17,11,19,11,15,9,18,8,9,11,10,10,0,8,6,21,19,8,14,17,14,15,12,20,18,9,6,14,9,7,8,7,20,10,8,14
SGV058,28410,28407,101,28286,29048,26307,28404,28008,28403,28302,26391,28379,26391,28081,28453,290,28385,26175,11,9,13,11,11,12,13,12,16,13,15,15,16,11,11,14,16,10,18,14,14,17,15,17,11,19,11,15,9,18,0,1,11,2,10,8,0,6,21,19,4,14,17,14,15,12,20,18,9,6,14,9,7,8,7,20,10,8,14
SGV059,28408,28405,99,28284,29046,26305,28402,28006,28401,28300,26389,28377,26389,28079,28451,289,28383,26173,9,7,11,9,9,11,11,10,14,11,13,13,14,9,9,12,14,8,16,12,12,15,13,15,9,17,9,13,7,16,6,7,9,8,8,6,6,0,19,17,6,12,15,12,13,10,18,16,7,4,12,7,5,6,5,18,8,6,12
SGV060,28417,28414,108,28293,29055,26313,28411,28015,28410,28309,26397,28386,26397,28088,28460,298,28392,26181,20,22,14,20,20,14,8,20,25,14,16,24,5,20,20,23,17,19,19,23,23,26,24,12,24,28,24,10,22,19,21,22,20,23,23,21,21,19,0,28,21,23,18,23,24,25,29,19,22,15,9,22,20,21,20,21,23,15,23
SGV061,28416,28413,108,28292,29055,26312,28410,28014,28409,28308,26396,28385,26396,28087,28459,298,28391,26180,18,20,20,18,18,18,20,19,23,20,22,22,23,18,18,21,23,17,25,21,9,24,22,24,22,26,22,22,20,25,19,20,18,21,21,19,19,17,28,0,19,21,24,5,22,23,27,25,20,13,21,20,18,19,18,27,21,15,20
SGV062,28410,28407,101,28286,29048,26307,28404,28008,28403,28302,26391,28379,26391,28080,28453,290,28385,26174,9,9,13,9,9,12,13,10,14,13,15,13,16,9,9,12,16,8,16,12,14,15,13,17,11,17,10,15,9,18,4,5,9,5,10,8,4,6,21,19,0,12,17,14,13,12,18,18,9,6,14,9,7,8,7,20,10,7,13
SGV063,28412,28409,103,28288,29050,26309,28406,28009,28405,28303,26393,28381,26393,28082,28455,293,28387,26176,3,15,15,3,5,15,15,4,8,15,17,3,18,5,5,6,18,4,18,6,16,9,7,19,17,11,16,17,15,20,14,15,5,15,16,14,14,12,23,21,12,0,19,16,7,18,12,20,15,8,16,15,13,14,13,22,16,9,7
SGV064,28413,28410,104,28289,29050,26310,28407,28011,28406,28305,26394,28382,26393,28084,28456,293,28388,26178,16,18,8,16,16,8,10,16,20,6,8,20,13,16,16,19,11,15,9,19,19,22,20,14,20,24,20,12,18,9,17,18,16,19,19,17,17,15,18,24,17,19,0,19,20,21,25,11,18,11,11,18,16,17,16,11,19,9,19
SGV065,28411,28408,103,28287,29050,26307,28405,28009,28404,28303,26391,28380,26391,28082,28454,293,28386,26175,13,15,15,13,13,13,15,14,18,15,17,17,18,13,13,16,18,12,20,16,4,19,17,19,17,21,17,17,15,20,14,15,13,16,16,14,14,12,23,5,14,16,19,0,17,18,22,20,15,8,16,15,13,14,13,22,16,10,15
SGV066,28413,28410,104,28289,29050,26310,28407,28010,28406,28304,26394,28382,26394,28083,28456,292,28388,26177,4,16,16,4,6,15,16,5,9,16,18,8,19,6,6,7,19,5,19,7,17,8,8,20,18,12,17,18,16,21,15,16,6,16,17,15,15,13,24,22,13,7,20,17,0,19,13,21,16,9,17,16,14,15,14,23,17,10,4
SGV067,28414,28411,105,28290,29052,26309,28408,28012,28407,28306,26393,28383,26393,28085,28457,295,28389,26177,15,13,17,15,15,17,17,16,20,17,19,19,20,15,15,18,20,14,22,18,18,21,19,21,3,23,3,19,13,22,12,13,15,14,14,12,12,10,25,23,12,18,21,18,19,0,24,22,13,10,18,13,11,10,11,24,14,12,18
SGV068,28418,28415,109,28294,29055,26315,28412,28015,28410,28309,26399,28387,26399,28088,28461,299,28393,26182,9,21,21,9,11,21,21,10,14,21,23,13,24,9,11,8,24,10,24,12,22,15,13,25,23,1,22,23,21,26,20,21,11,21,22,20,20,18,29,27,18,12,25,22,13,24,0,26,21,14,22,21,19,20,19,28,22,15,13
SGV069,28415,28412,105,28291,29052,26312,28409,28013,28408,28307,26396,28384,26395,28086,28458,293,28390,26180,17,19,9,17,17,8,11,17,21,5,9,21,14,17,17,20,12,16,12,20,20,23,21,15,21,25,21,13,19,12,18,19,17,20,20,18,18,16,19,25,18,20,11,20,21,22,26,0,19,12,12,19,17,18,17,14,20,12,20
SGV070,28412,28409,102,28288,29037,26309,28406,28010,28405,28304,26393,28381,26393,28083,28455,292,28387,26177,12,10,14,12,12,14,14,13,17,14,16,16,17,12,12,15,17,11,19,15,15,18,16,18,12,20,12,16,10,19,9,10,12,11,11,9,9,7,22,20,9,15,18,15,16,13,21,19,0,7,15,10,8,9,8,21,11,9,15
SGV071,28405,28402,95,28281,29043,26302,28399,28003,28398,28297,26386,28374,26386,28076,28448,285,28380,26170,5,7,7,5,5,7,7,6,10,7,9,9,10,5,5,8,10,4,12,8,8,11,9,11,9,13,9,9,7,12,6,7,5,8,8,6,6,4,15,13,6,8,11,8,9,10,14,12,7,0,8,7,5,6,5,14,8,2,8
SGV072,28411,28408,101,28287,29049,26308,28405,28009,28404,28303,26392,28380,26392,28082,28454,291,28386,26176,13,15,7,13,13,7,1,14,18,7,9,17,4,13,13,16,10,12,12,16,16,19,17,5,17,21,17,3,15,12,14,15,13,16,16,14,14,12,9,21,14,16,11,16,17,18,22,12,15,8,0,15,13,14,13,14,16,8,16
SGV073,28411,28408,102,28287,29049,26307,28405,28009,28404,28303,26391,28380,26391,28082,28454,291,28386,26175,12,10,14,12,12,13,14,13,17,14,16,16,17,12,12,15,17,11,19,15,15,18,16,18,12,20,12,16,10,19,9,10,12,11,5,9,9,7,22,20,9,15,18,15,16,13,21,19,10,7,15,0,8,9,8,21,9,9,15
SGV075,28410,28407,100,28286,29048,26307,28404,28007,28403,28302,26391,28379,26391,28081,28453,290,28385,26175,10,8,12,10,10,12,12,11,15,12,14,14,15,10,10,13,15,9,17,13,13,16,14,16,10,18,10,14,8,17,7,8,10,9,9,7,7,5,20,18,7,13,16,13,14,11,19,17,8,5,13,8,0,7,6,19,9,7,13
