snp.dists.0.8.2,year1,year1_ed,source1,variable,year2,year2_ed,source2,value,same_source,same_period,,,,,
SGV054,2020,B,Canine,SGV021,2019,B,Bovine,2,1,0,,,,,
SGV055,2021,B,Bovine,SGV021,2019,B,Bovine,12,0,0,,,,,
SGV056,2021,B,Canine,SGV021,2019,B,Bovine,13,1,0,,,,,
SGV057,2021,B,Bovine,SGV021,2019,B,Bovine,11,0,0,,,,,
SGV058,2021,B,Canine,SGV021,2019,B,Bovine,11,1,0,,,,,
SGV059,2021,B,Bovine,SGV021,2019,B,Bovine,9,0,0,,,,,
SGV060,2021,B,Bovine,SGV021,2019,B,Bovine,20,0,0,,,,,
SGV061,2021,B,Canine,SGV021,2019,B,Bovine,18,1,0,,,,,
SGV062,2021,B,Bovine,SGV021,2019,B,Bovine,9,0,0,,,,,
SGV063,2021,B,Ovine,SGV021,2019,B,Bovine,3,1,0,,,,,
SGV064,2021,B,Bovine,SGV021,2019,B,Bovine,16,0,0,,,,,
SGV065,2021,B,Canine,SGV021,2019,B,Bovine,13,1,0,,,,,
SGV066,2022,B,Human,SGV021,2019,B,Bovine,4,1,0,,,,,
SGV067,2022,B,Bovine,SGV021,2019,B,Bovine,15,0,0,,,,,
SGV068,2022,B,Canine,SGV021,2019,B,Bovine,9,1,0,,,,,
SGV069,2022,B,Bovine,SGV021,2019,B,Bovine,17,0,0,,,,,
SGV070,2022,B,Canine,SGV021,2019,B,Bovine,12,1,0,,,,,
SGV071,2022,B,Human,SGV021,2019,B,Bovine,5,1,0,,,,,
SGV072,2022,B,Feline,SGV021,2019,B,Bovine,13,1,0,,,,,
SGV073,2022,B,Canine,SGV021,2019,B,Bovine,12,1,0,,,,,
SGV075,2022,B,Bovine,SGV021,2019,B,Bovine,10,0,0,,,,,
SGV077,2022,B,Canine,SGV021,2019,B,Bovine,11,1,0,,,,,
SGV078,2022,B,Bovine,SGV021,2019,B,Bovine,10,0,0,,,,,
SGV079,2022,B,Canine,SGV021,2019,B,Bovine,19,1,0,,,,,
SGV080,2022,B,Equine,SGV021,2019,B,Bovine,13,1,0,,,,,
SGV004,2005,A,Bovine,SGV022,2019,B,Bovine,102,0,1,,,,,
SGV021,2019,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV022,2019,B,Bovine,SGV022,2019,B,Bovine,0,0,0,,,,,
SGV023,2019,B,Bovine,SGV022,2019,B,Bovine,14,0,0,,,,,
SGV025,2019,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV026,2019,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV028,2019,B,Bovine,SGV022,2019,B,Bovine,14,0,0,,,,,
SGV029,2019,B,Bovine,SGV022,2019,B,Bovine,13,0,0,,,,,
SGV030,2020,B,Bovine,SGV022,2019,B,Bovine,17,0,0,,,,,
SGV031,2020,B,Bovine,SGV022,2019,B,Bovine,14,0,0,,,,,
SGV032,2020,B,Human,SGV022,2019,B,Bovine,16,1,0,,,,,
SGV033,2020,B,Human,SGV022,2019,B,Bovine,16,1,0,,,,,
SGV034,2020,B,Human,SGV022,2019,B,Bovine,17,1,0,,,,,
SGV035,2020,B,Feline,SGV022,2019,B,Bovine,12,1,0,,,,,
SGV036,2020,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV037,2020,B,Bovine,SGV022,2019,B,Bovine,15,0,0,,,,,
SGV038,2020,B,Bovine,SGV022,2019,B,Bovine,17,0,0,,,,,
SGV039,2020,B,Canine,SGV022,2019,B,Bovine,11,1,0,,,,,
SGV040,2020,B,Bovine,SGV022,2019,B,Bovine,19,0,0,,,,,
SGV041,2020,B,Bovine,SGV022,2019,B,Bovine,15,0,0,,,,,
SGV042,2020,B,Bovine,SGV022,2019,B,Bovine,15,0,0,,,,,
SGV043,2020,B,Bovine,SGV022,2019,B,Bovine,18,0,0,,,,,
SGV044,2020,B,Bovine,SGV022,2019,B,Bovine,16,0,0,,,,,
SGV045,2020,B,Canine,SGV022,2019,B,Bovine,18,1,0,,,,,
SGV046,2020,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV047,2021,B,Bovine,SGV022,2019,B,Bovine,20,0,0,,,,,
SGV048,2021,B,Bovine,SGV022,2019,B,Bovine,12,0,0,,,,,
SGV049,2021,B,Human,SGV022,2019,B,Bovine,16,1,0,,,,,
SGV050,2021,B,Human,SGV022,2019,B,Bovine,10,1,0,,,,,
SGV051,2021,B,Bovine,SGV022,2019,B,Bovine,19,0,0,,,,,
SGV052,2021,B,Canine,SGV022,2019,B,Bovine,9,1,0,,,,,
SGV053,2021,B,Bovine,SGV022,2019,B,Bovine,10,0,0,,,,,
SGV054,2020,B,Canine,SGV022,2019,B,Bovine,12,1,0,,,,,
SGV055,2021,B,Bovine,SGV022,2019,B,Bovine,11,0,0,,,,,
SGV056,2021,B,Canine,SGV022,2019,B,Bovine,11,1,0,,,,,
SGV057,2021,B,Bovine,SGV022,2019,B,Bovine,9,0,0,,,,,
SGV058,2021,B,Canine,SGV022,2019,B,Bovine,9,1,0,,,,,
SGV059,2021,B,Bovine,SGV022,2019,B,Bovine,7,0,0,,,,,
SGV060,2021,B,Bovine,SGV022,2019,B,Bovine,22,0,0,,,,,
SGV061,2021,B,Canine,SGV022,2019,B,Bovine,20,1,0,,,,,
SGV062,2021,B,Bovine,SGV022,2019,B,Bovine,9,0,0,,,,,
SGV063,2021,B,Ovine,SGV022,2019,B,Bovine,15,1,0,,,,,
SGV064,2021,B,Bovine,SGV022,2019,B,Bovine,18,0,0,,,,,
SGV065,2021,B,Canine,SGV022,2019,B,Bovine,15,1,0,,,,,
SGV066,2022,B,Human,SGV022,2019,B,Bovine,16,1,0,,,,,
SGV067,2022,B,Bovine,SGV022,2019,B,Bovine,13,0,0,,,,,
SGV068,2022,B,Canine,SGV022,2019,B,Bovine,21,1,0,,,,,
SGV069,2022,B,Bovine,SGV022,2019,B,Bovine,19,0,0,,,,,
SGV070,2022,B,Canine,SGV022,2019,B,Bovine,10,1,0,,,,,
SGV071,2022,B,Human,SGV022,2019,B,Bovine,7,1,0,,,,,
SGV072,2022,B,Feline,SGV022,2019,B,Bovine,15,1,0,,,,,
SGV073,2022,B,Canine,SGV022,2019,B,Bovine,10,1,0,,,,,
SGV075,2022,B,Bovine,SGV022,2019,B,Bovine,8,0,0,,,,,
SGV077,2022,B,Canine,SGV022,2019,B,Bovine,9,1,0,,,,,
SGV078,2022,B,Bovine,SGV022,2019,B,Bovine,8,0,0,,,,,
SGV079,2022,B,Canine,SGV022,2019,B,Bovine,21,1,0,,,,,
SGV080,2022,B,Equine,SGV022,2019,B,Bovine,11,1,0,,,,,
SGV004,2005,A,Bovine,SGV023,2019,B,Bovine,100,0,1,,,,,
SGV021,2019,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV022,2019,B,Bovine,SGV023,2019,B,Bovine,14,0,0,,,,,
SGV023,2019,B,Bovine,SGV023,2019,B,Bovine,0,0,0,,,,,
SGV025,2019,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV026,2019,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV028,2019,B,Bovine,SGV023,2019,B,Bovine,6,0,0,,,,,
SGV029,2019,B,Bovine,SGV023,2019,B,Bovine,13,0,0,,,,,
SGV030,2020,B,Bovine,SGV023,2019,B,Bovine,16,0,0,,,,,
SGV031,2020,B,Bovine,SGV023,2019,B,Bovine,4,0,0,,,,,
SGV032,2020,B,Human,SGV023,2019,B,Bovine,6,1,0,,,,,
SGV033,2020,B,Human,SGV023,2019,B,Bovine,16,1,0,,,,,
SGV034,2020,B,Human,SGV023,2019,B,Bovine,9,1,0,,,,,
SGV035,2020,B,Feline,SGV023,2019,B,Bovine,12,1,0,,,,,
SGV036,2020,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV037,2020,B,Bovine,SGV023,2019,B,Bovine,15,0,0,,,,,
SGV038,2020,B,Bovine,SGV023,2019,B,Bovine,3,0,0,,,,,
SGV039,2020,B,Canine,SGV023,2019,B,Bovine,11,1,0,,,,,
SGV040,2020,B,Bovine,SGV023,2019,B,Bovine,9,0,0,,,,,
SGV041,2020,B,Bovine,SGV023,2019,B,Bovine,15,0,0,,,,,
SGV042,2020,B,Bovine,SGV023,2019,B,Bovine,15,0,0,,,,,
SGV043,2020,B,Bovine,SGV023,2019,B,Bovine,18,0,0,,,,,
SGV044,2020,B,Bovine,SGV023,2019,B,Bovine,16,0,0,,,,,
SGV045,2020,B,Canine,SGV023,2019,B,Bovine,10,1,0,,,,,
SGV046,2020,B,Bovine,SGV023,2019,B,Bovine,16,0,0,,,,,
SGV047,2021,B,Bovine,SGV023,2019,B,Bovine,20,0,0,,,,,
SGV048,2021,B,Bovine,SGV023,2019,B,Bovine,16,0,0,,,,,
SGV049,2021,B,Human,SGV023,2019,B,Bovine,8,1,0,,,,,
SGV050,2021,B,Human,SGV023,2019,B,Bovine,14,1,0,,,,,
SGV051,2021,B,Bovine,SGV023,2019,B,Bovine,9,0,0,,,,,
SGV052,2021,B,Canine,SGV023,2019,B,Bovine,13,1,0,,,,,
SGV053,2021,B,Bovine,SGV023,2019,B,Bovine,14,0,0,,,,,
SGV054,2020,B,Canine,SGV023,2019,B,Bovine,12,1,0,,,,,
SGV055,2021,B,Bovine,SGV023,2019,B,Bovine,15,0,0,,,,,
SGV056,2021,B,Canine,SGV023,2019,B,Bovine,15,1,0,,,,,
SGV057,2021,B,Bovine,SGV023,2019,B,Bovine,13,0,0,,,,,
SGV058,2021,B,Canine,SGV023,2019,B,Bovine,13,1,0,,,,,
SGV059,2021,B,Bovine,SGV023,2019,B,Bovine,11,0,0,,,,,
SGV060,2021,B,Bovine,SGV023,2019,B,Bovine,14,0,0,,,,,
SGV061,2021,B,Canine,SGV023,2019,B,Bovine,20,1,0,,,,,
SGV062,2021,B,Bovine,SGV023,2019,B,Bovine,13,0,0,,,,,
SGV063,2021,B,Ovine,SGV023,2019,B,Bovine,15,1,0,,,,,
SGV064,2021,B,Bovine,SGV023,2019,B,Bovine,8,0,0,,,,,
SGV065,2021,B,Canine,SGV023,2019,B,Bovine,15,1,0,,,,,
SGV066,2022,B,Human,SGV023,2019,B,Bovine,16,1,0,,,,,
SGV067,2022,B,Bovine,SGV023,2019,B,Bovine,17,0,0,,,,,
SGV068,2022,B,Canine,SGV023,2019,B,Bovine,21,1,0,,,,,
SGV069,2022,B,Bovine,SGV023,2019,B,Bovine,9,0,0,,,,,
SGV070,2022,B,Canine,SGV023,2019,B,Bovine,14,1,0,,,,,
SGV071,2022,B,Human,SGV023,2019,B,Bovine,7,1,0,,,,,
SGV072,2022,B,Feline,SGV023,2019,B,Bovine,7,1,0,,,,,
SGV073,2022,B,Canine,SGV023,2019,B,Bovine,14,1,0,,,,,
SGV075,2022,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV077,2022,B,Canine,SGV023,2019,B,Bovine,13,1,0,,,,,
SGV078,2022,B,Bovine,SGV023,2019,B,Bovine,12,0,0,,,,,
SGV079,2022,B,Canine,SGV023,2019,B,Bovine,11,1,0,,,,,
SGV080,2022,B,Equine,SGV023,2019,B,Bovine,15,1,0,,,,,
SGV004,2005,A,Bovine,SGV025,2019,B,Bovine,100,0,1,,,,,
SGV021,2019,B,Bovine,SGV025,2019,B,Bovine,0,0,0,,,,,
SGV022,2019,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV023,2019,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV025,2019,B,Bovine,SGV025,2019,B,Bovine,0,0,0,,,,,
SGV026,2019,B,Bovine,SGV025,2019,B,Bovine,2,0,0,,,,,
SGV028,2019,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV029,2019,B,Bovine,SGV025,2019,B,Bovine,1,0,0,,,,,
SGV030,2020,B,Bovine,SGV025,2019,B,Bovine,5,0,0,,,,,
SGV031,2020,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV032,2020,B,Human,SGV025,2019,B,Bovine,14,1,0,,,,,
SGV033,2020,B,Human,SGV025,2019,B,Bovine,4,1,0,,,,,
SGV034,2020,B,Human,SGV025,2019,B,Bovine,15,1,0,,,,,
SGV035,2020,B,Feline,SGV025,2019,B,Bovine,2,1,0,,,,,
SGV036,2020,B,Bovine,SGV025,2019,B,Bovine,2,0,0,,,,,
SGV037,2020,B,Bovine,SGV025,2019,B,Bovine,3,0,0,,,,,
SGV038,2020,B,Bovine,SGV025,2019,B,Bovine,15,0,0,,,,,
SGV039,2020,B,Canine,SGV025,2019,B,Bovine,1,1,0,,,,,
SGV040,2020,B,Bovine,SGV025,2019,B,Bovine,15,0,0,,,,,
SGV041,2020,B,Bovine,SGV025,2019,B,Bovine,3,0,0,,,,,
SGV042,2020,B,Bovine,SGV025,2019,B,Bovine,13,0,0,,,,,
SGV043,2020,B,Bovine,SGV025,2019,B,Bovine,6,0,0,,,,,
SGV044,2020,B,Bovine,SGV025,2019,B,Bovine,4,0,0,,,,,
SGV045,2020,B,Canine,SGV025,2019,B,Bovine,16,1,0,,,,,
SGV046,2020,B,Bovine,SGV025,2019,B,Bovine,14,0,0,,,,,
SGV047,2021,B,Bovine,SGV025,2019,B,Bovine,8,0,0,,,,,
SGV048,2021,B,Bovine,SGV025,2019,B,Bovine,13,0,0,,,,,
SGV049,2021,B,Human,SGV025,2019,B,Bovine,14,1,0,,,,,
SGV050,2021,B,Human,SGV025,2019,B,Bovine,12,1,0,,,,,
SGV051,2021,B,Bovine,SGV025,2019,B,Bovine,17,0,0,,,,,
SGV052,2021,B,Canine,SGV025,2019,B,Bovine,11,1,0,,,,,
SGV053,2021,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV054,2020,B,Canine,SGV025,2019,B,Bovine,2,1,0,,,,,
SGV055,2021,B,Bovine,SGV025,2019,B,Bovine,12,0,0,,,,,
SGV056,2021,B,Canine,SGV025,2019,B,Bovine,13,1,0,,,,,
SGV057,2021,B,Bovine,SGV025,2019,B,Bovine,11,0,0,,,,,
SGV058,2021,B,Canine,SGV025,2019,B,Bovine,11,1,0,,,,,
SGV059,2021,B,Bovine,SGV025,2019,B,Bovine,9,0,0,,,,,
SGV060,2021,B,Bovine,SGV025,2019,B,Bovine,20,0,0,,,,,
SGV061,2021,B,Canine,SGV025,2019,B,Bovine,18,1,0,,,,,
SGV062,2021,B,Bovine,SGV025,2019,B,Bovine,9,0,0,,,,,
SGV063,2021,B,Ovine,SGV025,2019,B,Bovine,3,1,0,,,,,
SGV064,2021,B,Bovine,SGV025,2019,B,Bovine,16,0,0,,,,,
SGV065,2021,B,Canine,SGV025,2019,B,Bovine,13,1,0,,,,,
SGV066,2022,B,Human,SGV025,2019,B,Bovine,4,1,0,,,,,
SGV067,2022,B,Bovine,SGV025,2019,B,Bovine,15,0,0,,,,,
SGV068,2022,B,Canine,SGV025,2019,B,Bovine,9,1,0,,,,,
SGV069,2022,B,Bovine,SGV025,2019,B,Bovine,17,0,0,,,,,
SGV070,2022,B,Canine,SGV025,2019,B,Bovine,12,1,0,,,,,
SGV071,2022,B,Human,SGV025,2019,B,Bovine,5,1,0,,,,,
SGV072,2022,B,Feline,SGV025,2019,B,Bovine,13,1,0,,,,,
SGV073,2022,B,Canine,SGV025,2019,B,Bovine,12,1,0,,,,,
SGV075,2022,B,Bovine,SGV025,2019,B,Bovine,10,0,0,,,,,
SGV077,2022,B,Canine,SGV025,2019,B,Bovine,11,1,0,,,,,
SGV078,2022,B,Bovine,SGV025,2019,B,Bovine,10,0,0,,,,,
SGV079,2022,B,Canine,SGV025,2019,B,Bovine,19,1,0,,,,,
SGV080,2022,B,Equine,SGV025,2019,B,Bovine,13,1,0,,,,,
SGV004,2005,A,Bovine,SGV026,2019,B,Bovine,100,0,1,,,,,
SGV021,2019,B,Bovine,SGV026,2019,B,Bovine,2,0,0,,,,,
SGV022,2019,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV023,2019,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV025,2019,B,Bovine,SGV026,2019,B,Bovine,2,0,0,,,,,
SGV026,2019,B,Bovine,SGV026,2019,B,Bovine,0,0,0,,,,,
SGV028,2019,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV029,2019,B,Bovine,SGV026,2019,B,Bovine,3,0,0,,,,,
SGV030,2020,B,Bovine,SGV026,2019,B,Bovine,7,0,0,,,,,
SGV031,2020,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV032,2020,B,Human,SGV026,2019,B,Bovine,14,1,0,,,,,
SGV033,2020,B,Human,SGV026,2019,B,Bovine,6,1,0,,,,,
SGV034,2020,B,Human,SGV026,2019,B,Bovine,15,1,0,,,,,
SGV035,2020,B,Feline,SGV026,2019,B,Bovine,2,1,0,,,,,
SGV036,2020,B,Bovine,SGV026,2019,B,Bovine,2,0,0,,,,,
SGV037,2020,B,Bovine,SGV026,2019,B,Bovine,5,0,0,,,,,
SGV038,2020,B,Bovine,SGV026,2019,B,Bovine,15,0,0,,,,,
SGV039,2020,B,Canine,SGV026,2019,B,Bovine,1,1,0,,,,,
SGV040,2020,B,Bovine,SGV026,2019,B,Bovine,15,0,0,,,,,
SGV041,2020,B,Bovine,SGV026,2019,B,Bovine,5,0,0,,,,,
SGV042,2020,B,Bovine,SGV026,2019,B,Bovine,13,0,0,,,,,
SGV043,2020,B,Bovine,SGV026,2019,B,Bovine,8,0,0,,,,,
SGV044,2020,B,Bovine,SGV026,2019,B,Bovine,6,0,0,,,,,
SGV045,2020,B,Canine,SGV026,2019,B,Bovine,16,1,0,,,,,
SGV046,2020,B,Bovine,SGV026,2019,B,Bovine,14,0,0,,,,,
SGV047,2021,B,Bovine,SGV026,2019,B,Bovine,10,0,0,,,,,
SGV048,2021,B,Bovine,SGV026,2019,B,Bovine,13,0,0,,,,,
SGV049,2021,B,Human,SGV026,2019,B,Bovine,14,1,0,,,,,
SGV050,2021,B,Human,SGV026,2019,B,Bovine,12,1,0,,,,,
SGV051,2021,B,Bovine,SGV026,2019,B,Bovine,17,0,0,,,,,
SGV052,2021,B,Canine,SGV026,2019,B,Bovine,11,1,0,,,,,
SGV053,2021,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV054,2020,B,Canine,SGV026,2019,B,Bovine,2,1,0,,,,,
SGV055,2021,B,Bovine,SGV026,2019,B,Bovine,12,0,0,,,,,
SGV056,2021,B,Canine,SGV026,2019,B,Bovine,13,1,0,,,,,
SGV057,2021,B,Bovine,SGV026,2019,B,Bovine,11,0,0,,,,,
SGV058,2021,B,Canine,SGV026,2019,B,Bovine,11,1,0,,,,,
SGV059,2021,B,Bovine,SGV026,2019,B,Bovine,9,0,0,,,,,
SGV060,2021,B,Bovine,SGV026,2019,B,Bovine,20,0,0,,,,,
SGV061,2021,B,Canine,SGV026,2019,B,Bovine,18,1,0,,,,,
SGV062,2021,B,Bovine,SGV026,2019,B,Bovine,9,0,0,,,,,
SGV063,2021,B,Ovine,SGV026,2019,B,Bovine,5,1,0,,,,,
SGV064,2021,B,Bovine,SGV026,2019,B,Bovine,16,0,0,,,,,
SGV065,2021,B,Canine,SGV026,2019,B,Bovine,13,1,0,,,,,
SGV066,2022,B,Human,SGV026,2019,B,Bovine,6,1,0,,,,,
SGV067,2022,B,Bovine,SGV026,2019,B,Bovine,15,0,0,,,,,
SGV068,2022,B,Canine,SGV026,2019,B,Bovine,11,1,0,,,,,
SGV069,2022,B,Bovine,SGV026,2019,B,Bovine,17,0,0,,,,,
SGV070,2022,B,Canine,SGV026,2019,B,Bovine,12,1,0,,,,,
SGV071,2022,B,Human,SGV026,2019,B,Bovine,5,1,0,,,,,
SGV072,2022,B,Feline,SGV026,2019,B,Bovine,13,1,0,,,,,
SGV073,2022,B,Canine,SGV026,2019,B,Bovine,12,1,0,,,,,
SGV075,2022,B,Bovine,SGV026,2019,B,Bovine,10,0,0,,,,,
SGV077,2022,B,Canine,SGV026,2019,B,Bovine,11,1,0,,,,,
SGV078,2022,B,Bovine,SGV026,2019,B,Bovine,10,0,0,,,,,
SGV079,2022,B,Canine,SGV026,2019,B,Bovine,19,1,0,,,,,
SGV080,2022,B,Equine,SGV026,2019,B,Bovine,13,1,0,,,,,
