snp.dists.0.8.2,year1,period,variable,year2,period2,value,,,,,,,,,,,,,,
SBV081_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV082_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV083_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV084_plate02,2016,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV085_plate03,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV087_plate02,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV088_plate02,2016,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV089_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV090_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV091_plate02,2016,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV092_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV093_plate02,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV094_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV095_plate02,2016,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV096_plate02,2016,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV097_plate02,2016,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV098_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV099_plate02,2016,period2,SBV005_plate01,2004,period1,48,1,,,,,,,,,,,,,
SBV100_plate02,2016,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV101_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV102_plate02,2016,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV103_plate02,2016,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV104_plate02,2016,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV105_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV106_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV107_plate02,2016,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV108_plate02,2016,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV109_plate02,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV110_plate02,2016,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV111_plate02,2016,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV112_plate02,2016,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV113_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV114_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV115_plate02,2017,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV116_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV117_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV118_plate02,2017,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV119_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV121_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV122_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV123_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV124_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV125_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV126_plate03,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV127_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV128_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV130_plate02,2017,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV131_plate03,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV132_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV133_plate02,2017,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV134_plate02,2017,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV135_plate02,2017,period2,SBV005_plate01,2004,period1,48,1,,,,,,,,,,,,,
SBV136_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV137_plate03,2017,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV138_plate02,2017,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV139_plate02,2017,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV140_plate02,2017,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV141_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV142_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV143_plate02,2017,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV144_plate02,2017,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV145_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV146_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV147_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV148_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV149_plate03,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV150_plate02,2017,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV151_plate02,2017,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV152_plate02,2017,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV153_plate02,2017,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV154_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV155_plate03,2018,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV156_plate02,2018,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV157_plate02,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV158_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV159_plate02,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV160_plate02,2018,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV161_plate02,2018,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV162_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV163_plate02,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV164_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV165_plate02,2018,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV166_plate02,2018,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV167_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV168_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV169_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV170_plate02,2018,period2,SBV005_plate01,2004,period1,61,1,,,,,,,,,,,,,
SBV171_plate02,2018,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV172_plate02,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV173_plate02,2018,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV174_plate02,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV175_plate02,2018,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV176_plate02,2018,period2,SBV005_plate01,2004,period1,61,1,,,,,,,,,,,,,
SBV177_plate03,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV178_plate03,2018,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV179_plate03,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV180_plate03,2018,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV181_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV183_plate03,2018,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV184_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV185_plate03,2018,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV186_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV187_plate03,2018,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV188_plate03,2018,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV189_plate03,2018,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV190_plate03,2018,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV191_plate03,2018,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV192_plate03,2018,period2,SBV005_plate01,2004,period1,49,1,,,,,,,,,,,,,
SBV193_plate03,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV194_plate03,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV195_plate03,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV196_plate03,2018,period2,SBV005_plate01,2004,period1,62,1,,,,,,,,,,,,,
SBV197_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV198_plate03,2018,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV199_plate03,2018,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV200_plate03,2018,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV201_plate03,2018,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV202_plate03,2018,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV203_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV204_plate03,2019,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV205_plate03,2019,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV206_plate03,2019,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV207_plate03,2019,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV208_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV209_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV210_plate03,2019,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV211_plate03,2019,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV212_plate03,2019,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV213_plate03,2019,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV214_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV216_plate03,2019,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV217_plate03,2019,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV218_plate05,2019,period2,SBV005_plate01,2004,period1,50,1,,,,,,,,,,,,,
SBV219_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV220_plate03,2019,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV221_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV222_plate03,2019,period2,SBV005_plate01,2004,period1,50,1,,,,,,,,,,,,,
SBV224_plate03,2019,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV225_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV226_plate03,2019,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV227_plate03,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV228_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV229_plate03,2019,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV230_plate03,2019,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV231_plate03,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV232_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV233_plate03,2019,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV234_plate05,2019,period2,SBV005_plate01,2004,period1,62,1,,,,,,,,,,,,,
SBV235_plate05,2019,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV236_plate03,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV237_plate03,2019,period2,SBV005_plate01,2004,period1,50,1,,,,,,,,,,,,,
SBV238_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV239_plate03,2019,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV240_plate05,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV241_plate03,2019,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV242_plate03,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV243_plate03,2019,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV244_plate03,2019,period2,SBV005_plate01,2004,period1,60,1,,,,,,,,,,,,,
SBV245_plate03,2019,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV246_plate03,2019,period2,SBV005_plate01,2004,period1,50,1,,,,,,,,,,,,,
SBV247_plate03,2020,period2,SBV005_plate01,2004,period1,62,1,,,,,,,,,,,,,
SBV249_plate03,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV251_plate03,2020,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV252_plate03,2020,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV253_plate03,2020,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV254_plate03,2020,period2,SBV005_plate01,2004,period1,78,1,,,,,,,,,,,,,
SBV255_plate03,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV256_plate03,2020,period2,SBV005_plate01,2004,period1,60,1,,,,,,,,,,,,,
SBV257_plate05,2019,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV258_plate03,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV259_plate03,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV260_plate03,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV261_plate03,2020,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV262_plate03,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV263_plate03,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV265_plate03,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV266_plate03,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV267_plate03,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV268_plate03,2020,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV269_plate05,2020,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV270_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV271_plate04,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV272_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV273_plate04,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV274_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV275_plate04,2020,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV276_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV277_plate04,2020,period2,SBV005_plate01,2004,period1,60,1,,,,,,,,,,,,,
SBV278_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV279_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV280_plate05,2019,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV281_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV282_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV283_plate04,2020,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV284_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV285_plate04,2020,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV286_plate04,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV287_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV288_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV289_plate04,2020,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV290_plate04,2020,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV291_plate04,2020,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV292_plate04,2020,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV293_plate04,2021,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV294_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV295_plate04,2021,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV296_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV297_plate04,2021,period2,SBV005_plate01,2004,period1,51,1,,,,,,,,,,,,,
SBV298_plate04,2021,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV299_plate04,2021,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV300_plate04,2021,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV301_plate04,2021,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV302_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV305_plate04,2021,period2,SBV005_plate01,2004,period1,61,1,,,,,,,,,,,,,
SBV306_plate04,2021,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV307_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV308_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV310_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV311_plate04,2021,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV312_plate04,2021,period2,SBV005_plate01,2004,period1,54,1,,,,,,,,,,,,,
SBV313_plate04,2021,period2,SBV005_plate01,2004,period1,71,1,,,,,,,,,,,,,
SBV314_plate04,2021,period2,SBV005_plate01,2004,period1,50,1,,,,,,,,,,,,,
SBV315_plate04,2021,period2,SBV005_plate01,2004,period1,59,1,,,,,,,,,,,,,
SBV316_plate04,2021,period2,SBV005_plate01,2004,period1,60,1,,,,,,,,,,,,,
SBV317_plate04,2021,period2,SBV005_plate01,2004,period1,58,1,,,,,,,,,,,,,
SBV318_plate04,2021,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
SBV319_plate04,2021,period2,SBV005_plate01,2004,period1,60,1,,,,,,,,,,,,,
SBV320_plate04,2021,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV321_plate04,2021,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV322_plate04,2021,period2,SBV005_plate01,2004,period1,55,1,,,,,,,,,,,,,
SBV323_plate04,2021,period2,SBV005_plate01,2004,period1,57,1,,,,,,,,,,,,,
SBV324_plate04,2021,period2,SBV005_plate01,2004,period1,56,1,,,,,,,,,,,,,
SBV325_plate04,2021,period2,SBV005_plate01,2004,period1,52,1,,,,,,,,,,,,,
SBV326_plate04,2021,period2,SBV005_plate01,2004,period1,62,1,,,,,,,,,,,,,
SBV327_plate04,2021,period2,SBV005_plate01,2004,period1,53,1,,,,,,,,,,,,,
