snp.dists.0.8.2,ST1,variable,ST2,value
SBV082_plate02,377,Reference,377,52
SBV083_plate02,377,Reference,377,52
SBV084_plate02,377,Reference,377,51
SBV085_plate03,377,Reference,377,54
SBV086_plate02,8346,Reference,377,132
SBV087_plate02,377,Reference,377,54
SBV088_plate02,377,Reference,377,57
SBV089_plate02,377,Reference,377,53
SBV090_plate02,377,Reference,377,52
SBV091_plate02,377,Reference,377,55
SBV092_plate02,377,Reference,377,52
SBV093_plate02,377,Reference,377,54
SBV094_plate02,377,Reference,377,53
SBV095_plate02,377,Reference,377,54
SBV096_plate02,377,Reference,377,51
SBV097_plate02,377,Reference,377,51
SBV098_plate02,377,Reference,377,53
SBV099_plate02,377,Reference,377,48
SBV100_plate02,377,Reference,377,55
SBV101_plate02,377,Reference,377,52
SBV102_plate02,377,Reference,377,59
SBV103_plate02,377,Reference,377,55
SBV104_plate02,377,Reference,377,55
SBV105_plate02,377,Reference,377,53
SBV106_plate02,377,Reference,377,52
SBV107_plate02,377,Reference,377,56
SBV108_plate02,377,Reference,377,52
SBV109_plate02,377,Reference,377,58
SBV110_plate02,377,Reference,377,57
SBV111_plate02,377,Reference,377,53
SBV112_plate02,377,Reference,377,51
SBV113_plate02,377,Reference,377,56
SBV114_plate02,377,Reference,377,53
SBV115_plate02,377,Reference,377,52
SBV116_plate02,377,Reference,377,56
SBV117_plate02,377,Reference,377,53
SBV118_plate02,377,Reference,377,52
SBV119_plate02,377,Reference,377,56
SBV120_plate02,1499,Reference,377,1002
SBV121_plate02,377,Reference,377,53
SBV122_plate02,377,Reference,377,56
SBV123_plate02,377,Reference,377,54
SBV124_plate02,377,Reference,377,53
SBV125_plate02,377,Reference,377,53
SBV126_plate03,377,Reference,377,53
SBV127_plate02,377,Reference,377,54
SBV128_plate02,377,Reference,377,53
SBV130_plate02,377,Reference,377,55
SBV131_plate03,377,Reference,377,53
SBV132_plate02,377,Reference,377,54
SBV133_plate02,377,Reference,377,58
SBV134_plate02,377,Reference,377,52
SBV135_plate02,377,Reference,377,48
SBV136_plate02,377,Reference,377,54
SBV137_plate03,377,Reference,377,55
SBV138_plate02,377,Reference,377,55
SBV139_plate02,377,Reference,377,55
SBV140_plate02,377,Reference,377,51
SBV141_plate02,377,Reference,377,53
SBV142_plate02,377,Reference,377,53
SBV143_plate02,377,Reference,377,51
SBV144_plate02,377,Reference,377,58
SBV145_plate02,377,Reference,377,54
SBV146_plate02,377,Reference,377,56
SBV147_plate02,377,Reference,377,56
SBV148_plate02,377,Reference,377,53
SBV149_plate03,377,Reference,377,56
SBV150_plate02,377,Reference,377,53
SBV151_plate02,377,Reference,377,54
SBV152_plate02,377,Reference,377,56
SBV153_plate02,377,Reference,377,55
SBV154_plate03,377,Reference,377,57
SBV155_plate03,377,Reference,377,51
SBV156_plate02,377,Reference,377,58
SBV157_plate02,377,Reference,377,55
SBV158_plate02,377,Reference,377,54
SBV159_plate02,377,Reference,377,57
SBV160_plate02,377,Reference,377,56
SBV161_plate02,377,Reference,377,58
SBV162_plate02,377,Reference,377,54
SBV163_plate02,377,Reference,377,55
SBV164_plate02,377,Reference,377,54
SBV165_plate02,377,Reference,377,59
SBV166_plate02,377,Reference,377,53
SBV167_plate02,377,Reference,377,54
SBV168_plate02,377,Reference,377,54
SBV169_plate02,377,Reference,377,54
SBV170_plate02,377,Reference,377,61
SBV171_plate02,377,Reference,377,51
SBV172_plate02,377,Reference,377,55
SBV173_plate02,377,Reference,377,51
SBV174_plate02,377,Reference,377,54
SBV175_plate02,377,Reference,377,51
SBV176_plate02,377,Reference,377,61
SBV177_plate03,377,Reference,377,55
SBV178_plate03,377,Reference,377,59
SBV179_plate03,377,Reference,377,55
SBV180_plate03,377,Reference,377,53
SBV181_plate03,377,Reference,377,57
SBV183_plate03,377,Reference,377,53
SBV184_plate03,377,Reference,377,57
SBV185_plate03,377,Reference,377,56
SBV186_plate03,377,Reference,377,57
SBV187_plate03,377,Reference,377,53
SBV188_plate03,377,Reference,377,56
SBV189_plate03,377,Reference,377,52
SBV190_plate03,377,Reference,377,55
SBV191_plate03,377,Reference,377,59
SBV192_plate03,377,Reference,377,49
SBV193_plate03,377,Reference,377,54
SBV194_plate03,377,Reference,377,54
SBV195_plate03,377,Reference,377,54
SBV196_plate03,377,Reference,377,62
SBV197_plate03,377,Reference,377,57
SBV198_plate03,377,Reference,377,53
SBV199_plate03,377,Reference,377,54
SBV200_plate03,377,Reference,377,57
SBV201_plate03,377,Reference,377,56
SBV202_plate03,377,Reference,377,52
SBV203_plate03,377,Reference,377,55
SBV204_plate03,377,Reference,377,59
SBV205_plate03,377,Reference,377,53
SBV206_plate03,377,Reference,377,57
SBV207_plate03,377,Reference,377,52
SBV208_plate03,377,Reference,377,54
SBV209_plate03,377,Reference,377,54
SBV210_plate03,377,Reference,377,51
SBV211_plate03,377,Reference,377,56
SBV212_plate03,377,Reference,377,59
SBV213_plate03,377,Reference,377,53
SBV214_plate03,377,Reference,377,55
SBV215_plate03,1499,Reference,377,1120
SBV216_plate03,377,Reference,377,59
SBV217_plate03,377,Reference,377,57
SBV218_plate05,377,Reference,377,50
SBV219_plate03,377,Reference,377,55
SBV220_plate03,377,Reference,377,56
SBV221_plate03,377,Reference,377,54
SBV222_plate03,377,Reference,377,50
SBV223_plate03,8346,Reference,377,134
SBV224_plate03,377,Reference,377,51
SBV225_plate03,377,Reference,377,55
SBV226_plate03,377,Reference,377,56
SBV227_plate03,377,Reference,377,58
SBV228_plate03,377,Reference,377,55
SBV229_plate03,377,Reference,377,53
SBV230_plate03,377,Reference,377,57
SBV231_plate03,377,Reference,377,58
SBV232_plate03,377,Reference,377,54
SBV233_plate03,377,Reference,377,59
SBV234_plate05,377,Reference,377,62
SBV235_plate05,377,Reference,377,56
SBV236_plate03,377,Reference,377,58
SBV237_plate03,377,Reference,377,50
SBV238_plate03,377,Reference,377,54
SBV239_plate03,377,Reference,377,52
SBV240_plate05,377,Reference,377,58
SBV241_plate03,377,Reference,377,53
SBV242_plate03,377,Reference,377,58
SBV243_plate03,377,Reference,377,54
SBV244_plate03,377,Reference,377,60
SBV245_plate03,377,Reference,377,55
SBV246_plate03,377,Reference,377,50
SBV247_plate03,377,Reference,377,62
SBV248_plate05,1058,Reference,377,1072
SBV249_plate03,377,Reference,377,54
SBV251_plate03,377,Reference,377,52
SBV252_plate03,377,Reference,377,58
SBV253_plate03,377,Reference,377,51
SBV254_plate03,377,Reference,377,78
SBV255_plate03,377,Reference,377,55
SBV256_plate03,377,Reference,377,60
SBV257_plate05,377,Reference,377,56
SBV258_plate03,377,Reference,377,56
SBV259_plate03,377,Reference,377,56
SBV260_plate03,377,Reference,377,56
SBV261_plate03,377,Reference,377,52
SBV262_plate03,377,Reference,377,54
SBV263_plate03,377,Reference,377,56
SBV265_plate03,377,Reference,377,56
SBV266_plate03,377,Reference,377,54
SBV267_plate03,377,Reference,377,54
SBV268_plate03,377,Reference,377,59
SBV269_plate05,377,Reference,377,59
SBV270_plate04,377,Reference,377,57
SBV271_plate04,377,Reference,377,54
SBV272_plate04,377,Reference,377,55
SBV273_plate04,377,Reference,377,54
SBV274_plate04,377,Reference,377,57
SBV275_plate04,377,Reference,377,59
SBV276_plate04,377,Reference,377,57
SBV277_plate04,377,Reference,377,60
SBV278_plate04,377,Reference,377,55
SBV279_plate04,377,Reference,377,55
SBV280_plate05,377,Reference,377,58
SBV281_plate04,377,Reference,377,55
SBV282_plate04,377,Reference,377,57
SBV283_plate04,377,Reference,377,58
SBV284_plate04,377,Reference,377,55
SBV285_plate04,377,Reference,377,56
SBV286_plate04,377,Reference,377,54
SBV287_plate04,377,Reference,377,57
SBV288_plate04,377,Reference,377,57
SBV289_plate04,377,Reference,377,57
SBV290_plate04,377,Reference,377,53
SBV291_plate04,377,Reference,377,55
SBV292_plate04,377,Reference,377,54
SBV293_plate04,377,Reference,377,58
SBV294_plate04,377,Reference,377,57
SBV295_plate04,377,Reference,377,55
SBV296_plate04,377,Reference,377,57
SBV297_plate04,377,Reference,377,51
SBV298_plate04,377,Reference,377,56
SBV299_plate04,377,Reference,377,59
SBV300_plate04,377,Reference,377,59
SBV301_plate04,377,Reference,377,56
SBV302_plate04,377,Reference,377,57
SBV304_plate04,2640,Reference,377,319
SBV305_plate04,377,Reference,377,61
SBV306_plate04,377,Reference,377,55
SBV307_plate04,377,Reference,377,57
SBV308_plate04,377,Reference,377,57
SBV310_plate04,377,Reference,377,57
SBV311_plate04,377,Reference,377,59
SBV312_plate04,377,Reference,377,54
SBV313_plate04,377,Reference,377,71
SBV314_plate04,377,Reference,377,50
SBV315_plate04,377,Reference,377,59
SBV316_plate04,377,Reference,377,60
SBV317_plate04,377,Reference,377,58
SBV318_plate04,377,Reference,377,53
SBV319_plate04,377,Reference,377,60
SBV320_plate04,377,Reference,377,52
SBV321_plate04,377,Reference,377,56
SBV322_plate04,377,Reference,377,55
SBV323_plate04,377,Reference,377,57
SBV324_plate04,377,Reference,377,56
SBV325_plate04,377,Reference,377,52
SBV326_plate04,377,Reference,377,62
SBV327_plate04,377,Reference,377,53
SBV328_plate04,377,Reference,377,51
SBV329_plate04,377,Reference,377,59
SBV330_plate04,377,Reference,377,52
SBV331_plate04,377,Reference,377,56
SBV332_plate04,377,Reference,377,52
SBV333_plate04,377,Reference,377,50
SBV334_plate04,377,Reference,377,56
SBV335_plate04,377,Reference,377,52
SBV336_plate04,377,Reference,377,52
SBV337_plate04,377,Reference,377,50
SBV338_plate04,377,Reference,377,56
SBV339_plate04,377,Reference,377,57
SBV340_plate04,377,Reference,377,57
SBV341_plate04,377,Reference,377,57
SBV342_plate04,2640,Reference,377,319
SBV343_plate04,377,Reference,377,59
SBV344_plate04,377,Reference,377,58
SBV345_plate04,377,Reference,377,56
SBV347_plate04,377,Reference,377,55
SBV348_plate04,377,Reference,377,58
SBV349_plate04,377,Reference,377,51
SBV350_plate04,377,Reference,377,58
SBV351_plate04,377,Reference,377,56
SBV352_plate04,377,Reference,377,59
SBV353_plate04,377,Reference,377,63
SBV354_plate04,377,Reference,377,55
SBV355_plate04,377,Reference,377,55
SBV356_plate04,377,Reference,377,54
SBV357_plate04,377,Reference,377,60
SBV358_plate04,377,Reference,377,58
SBV359_plate04,377,Reference,377,58
SBV361_plate04,377,Reference,377,54
SBV362_plate04,377,Reference,377,64
SBV363_plate04,377,Reference,377,58
SBV364_plate04,377,Reference,377,58
SBV365_plate04,377,Reference,377,60
SBV366_plate04,377,Reference,377,57
SBV367_plate04,377,Reference,377,61
SBV368_plate04,377,Reference,377,57
SBV369_plate04,377,Reference,377,63
SBV370_plate05,377,Reference,377,56
SBV371_plate05,377,Reference,377,54
SBV372_plate05,377,Reference,377,60
SBV373_plate05,377,Reference,377,52
SBV374_plate05,377,Reference,377,61
SBV375_plate05,377,Reference,377,55
SBV376_plate05,377,Reference,377,57
Reference,377,SBV001_plate05,1499,1004
SBV001_plate05,1499,SBV001_plate05,1499,0
SBV002_plate01,1499,SBV001_plate05,1499,1134
SBV003_plate01,1499,SBV001_plate05,1499,946
SBV004_plate01,1499,SBV001_plate05,1499,924
SBV005_plate01,377,SBV001_plate05,1499,1004
SBV006_plate01,1499,SBV001_plate05,1499,483
SBV007_plate01,377,SBV001_plate05,1499,1030
SBV008_plate01,1499,SBV001_plate05,1499,972
SBV009_plate01,1499,SBV001_plate05,1499,981
SBV010_plate01,377,SBV001_plate05,1499,989
SBV011_plate01,377,SBV001_plate05,1499,1009
SBV012_plate01,1499,SBV001_plate05,1499,39
SBV013_plate01,1499,SBV001_plate05,1499,47
SBV014_plate01,1499,SBV001_plate05,1499,978
SBV015_plate01,1499,SBV001_plate05,1499,1000
SBV016_plate01,8346,SBV001_plate05,1499,1056
SBV017_plate01,1058,SBV001_plate05,1499,922
SBV018_plate01,1499,SBV001_plate05,1499,1135
SBV019_plate01,377,SBV001_plate05,1499,1003
SBV020_plate01,1499,SBV001_plate05,1499,48
SBV021_plate01,377,SBV001_plate05,1499,1011
SBV022_plate01,377,SBV001_plate05,1499,1020
SBV023_plate01,377,SBV001_plate05,1499,1028
SBV024_plate01,377,SBV001_plate05,1499,1003
SBV025_plate01,377,SBV001_plate05,1499,1024
SBV026_plate01,2640,SBV001_plate05,1499,961
SBV027_plate01,377,SBV001_plate05,1499,1023
SBV028_plate01,1499,SBV001_plate05,1499,44
SBV029_plate01,377,SBV001_plate05,1499,1004
SBV030_plate01,377,SBV001_plate05,1499,1026
SBV031_plate01,1499,SBV001_plate05,1499,44
SBV032_plate01,377,SBV001_plate05,1499,1002
SBV033_plate01,377,SBV001_plate05,1499,1028
SBV035_plate01,377,SBV001_plate05,1499,1026
SBV036_plate01,377,SBV001_plate05,1499,1027
SBV037_plate01,377,SBV001_plate05,1499,1015
SBV038_plate01,377,SBV001_plate05,1499,1022
SBV039_plate01,377,SBV001_plate05,1499,1029
SBV040_plate03,377,SBV001_plate05,1499,1031
SBV041_plate01,377,SBV001_plate05,1499,1027
SBV042_plate01,377,SBV001_plate05,1499,1027
SBV043_plate01,377,SBV001_plate05,1499,1030
SBV044_plate01,377,SBV001_plate05,1499,1029
SBV045_plate01,377,SBV001_plate05,1499,1026
SBV046_plate01,377,SBV001_plate05,1499,1028
SBV047_plate01,377,SBV001_plate05,1499,1027
SBV048_plate01,377,SBV001_plate05,1499,1026
SBV049_plate01,377,SBV001_plate05,1499,1026
SBV050_plate01,377,SBV001_plate05,1499,1028
SBV051_plate01,377,SBV001_plate05,1499,1026
SBV052_plate01,377,SBV001_plate05,1499,1029
SBV053_plate01,377,SBV001_plate05,1499,1026
SBV054_plate01,377,SBV001_plate05,1499,1029
SBV055_plate01,377,SBV001_plate05,1499,1029
SBV056_plate01,-,SBV001_plate05,1499,1028
SBV057_plate01,377,SBV001_plate05,1499,1024
SBV058_plate01,377,SBV001_plate05,1499,1031
SBV059_plate01,377,SBV001_plate05,1499,1027
SBV060_plate01,377,SBV001_plate05,1499,1007
SBV061_plate01,377,SBV001_plate05,1499,1028
SBV062_plate01,377,SBV001_plate05,1499,1029
SBV063_plate01,377,SBV001_plate05,1499,1025
SBV064_plate01,377,SBV001_plate05,1499,1028
SBV065_plate03,377,SBV001_plate05,1499,1029
SBV067_plate01,377,SBV001_plate05,1499,1028
SBV068_plate01,377,SBV001_plate05,1499,1030
SBV069_plate01,377,SBV001_plate05,1499,1027
SBV070_plate01,377,SBV001_plate05,1499,1029
SBV071_plate01,377,SBV001_plate05,1499,1026
SBV072_plate02,377,SBV001_plate05,1499,1034
SBV073_plate03,377,SBV001_plate05,1499,1030
SBV074_plate03,377,SBV001_plate05,1499,1028
SBV075_plate02,377,SBV001_plate05,1499,1030
SBV076_plate02,377,SBV001_plate05,1499,1024
SBV077_plate02,377,SBV001_plate05,1499,1027
SBV078_plate02,377,SBV001_plate05,1499,1030
SBV079_plate02,377,SBV001_plate05,1499,1027
SBV080_plate02,377,SBV001_plate05,1499,1029
SBV081_plate02,377,SBV001_plate05,1499,1026
SBV082_plate02,377,SBV001_plate05,1499,1027
SBV083_plate02,377,SBV001_plate05,1499,1027
SBV084_plate02,377,SBV001_plate05,1499,1026
SBV085_plate03,377,SBV001_plate05,1499,1028
SBV086_plate02,8346,SBV001_plate05,1499,1056
SBV087_plate02,377,SBV001_plate05,1499,1029
SBV088_plate02,377,SBV001_plate05,1499,1033
SBV089_plate02,377,SBV001_plate05,1499,1028
SBV090_plate02,377,SBV001_plate05,1499,1027
SBV091_plate02,377,SBV001_plate05,1499,1030
SBV092_plate02,377,SBV001_plate05,1499,1027
SBV093_plate02,377,SBV001_plate05,1499,1029
SBV094_plate02,377,SBV001_plate05,1499,1028
SBV095_plate02,377,SBV001_plate05,1499,1029
SBV096_plate02,377,SBV001_plate05,1499,1024
SBV097_plate02,377,SBV001_plate05,1499,1026
SBV098_plate02,377,SBV001_plate05,1499,1028
SBV099_plate02,377,SBV001_plate05,1499,1024
SBV100_plate02,377,SBV001_plate05,1499,1030
SBV101_plate02,377,SBV001_plate05,1499,1027
SBV102_plate02,377,SBV001_plate05,1499,1034
SBV103_plate02,377,SBV001_plate05,1499,1030
SBV104_plate02,377,SBV001_plate05,1499,1030
SBV105_plate02,377,SBV001_plate05,1499,1029
SBV106_plate02,377,SBV001_plate05,1499,1027
SBV107_plate02,377,SBV001_plate05,1499,1031
SBV108_plate02,377,SBV001_plate05,1499,1027
SBV109_plate02,377,SBV001_plate05,1499,1033
SBV110_plate02,377,SBV001_plate05,1499,1032
SBV111_plate02,377,SBV001_plate05,1499,1028
SBV112_plate02,377,SBV001_plate05,1499,1026
SBV113_plate02,377,SBV001_plate05,1499,1031
SBV114_plate02,377,SBV001_plate05,1499,1028
SBV115_plate02,377,SBV001_plate05,1499,1028
SBV116_plate02,377,SBV001_plate05,1499,1031
SBV117_plate02,377,SBV001_plate05,1499,1028
SBV118_plate02,377,SBV001_plate05,1499,1027
SBV119_plate02,377,SBV001_plate05,1499,1031
SBV120_plate02,1499,SBV001_plate05,1499,50
SBV121_plate02,377,SBV001_plate05,1499,1028
SBV122_plate02,377,SBV001_plate05,1499,1031
SBV123_plate02,377,SBV001_plate05,1499,1029
SBV124_plate02,377,SBV001_plate05,1499,1028
SBV125_plate02,377,SBV001_plate05,1499,1028
SBV126_plate03,377,SBV001_plate05,1499,1027
SBV127_plate02,377,SBV001_plate05,1499,1029
SBV128_plate02,377,SBV001_plate05,1499,1028
SBV130_plate02,377,SBV001_plate05,1499,1030
SBV131_plate03,377,SBV001_plate05,1499,1027
SBV132_plate02,377,SBV001_plate05,1499,1029
SBV133_plate02,377,SBV001_plate05,1499,1033
SBV134_plate02,377,SBV001_plate05,1499,1028
SBV135_plate02,377,SBV001_plate05,1499,1023
SBV136_plate02,377,SBV001_plate05,1499,1029
SBV137_plate03,377,SBV001_plate05,1499,1030
SBV138_plate02,377,SBV001_plate05,1499,1030
SBV139_plate02,377,SBV001_plate05,1499,1030
SBV140_plate02,377,SBV001_plate05,1499,1026
SBV141_plate02,377,SBV001_plate05,1499,1028
SBV142_plate02,377,SBV001_plate05,1499,1028
SBV143_plate02,377,SBV001_plate05,1499,1026
SBV144_plate02,377,SBV001_plate05,1499,1033
SBV145_plate02,377,SBV001_plate05,1499,1029
SBV146_plate02,377,SBV001_plate05,1499,1030
SBV147_plate02,377,SBV001_plate05,1499,1029
SBV148_plate02,377,SBV001_plate05,1499,1028
SBV149_plate03,377,SBV001_plate05,1499,1031
SBV150_plate02,377,SBV001_plate05,1499,1028
SBV151_plate02,377,SBV001_plate05,1499,1029
SBV152_plate02,377,SBV001_plate05,1499,1031
SBV153_plate02,377,SBV001_plate05,1499,1022
SBV154_plate03,377,SBV001_plate05,1499,1032
SBV155_plate03,377,SBV001_plate05,1499,1026
SBV156_plate02,377,SBV001_plate05,1499,1033
SBV157_plate02,377,SBV001_plate05,1499,1030
SBV158_plate02,377,SBV001_plate05,1499,1029
SBV159_plate02,377,SBV001_plate05,1499,1032
SBV160_plate02,377,SBV001_plate05,1499,1031
SBV161_plate02,377,SBV001_plate05,1499,1033
SBV162_plate02,377,SBV001_plate05,1499,1029
SBV163_plate02,377,SBV001_plate05,1499,1030
SBV164_plate02,377,SBV001_plate05,1499,1029
SBV165_plate02,377,SBV001_plate05,1499,1034
SBV166_plate02,377,SBV001_plate05,1499,1028
SBV167_plate02,377,SBV001_plate05,1499,1029
SBV168_plate02,377,SBV001_plate05,1499,1029
SBV169_plate02,377,SBV001_plate05,1499,1029
SBV170_plate02,377,SBV001_plate05,1499,1036
SBV171_plate02,377,SBV001_plate05,1499,1026
SBV172_plate02,377,SBV001_plate05,1499,1030
SBV173_plate02,377,SBV001_plate05,1499,1026
SBV174_plate02,377,SBV001_plate05,1499,1029
SBV175_plate02,377,SBV001_plate05,1499,1026
SBV176_plate02,377,SBV001_plate05,1499,1036
SBV177_plate03,377,SBV001_plate05,1499,1030
SBV178_plate03,377,SBV001_plate05,1499,1034
SBV179_plate03,377,SBV001_plate05,1499,1030
SBV180_plate03,377,SBV001_plate05,1499,1028
SBV181_plate03,377,SBV001_plate05,1499,1032
SBV183_plate03,377,SBV001_plate05,1499,1028
SBV184_plate03,377,SBV001_plate05,1499,1032
SBV185_plate03,377,SBV001_plate05,1499,1030
SBV186_plate03,377,SBV001_plate05,1499,1032
SBV187_plate03,377,SBV001_plate05,1499,1028
SBV188_plate03,377,SBV001_plate05,1499,1031
SBV189_plate03,377,SBV001_plate05,1499,1027
SBV190_plate03,377,SBV001_plate05,1499,1029
SBV191_plate03,377,SBV001_plate05,1499,1034
SBV192_plate03,377,SBV001_plate05,1499,1023
SBV193_plate03,377,SBV001_plate05,1499,1029
SBV194_plate03,377,SBV001_plate05,1499,1029
SBV195_plate03,377,SBV001_plate05,1499,1028
SBV196_plate03,377,SBV001_plate05,1499,1037
SBV197_plate03,377,SBV001_plate05,1499,1032
SBV198_plate03,377,SBV001_plate05,1499,1026
SBV199_plate03,377,SBV001_plate05,1499,1029
SBV200_plate03,377,SBV001_plate05,1499,1032
SBV201_plate03,377,SBV001_plate05,1499,1031
SBV202_plate03,377,SBV001_plate05,1499,1027
SBV203_plate03,377,SBV001_plate05,1499,1030
SBV204_plate03,377,SBV001_plate05,1499,1034
SBV205_plate03,377,SBV001_plate05,1499,1028
SBV206_plate03,377,SBV001_plate05,1499,1032
SBV207_plate03,377,SBV001_plate05,1499,1027
SBV208_plate03,377,SBV001_plate05,1499,1029
SBV209_plate03,377,SBV001_plate05,1499,1028
SBV210_plate03,377,SBV001_plate05,1499,1027
SBV211_plate03,377,SBV001_plate05,1499,1031
SBV212_plate03,377,SBV001_plate05,1499,1034
SBV213_plate03,377,SBV001_plate05,1499,1028
SBV214_plate03,377,SBV001_plate05,1499,1030
SBV215_plate03,1499,SBV001_plate05,1499,1008
SBV216_plate03,377,SBV001_plate05,1499,1034
SBV217_plate03,377,SBV001_plate05,1499,1032
SBV218_plate05,377,SBV001_plate05,1499,1025
SBV219_plate03,377,SBV001_plate05,1499,1028
SBV220_plate03,377,SBV001_plate05,1499,1031
SBV221_plate03,377,SBV001_plate05,1499,1029
SBV222_plate03,377,SBV001_plate05,1499,1025
SBV223_plate03,8346,SBV001_plate05,1499,1059
SBV224_plate03,377,SBV001_plate05,1499,1026
SBV225_plate03,377,SBV001_plate05,1499,1030
SBV226_plate03,377,SBV001_plate05,1499,1031
SBV227_plate03,377,SBV001_plate05,1499,1034
SBV228_plate03,377,SBV001_plate05,1499,1031
SBV229_plate03,377,SBV001_plate05,1499,1028
SBV230_plate03,377,SBV001_plate05,1499,1032
SBV231_plate03,377,SBV001_plate05,1499,1033
SBV232_plate03,377,SBV001_plate05,1499,1029
SBV233_plate03,377,SBV001_plate05,1499,1033
SBV234_plate05,377,SBV001_plate05,1499,1037
SBV235_plate05,377,SBV001_plate05,1499,1031
SBV236_plate03,377,SBV001_plate05,1499,1033
SBV237_plate03,377,SBV001_plate05,1499,1025
SBV238_plate03,377,SBV001_plate05,1499,1029
SBV239_plate03,377,SBV001_plate05,1499,1027
SBV240_plate05,377,SBV001_plate05,1499,1033
SBV241_plate03,377,SBV001_plate05,1499,1028
SBV242_plate03,377,SBV001_plate05,1499,1033
SBV243_plate03,377,SBV001_plate05,1499,1029
SBV244_plate03,377,SBV001_plate05,1499,1035
SBV245_plate03,377,SBV001_plate05,1499,1030
SBV246_plate03,377,SBV001_plate05,1499,1025
SBV247_plate03,377,SBV001_plate05,1499,1036
SBV248_plate05,1058,SBV001_plate05,1499,909
SBV249_plate03,377,SBV001_plate05,1499,1029
SBV251_plate03,377,SBV001_plate05,1499,1027
SBV252_plate03,377,SBV001_plate05,1499,1033
SBV253_plate03,377,SBV001_plate05,1499,1027
SBV254_plate03,377,SBV001_plate05,1499,1013
SBV255_plate03,377,SBV001_plate05,1499,1030
SBV256_plate03,377,SBV001_plate05,1499,1035
SBV257_plate05,377,SBV001_plate05,1499,1031
SBV258_plate03,377,SBV001_plate05,1499,1031
SBV259_plate03,377,SBV001_plate05,1499,1031
SBV260_plate03,377,SBV001_plate05,1499,1031
SBV261_plate03,377,SBV001_plate05,1499,1027
SBV262_plate03,377,SBV001_plate05,1499,1029
SBV263_plate03,377,SBV001_plate05,1499,1032
SBV265_plate03,377,SBV001_plate05,1499,1032
SBV266_plate03,377,SBV001_plate05,1499,1030
SBV267_plate03,377,SBV001_plate05,1499,1030
SBV268_plate03,377,SBV001_plate05,1499,1033
SBV269_plate05,377,SBV001_plate05,1499,1034
SBV270_plate04,377,SBV001_plate05,1499,1032
SBV271_plate04,377,SBV001_plate05,1499,1029
